quality_attribute,sentence,source,author,repo,version,id,keyword,matched_word,match_idx,filename,wiki,url,total_similar,target_keywords,target_matched_words
Energy Efficiency," Firstly, we use; the adaptive kernel described in Moon et al. [2019] for; improved stability. Secondly, data diffusion is applied; in the PCA space, rather than the data space, for speed and; memory improvements.; More information and bug reports; here. For help, visit; <https://krishnaswamylab.org/get-help>. Parameters:. adata AnnDataAn anndata file with .raw attribute representing raw counts. name_list Union[Literal['all_genes', 'pca_only'], Sequence[str], None] (default: None)Denoised genes to return. The default 'all_genes'/None; may require a large amount of memory if the input data is sparse.; Another possibility is 'pca_only'. knn int (default: 5)number of nearest neighbors on which to build kernel. decay float | None (default: 1)sets decay rate of kernel tails.; If None, alpha decaying kernel is not used. knn_max int | None (default: None)maximum number of nearest neighbors with nonzero connection.; If None, will be set to 3 * knn. t Union[Literal['auto'], int] (default: 3)power to which the diffusion operator is powered.; This sets the level of diffusion. If ‘auto’, t is selected; according to the Procrustes disparity of the diffused data. n_pca int | None (default: 100)Number of principal components to use for calculating; neighborhoods. For extremely large datasets, using; n_pca < 20 allows neighborhoods to be calculated in; roughly log(n_samples) time. If None, no PCA is performed. solver Literal['exact', 'approximate'] (default: 'exact')Which solver to use. “exact” uses the implementation described; in van Dijk et al. [2018]. “approximate” uses a faster; implementation that performs imputation in the PCA space and then; projects back to the gene space. Note, the “approximate” solver may; return negative values. knn_dist str (default: 'euclidean')recommended values: ‘euclidean’, ‘cosine’, ‘precomputed’; Any metric from scipy.spatial.distance can be used; distance metric for building kNN graph. If ‘precomputed’,; data should be an n_samples x n_samples d",MatchSource.WIKI,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io/en/stable/generated/scanpy.external.pp.magic.html:10953,power,power,10953,en/stable/generated/scanpy.external.pp.magic.html,https://scanpy.readthedocs.io,https://scanpy.readthedocs.io/en/stable/generated/scanpy.external.pp.magic.html,2,['power'],"['power', 'powered']"
Energy Efficiency," If None, residuals are clipped to the interval [-sqrt(n_obs), sqrt(n_obs)], where n_obs is the number of cells in the dataset (default behavior).; If any scalar c, residuals are clipped to the interval [-c, c]. Set clip=np.inf for no clipping. n_top_genes int | None (default: None)Number of highly-variable genes to keep. Mandatory if flavor='seurat_v3' or; flavor='pearson_residuals'. batch_key str | None (default: None)If specified, highly-variable genes are selected within each batch separately; and merged. This simple process avoids the selection of batch-specific genes; and acts as a lightweight batch correction method. Genes are first sorted by; how many batches they are a HVG. If flavor='pearson_residuals', ties are; broken by the median rank (across batches) based on within-batch residual; variance. chunksize int (default: 1000)If flavor='pearson_residuals', this dertermines how many genes are processed at; once while computing the residual variance. Choosing a smaller value will reduce; the required memory. flavor Literal['pearson_residuals'] (default: 'pearson_residuals')Choose the flavor for identifying highly variable genes. In this experimental; version, only ‘pearson_residuals’ is functional. check_values bool (default: True)If True, checks if counts in selected layer are integers as expected by this; function, and return a warning if non-integers are found. Otherwise, proceed; without checking. Setting this to False can speed up code for large datasets. layer str | None (default: None)Layer to use as input instead of X. If None, X is used. subset bool (default: False)If True, subset the data to highly-variable genes after finding them.; Otherwise merely indicate highly variable genes in adata.var (see below). inplace bool (default: True)If True, update adata with results. Otherwise, return results. See below for; details of what is returned. Return type:; DataFrame | None. Returns:; If inplace=True, adata.var is updated with the following fields. Otherw",MatchSource.WIKI,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io/en/stable/generated/scanpy.experimental.pp.highly_variable_genes.html:11429,reduce,reduce,11429,en/stable/generated/scanpy.experimental.pp.highly_variable_genes.html,https://scanpy.readthedocs.io,https://scanpy.readthedocs.io/en/stable/generated/scanpy.experimental.pp.highly_variable_genes.html,1,['reduce'],['reduce']
Energy Efficiency," don’t need to sum all those extra zeros). You can convert from sparse to dense chunks via:; X = X.map_blocks(lambda x: x.toarray(), dtype=X.dtype, meta=np.array([])). And in reverse:; X = X.map_blocks(sparse.csr_matrix). Note that you will likely have to work with smaller chunks when doing this, via a rechunking operation. We suggest using a factor of the larger chunk size to achieve the most efficient rechunking. SPARSE_CHUNK_SIZE = 100_000; DENSE_CHUNK_SIZE = 10_000. Dask provides extensive tooling for monitoring your computation. You can access that via the dashboard started when using any of their distributed clusters. client. . Client; Client-d3384ee9-58e9-11ef-9bda-3868dd0e66a0. Connection method: Cluster object; Cluster type: distributed.LocalCluster. Dashboard: http://127.0.0.1:8787/status. Cluster Info. LocalCluster; 815df81e. Dashboard: http://127.0.0.1:8787/status. Workers: 3; . Total threads: 18; . Total memory: 128.00 GiB; . Status: running; Using processes: True. Scheduler Info. . Scheduler; Scheduler-d580fb0c-35e1-45f0-9394-837f45e7976c. Comm: tcp://127.0.0.1:37191; . Workers: 3; . Dashboard: http://127.0.0.1:8787/status. Total threads: 18; . Started: Just now; . Total memory: 128.00 GiB; . Workers. . Worker: 0. Comm: tcp://127.0.0.1:36805; . Total threads: 6; . Dashboard: http://127.0.0.1:45909/status. Memory: 42.67 GiB; . Nanny: tcp://127.0.0.1:39225; . Local directory: /tmp/dask-scratch-space/worker-pz4wcxmk; . . Worker: 1. Comm: tcp://127.0.0.1:35183; . Total threads: 6; . Dashboard: http://127.0.0.1:43387/status. Memory: 42.67 GiB; . Nanny: tcp://127.0.0.1:42555; . Local directory: /tmp/dask-scratch-space/worker-a11nkkx1; . . Worker: 2. Comm: tcp://127.0.0.1:36599; . Total threads: 6; . Dashboard: http://127.0.0.1:39033/status. Memory: 42.67 GiB; . Nanny: tcp://127.0.0.1:45463; . Local directory: /tmp/dask-scratch-space/worker-mcr71xvg; . We’ll convert the X representation to dask using anndata.experimental.read_elem_as_dask.; The file we’ve ret",MatchSource.WIKI,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io/en/stable/tutorials/experimental/dask.html:12655,Schedul,Scheduler,12655,en/stable/tutorials/experimental/dask.html,https://scanpy.readthedocs.io,https://scanpy.readthedocs.io/en/stable/tutorials/experimental/dask.html,1,['Schedul'],['Scheduler']
Energy Efficiency," normalized counts later. Further background on why to use the square-root transform here can be found in Wagner (2020). # keep raw and depth-normalized counts for later; adata_pbmc3k.layers[""raw""] = adata_pbmc3k.X.copy(); adata_pbmc3k.layers[""sqrt_norm""] = np.sqrt(; sc.pp.normalize_total(adata_pbmc3k, inplace=False)[""X""]; ). adata_pbmc10k.layers[""raw""] = adata_pbmc10k.X.copy(); adata_pbmc10k.layers[""sqrt_norm""] = np.sqrt(; sc.pp.normalize_total(adata_pbmc10k, inplace=False)[""X""]; ). normalizing counts per cell; finished (0:00:00); normalizing counts per cell; finished (0:00:00). Compute Pearson residuals#; This will transform the sparse raw counts in adata.X to a dense matrix of Pearson residuals. for adata in [adata_pbmc3k, adata_pbmc10k]:; sc.experimental.pp.normalize_pearson_residuals(adata). computing analytic Pearson residuals on adata.X; finished (0:00:00); computing analytic Pearson residuals on adata.X; finished (0:00:00). Compute PCA and t-SNE#; We now reduce the dimensionality of the data by running PCA on the Pearson residuals. On top, we run t-SNE for vizualisation. for adata in [adata_pbmc3k, adata_pbmc10k]:; sc.pp.pca(adata, n_comps=50); n_cells = len(adata); sc.tl.tsne(adata, use_rep=""X_pca""). computing PCA; with n_comps=50; finished (0:00:27); computing tSNE; using sklearn.manifold.TSNE; finished: added; 'X_tsne', tSNE coordinates (adata.obsm) (0:00:12); computing PCA; with n_comps=50; finished (0:00:15); computing tSNE; using sklearn.manifold.TSNE; finished: added; 'X_tsne', tSNE coordinates (adata.obsm) (0:00:27). Compute Neighborhood graph and Leiden clustering#; Based on the PCA of Pearson resisuals, we also run a clustering. for adata in [adata_pbmc3k, adata_pbmc10k]:; sc.pp.neighbors(adata, n_neighbors=10, n_pcs=50); sc.tl.leiden(adata, flavor=""igraph"", n_iterations=2, directed=False). computing neighbors; using 'X_pca' with n_pcs = 50; finished: added to `.uns['neighbors']`; `.obsp['distances']`, distances for each pair of neighbors; `.obsp['",MatchSource.WIKI,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io/en/stable/tutorials/experimental/pearson_residuals.html:25178,reduce,reduce,25178,en/stable/tutorials/experimental/pearson_residuals.html,https://scanpy.readthedocs.io,https://scanpy.readthedocs.io/en/stable/tutorials/experimental/pearson_residuals.html,2,['reduce'],['reduce']
Energy Efficiency," of nearest neighbors to be searched. If knn; is False, a Gaussian kernel width is set to the distance of the; n_neighbors neighbor.; ignored if ``transformer`` is an instance. n_pcs int | None (default: None)Use this many PCs. If n_pcs==0 use .X if use_rep is None. use_rep str | None (default: None)Use the indicated representation. 'X' or any key for .obsm is valid.; If None, the representation is chosen automatically:; For .n_vars < N_PCS (default: 50), .X is used, otherwise ‘X_pca’ is used.; If ‘X_pca’ is not present, it’s computed with default parameters or n_pcs if present. knn bool (default: True)If True, use a hard threshold to restrict the number of neighbors to; n_neighbors, that is, consider a knn graph. Otherwise, use a Gaussian; Kernel to assign low weights to neighbors more distant than the; n_neighbors nearest neighbor. method Literal['umap', 'gauss'] (default: 'umap')Use ‘umap’ [McInnes et al., 2018] or ‘gauss’ (Gauss kernel following Coifman et al. [2005]; with adaptive width Haghverdi et al. [2016]) for computing connectivities. transformer Union[KnnTransformerLike, Literal['pynndescent', 'sklearn', 'rapids'], None] (default: None)Approximate kNN search implementation following the API of; KNeighborsTransformer.; See Using other kNN libraries in Scanpy for more details.; Also accepts the following known options:. None (the default)Behavior depends on data size.; For small data, we will calculate exact kNN, otherwise we use; PyNNDescentTransformer. 'pynndescent'PyNNDescentTransformer. 'rapids'A transformer based on cuml.neighbors.NearestNeighbors. Deprecated since version 1.10.0: Use rapids_singlecell.pp.neighbors() instead. metric Union[Literal['cityblock', 'cosine', 'euclidean', 'l1', 'l2', 'manhattan'], Literal['braycurtis', 'canberra', 'chebyshev', 'correlation', 'dice', 'hamming', 'jaccard', 'kulsinski', 'mahalanobis', 'minkowski', 'rogerstanimoto', 'russellrao', 'seuclidean', 'sokalmichener', 'sokalsneath', 'sqeuclidean', 'yule'], Callable[[ndar",MatchSource.WIKI,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io/en/stable/api/generated/scanpy.pp.neighbors.html:11354,adapt,adaptive,11354,en/stable/api/generated/scanpy.pp.neighbors.html,https://scanpy.readthedocs.io,https://scanpy.readthedocs.io/en/stable/api/generated/scanpy.pp.neighbors.html,1,['adapt'],['adaptive']
Energy Efficiency," out any clusters with high doublet scores. See also; Alternative methods for doublet detection within the scverse ecosystem are DoubletDetection and SOLO. You can read more about these in the Doublet Detection chapter of Single Cell Best Practices. Normalization#; The next preprocessing step is normalization. A common approach is count depth scaling with subsequent log plus one (log1p) transformation. Count depth scaling normalizes the data to a “size factor” such as the median count depth in the dataset, ten thousand (CP10k) or one million (CPM, counts per million). The size factor for count depth scaling can be controlled via target_sum in pp.normalize_total. We are applying median count depth normalization with log1p transformation (AKA log1PF). # Saving count data; adata.layers[""counts""] = adata.X.copy(). # Normalizing to median total counts; sc.pp.normalize_total(adata); # Logarithmize the data; sc.pp.log1p(adata). Feature selection#; As a next step, we want to reduce the dimensionality of the dataset and only include the most informative genes. This step is commonly known as feature selection. The scanpy function pp.highly_variable_genes annotates highly variable genes by reproducing the implementations of Seurat [Satija et al., 2015], Cell Ranger [Zheng et al., 2017], and Seurat v3 [Stuart et al., 2019] depending on the chosen flavor. sc.pp.highly_variable_genes(adata, n_top_genes=2000, batch_key=""sample""). sc.pl.highly_variable_genes(adata). Dimensionality Reduction#; Reduce the dimensionality of the data by running principal component analysis (PCA), which reveals the main axes of variation and denoises the data. sc.tl.pca(adata). Let us inspect the contribution of single PCs to the total variance in the data. This gives us information about how many PCs we should consider in order to compute the neighborhood relations of cells, e.g. used in the clustering function leiden() or tsne(). In our experience, there does not seem to be signifigant downside to over",MatchSource.WIKI,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io/en/stable/tutorials/basics/clustering.html:14980,reduce,reduce,14980,en/stable/tutorials/basics/clustering.html,https://scanpy.readthedocs.io,https://scanpy.readthedocs.io/en/stable/tutorials/basics/clustering.html,2,['reduce'],['reduce']
Energy Efficiency,"'leiden', the cluster labels (adata.obs, categorical) (0:00:00). Plot the clusters, which agree quite well with the result of Seurat. sc.pl.umap(adata, color=[""leiden"", ""CST3"", ""NKG7""]). Save the result. adata.write(results_file). Finding marker genes#; Let us compute a ranking for the highly differential genes in each cluster. For this, by default, the .raw attribute of AnnData is used in case it has been initialized before. The simplest and fastest method to do so is the t-test. sc.tl.rank_genes_groups(adata, ""leiden"", method=""t-test""); sc.pl.rank_genes_groups(adata, n_genes=25, sharey=False). ranking genes; finished: added to `.uns['rank_genes_groups']`; 'names', sorted np.recarray to be indexed by group ids; 'scores', sorted np.recarray to be indexed by group ids; 'logfoldchanges', sorted np.recarray to be indexed by group ids; 'pvals', sorted np.recarray to be indexed by group ids; 'pvals_adj', sorted np.recarray to be indexed by group ids (0:00:00). sc.settings.verbosity = 2 # reduce the verbosity. The result of a Wilcoxon rank-sum (Mann-Whitney-U) test is very similar. We recommend using the latter in publications, see e.g., Sonison & Robinson (2018). You might also consider much more powerful differential testing packages like MAST, limma, DESeq2 and, for python, the recent diffxpy. sc.tl.rank_genes_groups(adata, ""leiden"", method=""wilcoxon""); sc.pl.rank_genes_groups(adata, n_genes=25, sharey=False). ranking genes; finished (0:00:03). Save the result. adata.write(results_file). As an alternative, let us rank genes using logistic regression. For instance, this has been suggested by Natranos et al. (2018). The essential difference is that here, we use a multi-variate appraoch whereas conventional differential tests are uni-variate. Clark et al. (2014) has more details. sc.tl.rank_genes_groups(adata, ""leiden"", method=""logreg"", max_iter=1000); sc.pl.rank_genes_groups(adata, n_genes=25, sharey=False). ranking genes; finished (0:00:32). With the exceptions of IL7R, ",MatchSource.WIKI,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io/en/stable/tutorials/basics/clustering-2017.html:20055,reduce,reduce,20055,en/stable/tutorials/basics/clustering-2017.html,https://scanpy.readthedocs.io,https://scanpy.readthedocs.io/en/stable/tutorials/basics/clustering-2017.html,2,['reduce'],['reduce']
Energy Efficiency,")[source]#; Run Diffusion maps using the adaptive anisotropic kernel [Setty et al., 2019].; Palantir is an algorithm to align cells along differentiation trajectories.; Palantir models differentiation as a stochastic process where stem cells; differentiate to terminally differentiated cells by a series of steps through; a low dimensional phenotypic manifold. Palantir effectively captures the; continuity in cell states and the stochasticity in cell fate determination.; Palantir has been designed to work with multidimensional single cell data; from diverse technologies such as Mass cytometry and single cell RNA-seq. Note; More information and bug reports here. Parameters:. adata AnnDataAn AnnData object. n_components int (default: 10)Number of diffusion components. knn int (default: 30)Number of nearest neighbors for graph construction. alpha float (default: 0)Normalization parameter for the diffusion operator. use_adjacency_matrix bool (default: False)Use adaptive anisotropic adjacency matrix, instead of PCA projections; (default) to compute diffusion components. distances_key str | None (default: None)With use_adjacency_matrix=True, use the indicated distances key for .obsp.; If None, 'distances'. n_eigs int | None (default: None)Number of eigen vectors to use. If None specified, the number of eigen; vectors will be determined using eigen gap. Passed to; palantir.utils.determine_multiscale_space. impute_data bool (default: True)Impute data using MAGIC. n_steps int (default: 3)Number of steps in the diffusion operator. Passed to; palantir.utils.run_magic_imputation. copy bool (default: False)Return a copy instead of writing to adata. Return type:; AnnData | None. Returns:; Depending on copy, returns or updates adata with the following fields:. Diffusion maps,used for magic imputation, and to generate multi-scale data matrix,. X_palantir_diff_comp - ndarray (obsm, dtype float)Array of Diffusion components. palantir_EigenValues - ndarray (uns, dtype float)Array of corr",MatchSource.WIKI,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io/en/stable/external/generated/scanpy.external.tl.palantir.html:10459,adapt,adaptive,10459,en/stable/external/generated/scanpy.external.tl.palantir.html,https://scanpy.readthedocs.io,https://scanpy.readthedocs.io/en/stable/external/generated/scanpy.external.tl.palantir.html,2,['adapt'],['adaptive']
Energy Efficiency,"; scanpy.external.pp.magic. Tools: TL; scanpy.external.tl.phate; scanpy.external.tl.palantir; scanpy.external.tl.trimap; scanpy.external.tl.sam; scanpy.external.tl.phenograph; scanpy.external.tl.harmony_timeseries; scanpy.external.tl.wishbone; scanpy.external.tl.palantir; scanpy.external.tl.palantir_results; scanpy.external.tl.sandbag; scanpy.external.tl.cyclone. Plotting: PL; scanpy.external.pl.phate; scanpy.external.pl.trimap; scanpy.external.pl.sam; scanpy.external.pl.wishbone_marker_trajectory. Exporting; scanpy.external.exporting.spring_project; scanpy.external.exporting.cellbrowser. Ecosystem; Release notes; Community; News; Contributing; Contributing code; Getting set up; Tests; Documentation; CI; Versioning; Making a release. Contributors; References. .rst. .pdf. scanpy.external.tl.palantir. Contents . palantir(). scanpy.external.tl.palantir#. scanpy.external.tl.palantir(adata, *, n_components=10, knn=30, alpha=0, use_adjacency_matrix=False, distances_key=None, n_eigs=None, impute_data=True, n_steps=3, copy=False)[source]#; Run Diffusion maps using the adaptive anisotropic kernel [Setty et al., 2019].; Palantir is an algorithm to align cells along differentiation trajectories.; Palantir models differentiation as a stochastic process where stem cells; differentiate to terminally differentiated cells by a series of steps through; a low dimensional phenotypic manifold. Palantir effectively captures the; continuity in cell states and the stochasticity in cell fate determination.; Palantir has been designed to work with multidimensional single cell data; from diverse technologies such as Mass cytometry and single cell RNA-seq. Note; More information and bug reports here. Parameters:. adata AnnDataAn AnnData object. n_components int (default: 10)Number of diffusion components. knn int (default: 30)Number of nearest neighbors for graph construction. alpha float (default: 0)Normalization parameter for the diffusion operator. use_adjacency_matrix bool (default: False)",MatchSource.WIKI,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io/en/stable/external/generated/scanpy.external.tl.palantir.html:9531,adapt,adaptive,9531,en/stable/external/generated/scanpy.external.tl.palantir.html,https://scanpy.readthedocs.io,https://scanpy.readthedocs.io/en/stable/external/generated/scanpy.external.tl.palantir.html,2,['adapt'],['adaptive']
Energy Efficiency,"; scanpy.external.tl.palantir; scanpy.external.tl.palantir_results; scanpy.external.tl.sandbag; scanpy.external.tl.cyclone. Plotting: PL; scanpy.external.pl.phate; scanpy.external.pl.trimap; scanpy.external.pl.sam; scanpy.external.pl.wishbone_marker_trajectory. Exporting; scanpy.external.exporting.spring_project; scanpy.external.exporting.cellbrowser. Ecosystem; Release notes; Community; News; Contributing; Contributing code; Getting set up; Tests; Documentation; CI; Versioning; Making a release. Contributors; References. .md. .pdf. Tutorials. Contents . Basic workflows; Visualization; Trajectory inference; Spatial data; Experimental; Older tutorials. Tutorials#. See also; For more tutorials featureing scanpy and other scverse ecosystem tools, check out the curated set of tutorials at scverse.org/learn. Basic workflows#. Basics; Preprocessing and clustering; Preprocessing and clustering 3k PBMCs (legacy workflow); Integrating data using ingest and BBKNN. Visualization#. Plotting; Core plotting functions; Customizing Scanpy plots. Trajectory inference#. See also; For more powerful tools for analysing single cell dynamics, check out the Scverse ecosystem packages:. CellRank; Dynamo. Trajectories; Trajectory inference for hematopoiesis in mouse. Spatial data#. See also; For more up-to-date tutorials on working with spatial data, see:. SquidPy tutorials; SpatialData tutorials; Scverse ecosystem spatial tutorials. Spatial; Analysis and visualization of spatial transcriptomics data; Integrating spatial data with scRNA-seq using scanorama. Experimental#. Experimental; How to preprocess UMI count data with analytic Pearson residuals; Using dask with Scanpy. Older tutorials#; A number of older tutorials can be found at:. The scanpy_usage repository. previous; Installation. next; Basics. Contents; . Basic workflows; Visualization; Trajectory inference; Spatial data; Experimental; Older tutorials. By Scanpy development team. ; © Copyright 2024, the Scanpy development team.; . ",MatchSource.WIKI,scverse,scanpy,1.10.2,https://scanpy.readthedocs.io/en/stable/tutorials/index.html:9766,power,powerful,9766,en/stable/tutorials/index.html,https://scanpy.readthedocs.io,https://scanpy.readthedocs.io/en/stable/tutorials/index.html,1,['power'],['powerful']
