,keyword,false_positive_False,false_positive_True,total,score,adv_score,total_score
47,extend,64,146,210,-0.3904761904761905,-2.010899318158494,92
125,secur,13,21,34,-0.23529411764705882,-0.8317845324834876,36
73,maintainab,4,2,6,0.3333333333333333,0.7455536892668858,16
24,concurren,13,32,45,-0.4222222222222222,-1.503088897014998,14
68,latency,5,11,16,-0.375,-0.9853268714922547,8
144,user experience,4,11,15,-0.4666666666666667,-1.141629086689919,2
25,confidential,2,5,7,-0.42857142857142855,-0.7869796082505413,2
132,threat,1,2,3,-0.3333333333333333,-0.42328679513998635,2
16,bottleneck,6,19,25,-0.52,-1.4729550745276567,-2
56,hazard,0,1,1,-1.0,-0.5,-2
90,plug-in,0,1,1,-1.0,-0.5,-2
109,response time,0,1,1,-1.0,-0.5,-2
117,rollout,0,1,1,-1.0,-0.5,-2
126,sensor,0,1,1,-1.0,-0.5,-2
130,synchroniz,1,5,6,-0.6666666666666666,-0.967512674605683,-4
57,heartbeat,0,2,2,-1.0,-0.6666666666666666,-4
65,interlock,0,2,2,-1.0,-0.6666666666666666,-4
76,mediat,0,2,2,-1.0,-0.6666666666666666,-4
129,sustainab,0,2,2,-1.0,-0.6666666666666666,-4
41,encrypt,8,27,35,-0.5428571428571428,-1.687424082483005,-6
81,multi-thread,1,6,7,-0.7142857142857143,-1.0582169878499659,-6
32,degraded,0,3,3,-1.0,-0.75,-6
58,hotfix,0,3,3,-1.0,-0.75,-6
63,integrity,0,3,3,-1.0,-0.75,-6
133,throttle,0,3,3,-1.0,-0.75,-6
6,alive,0,4,4,-1.0,-0.8,-8
107,repair,0,4,4,-1.0,-0.8,-8
115,rollback,0,4,4,-1.0,-0.8,-8
0,A/B,0,5,5,-1.0,-0.8333333333333334,-10
17,bridg,1,9,10,-0.8,-1.2313797676799603,-12
22,checksum,0,6,6,-1.0,-0.8571428571428571,-12
37,downtime,0,6,6,-1.0,-0.8571428571428571,-12
51,firewall,0,6,6,-1.0,-0.8571428571428571,-12
