quality_attribute,keyword,matched_word,sentence,source,filename,author,repo,version,wiki,url
Security,validat,validation,# validation,MatchSource.CODE_COMMENT,auth/auth/auth.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/auth/auth/auth.py#:~:text=%23%20validation
Modifiability,config,configure,# configure logging before importing anything else,MatchSource.CODE_COMMENT,auth/auth/__main__.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/auth/auth/__main__.py#:~:text=%23%20configure%20logging%20before%20importing%20anything%20else
Testability,log,logging,# configure logging before importing anything else,MatchSource.CODE_COMMENT,auth/auth/__main__.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/auth/auth/__main__.py#:~:text=%23%20configure%20logging%20before%20importing%20anything%20else
Modifiability,config,config,# don't bother deleting database-server-config since we're,MatchSource.CODE_COMMENT,auth/auth/driver/driver.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/auth/auth/driver/driver.py#:~:text=%23%20don%27t%20bother%20deleting%20database-server-config%20since%20we%27re
Testability,test,test,# auth services in test namespaces cannot/should not be creating and deleting namespaces,MatchSource.CODE_COMMENT,auth/auth/driver/driver.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/auth/auth/driver/driver.py#:~:text=%23%20auth%20services%20in%20test%20namespaces%20cannot/should%20not%20be%20creating%20and%20deleting%20namespaces
Testability,test,test,# auth services in test namespaces cannot/should not be creating and deleting namespaces,MatchSource.CODE_COMMENT,auth/auth/driver/driver.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/auth/auth/driver/driver.py#:~:text=%23%20auth%20services%20in%20test%20namespaces%20cannot/should%20not%20be%20creating%20and%20deleting%20namespaces
Modifiability,config,configure,# configure logging before importing anything else,MatchSource.CODE_COMMENT,auth/auth/driver/__main__.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/auth/auth/driver/__main__.py#:~:text=%23%20configure%20logging%20before%20importing%20anything%20else
Testability,log,logging,# configure logging before importing anything else,MatchSource.CODE_COMMENT,auth/auth/driver/__main__.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/auth/auth/driver/__main__.py#:~:text=%23%20configure%20logging%20before%20importing%20anything%20else
Integrability,interface,interface-files,html#interface-files,MatchSource.CODE_COMMENT,batch/batch/resource_usage.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/batch/batch/resource_usage.py#:~:text=html%23interface-files
Integrability,interface,interface-files,html#core-interface-files,MatchSource.CODE_COMMENT,batch/batch/resource_usage.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/batch/batch/resource_usage.py#:~:text=html%23core-interface-files
Usability,guid,guide,git/tree/Documentation/admin-guide/cgroup-v2,MatchSource.CODE_COMMENT,batch/batch/resource_usage.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/batch/batch/resource_usage.py#:~:text=git/tree/Documentation/admin-guide/cgroup-v2
Usability,guid,guide,git/tree/Documentation/admin-guide/cgroup-v2,MatchSource.CODE_COMMENT,batch/batch/resource_usage.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/batch/batch/resource_usage.py#:~:text=git/tree/Documentation/admin-guide/cgroup-v2
Energy Efficiency,power,power,# Azure bills for specific disk sizes so we must round the storage_in_gib to the nearest power of two,MatchSource.CODE_COMMENT,batch/batch/cloud/azure/resources.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/batch/batch/cloud/azure/resources.py#:~:text=%23%20Azure%20bills%20for%20specific%20disk%20sizes%20so%20we%20must%20round%20the%20storage_in_gib%20to%20the%20nearest%20power%20of%20two
Energy Efficiency,power,power,# Azure bills for specific disk sizes so we must round the storage_in_gib to the nearest power of two,MatchSource.CODE_COMMENT,batch/batch/cloud/azure/resources.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/batch/batch/cloud/azure/resources.py#:~:text=%23%20Azure%20bills%20for%20specific%20disk%20sizes%20so%20we%20must%20round%20the%20storage_in_gib%20to%20the%20nearest%20power%20of%20two
Deployability,deploy,deployments,com/en-us/rest/api/resources/deployments/list-by-resource-group#provisioningstate,MatchSource.CODE_COMMENT,batch/batch/cloud/azure/driver/driver.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/batch/batch/cloud/azure/driver/driver.py#:~:text=com/en-us/rest/api/resources/deployments/list-by-resource-group%23provisioningstate
Security,authenticat,authentication,com/en-us/azure/container-registry/container-registry-authentication?tabs=azure-cli#az-acr-login-with---expose-token,MatchSource.CODE_COMMENT,batch/batch/cloud/azure/worker/worker_api.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/batch/batch/cloud/azure/worker/worker_api.py#:~:text=com/en-us/azure/container-registry/container-registry-authentication%3Ftabs%3Dazure-cli%23az-acr-login-with---expose-token
Testability,log,login-with---expose-token,com/en-us/azure/container-registry/container-registry-authentication?tabs=azure-cli#az-acr-login-with---expose-token,MatchSource.CODE_COMMENT,batch/batch/cloud/azure/worker/worker_api.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/batch/batch/cloud/azure/worker/worker_api.py#:~:text=com/en-us/azure/container-registry/container-registry-authentication%3Ftabs%3Dazure-cli%23az-acr-login-with---expose-token
Availability,echo,echo,"echo ""instance $NAME has previously been started""",MatchSource.CODE_COMMENT,batch/batch/cloud/gcp/driver/create_instance.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/batch/batch/cloud/gcp/driver/create_instance.py#:~:text=echo%20%22instance%20%24NAME%20has%20previously%20been%20started%22
Testability,log,log,log 2>&1 &,MatchSource.CODE_COMMENT,batch/batch/cloud/gcp/driver/create_instance.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/batch/batch/cloud/gcp/driver/create_instance.py#:~:text=log%202%3E%261%20%26
Testability,log,log,log,MatchSource.CODE_COMMENT,batch/batch/cloud/gcp/driver/create_instance.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/batch/batch/cloud/gcp/driver/create_instance.py#:~:text=log
Deployability,deploy,deployments,"# the web console, test deployments, etc",MatchSource.CODE_COMMENT,batch/batch/cloud/gcp/driver/driver.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/batch/batch/cloud/gcp/driver/driver.py#:~:text=%23%20the%20web%20console%2C%20test%20deployments%2C%20etc
Testability,log,logging,# The project-wide logging quota is 60 request/m,MatchSource.CODE_COMMENT,batch/batch/cloud/gcp/driver/driver.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/batch/batch/cloud/gcp/driver/driver.py#:~:text=%23%20The%20project-wide%20logging%20quota%20is%2060%20request/m
Testability,log,logging,"# logging requests per iteration, so these numbers are not",MatchSource.CODE_COMMENT,batch/batch/cloud/gcp/driver/driver.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/batch/batch/cloud/gcp/driver/driver.py#:~:text=%23%20logging%20requests%20per%20iteration%2C%20so%20these%20numbers%20are%20not
Testability,log,logging,# since there will be other users of the logging API (us at,MatchSource.CODE_COMMENT,batch/batch/cloud/gcp/driver/driver.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/batch/batch/cloud/gcp/driver/driver.py#:~:text=%23%20since%20there%20will%20be%20other%20users%20of%20the%20logging%20API%20%28us%20at
Testability,test,test,"# the web console, test deployments, etc",MatchSource.CODE_COMMENT,batch/batch/cloud/gcp/driver/driver.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/batch/batch/cloud/gcp/driver/driver.py#:~:text=%23%20the%20web%20console%2C%20test%20deployments%2C%20etc
Modifiability,variab,variable,# passed as a variable parameter to this function!!,MatchSource.CODE_COMMENT,batch/batch/cloud/gcp/driver/zones.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/batch/batch/cloud/gcp/driver/zones.py#:~:text=%23%20passed%20as%20a%20variable%20parameter%20to%20this%20function%21%21
Security,access,access,# is not simple metadata but requires requesting an access token,MatchSource.CODE_COMMENT,batch/batch/cloud/gcp/worker/metadata_server.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/batch/batch/cloud/gcp/worker/metadata_server.py#:~:text=%23%20is%20not%20simple%20metadata%20but%20requires%20requesting%20an%20access%20token
Usability,simpl,simple,# is not simple metadata but requires requesting an access token,MatchSource.CODE_COMMENT,batch/batch/cloud/gcp/worker/metadata_server.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/batch/batch/cloud/gcp/worker/metadata_server.py#:~:text=%23%20is%20not%20simple%20metadata%20but%20requires%20requesting%20an%20access%20token
Availability,redundant,redundant,# this prevents having too many resources in the database with redundant information,MatchSource.CODE_COMMENT,batch/batch/driver/billing_manager.py,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/batch/batch/driver/billing_manager.py#:~:text=%23%20this%20prevents%20having%20too%20many%20resources%20in%20the%20database%20with%20redundant%20information
