quality_attribute,keyword,matched_word,sentence,source,filename,author,repo,version,wiki,url
Deployability,install,installation,html) section of the installation guide for info on compiling Hail,MatchSource.DOCS,README.md,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/README.md#:~:text=html%29%20section%20of%20the%20installation%20guide%20for%20info%20on%20compiling%20Hail
Deployability,continuous,continuous,"Hail uses a continuous deployment approach to software development, which means we frequently add new features",MatchSource.DOCS,README.md,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/README.md#:~:text=Hail%20uses%20a%20continuous%20deployment%20approach%20to%20software%20development%2C%20which%20means%20we%20frequently%20add%20new%20features
Deployability,update,update,We update users about changes to Hail via the [Discussion Forum](https://discuss,MatchSource.DOCS,README.md,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/README.md#:~:text=We%20update%20users%20about%20changes%20to%20Hail%20via%20the%20%5BDiscussion%20Forum%5D%28https%3A//discuss
Deployability,update,updates,We recommend creating an account on the Discussion Forum so that you can subscribe to these updates as well,MatchSource.DOCS,README.md,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/README.md#:~:text=We%20recommend%20creating%20an%20account%20on%20the%20Discussion%20Forum%20so%20that%20you%20can%20subscribe%20to%20these%20updates%20as%20well
Deployability,install,installed,citation for the version of Hail you installed by executing:,MatchSource.DOCS,README.md,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/README.md#:~:text=citation%20for%20the%20version%20of%20Hail%20you%20installed%20by%20executing%3A
Deployability,release,releases,com/hail-is/hail/releases/tag/0,MatchSource.DOCS,README.md,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/README.md#:~:text=com/hail-is/hail/releases/tag/0
Energy Efficiency,power,powered,Learn more about [Hail-powered science](https://hail,MatchSource.DOCS,README.md,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/README.md#:~:text=Learn%20more%20about%20%5BHail-powered%20science%5D%28https%3A//hail
Security,expose,exposed,"Hail is exposed as a Python library, using primitives for distributed queries and linear algebra implemented in Scala, [Spark](https://spark",MatchSource.DOCS,README.md,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/README.md#:~:text=Hail%20is%20exposed%20as%20a%20Python%20library%2C%20using%20primitives%20for%20distributed%20queries%20and%20linear%20algebra%20implemented%20in%20Scala%2C%20%5BSpark%5D%28https%3A//spark
Usability,guid,guide,html) section of the installation guide for info on compiling Hail,MatchSource.DOCS,README.md,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/README.md#:~:text=html%29%20section%20of%20the%20installation%20guide%20for%20info%20on%20compiling%20Hail
Integrability,inject,injection,"- Example: ""New UI text field added in analogy to existing elements, with input strings escaped and validated against code injection""",MatchSource.DOCS,.github/pull_request_template.md,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/.github/pull_request_template.md#:~:text=-%20Example%3A%20%22New%20UI%20text%20field%20added%20in%20analogy%20to%20existing%20elements%2C%20with%20input%20strings%20escaped%20and%20validated%20against%20code%20injection%22
