quality_attribute,keyword,matched_word,sentence,source,filename,author,repo,version,wiki,url
Availability,error,error,"""""""Custom build_ext to set SWIG options and print a better error message",MatchSource.CODE_COMMENT,scripts/python/setup.py,openbabel,openbabel,openbabel-3-1-1,http://openbabel.org/,https://github.com/openbabel/openbabel/tree/openbabel-3-1-1/scripts/python/setup.py#:~:text=%22%22%22Custom%20build_ext%20to%20set%20SWIG%20options%20and%20print%20a%20better%20error%20message
Deployability,install,installed,"# Warn if the (major, minor) version of the installed OB doesn't match these python bindings",MatchSource.CODE_COMMENT,scripts/python/setup.py,openbabel,openbabel,openbabel-3-1-1,http://openbabel.org/,https://github.com/openbabel/openbabel/tree/openbabel-3-1-1/scripts/python/setup.py#:~:text=%23%20Warn%20if%20the%20%28major%2C%20minor%29%20version%20of%20the%20installed%20OB%20doesn%27t%20match%20these%20python%20bindings
Deployability,install,install,"""""""Ensure build_ext runs first in install command",MatchSource.CODE_COMMENT,scripts/python/setup.py,openbabel,openbabel,openbabel-3-1-1,http://openbabel.org/,https://github.com/openbabel/openbabel/tree/openbabel-3-1-1/scripts/python/setup.py#:~:text=%22%22%22Ensure%20build_ext%20runs%20first%20in%20install%20command
Integrability,interface,interface,"""""""Add swig interface files into distribution from parent directory",MatchSource.CODE_COMMENT,scripts/python/setup.py,openbabel,openbabel,openbabel-3-1-1,http://openbabel.org/,https://github.com/openbabel/openbabel/tree/openbabel-3-1-1/scripts/python/setup.py#:~:text=%22%22%22Add%20swig%20interface%20files%20into%20distribution%20from%20parent%20directory
Integrability,message,message,"""""""Custom build_ext to set SWIG options and print a better error message",MatchSource.CODE_COMMENT,scripts/python/setup.py,openbabel,openbabel,openbabel-3-1-1,http://openbabel.org/,https://github.com/openbabel/openbabel/tree/openbabel-3-1-1/scripts/python/setup.py#:~:text=%22%22%22Custom%20build_ext%20to%20set%20SWIG%20options%20and%20print%20a%20better%20error%20message
Modifiability,config,config,"""""""Wrapper around pkg-config command line tool",MatchSource.CODE_COMMENT,scripts/python/setup.py,openbabel,openbabel,openbabel-3-1-1,http://openbabel.org/,https://github.com/openbabel/openbabel/tree/openbabel-3-1-1/scripts/python/setup.py#:~:text=%22%22%22Wrapper%20around%20pkg-config%20command%20line%20tool
Availability,error,error,# This will send message to the error log,MatchSource.CODE_COMMENT,scripts/python/examples/dalke_test.py,openbabel,openbabel,openbabel-3-1-1,http://openbabel.org/,https://github.com/openbabel/openbabel/tree/openbabel-3-1-1/scripts/python/examples/dalke_test.py#:~:text=%23%20This%20will%20send%20message%20to%20the%20error%20log
Availability,error,error,# This writes an error to the log,MatchSource.CODE_COMMENT,scripts/python/examples/dalke_test.py,openbabel,openbabel,openbabel-3-1-1,http://openbabel.org/,https://github.com/openbabel/openbabel/tree/openbabel-3-1-1/scripts/python/examples/dalke_test.py#:~:text=%23%20This%20writes%20an%20error%20to%20the%20log
Availability,error,error,# This writes an error to the log,MatchSource.CODE_COMMENT,scripts/python/examples/dalke_test.py,openbabel,openbabel,openbabel-3-1-1,http://openbabel.org/,https://github.com/openbabel/openbabel/tree/openbabel-3-1-1/scripts/python/examples/dalke_test.py#:~:text=%23%20This%20writes%20an%20error%20to%20the%20log
Availability,failure,failure,# This is the documented failure condition,MatchSource.CODE_COMMENT,scripts/python/examples/dalke_test.py,openbabel,openbabel,openbabel-3-1-1,http://openbabel.org/,https://github.com/openbabel/openbabel/tree/openbabel-3-1-1/scripts/python/examples/dalke_test.py#:~:text=%23%20This%20is%20the%20documented%20failure%20condition
Integrability,message,messages,# Some of the API calls generate log messages,MatchSource.CODE_COMMENT,scripts/python/examples/dalke_test.py,openbabel,openbabel,openbabel-3-1-1,http://openbabel.org/,https://github.com/openbabel/openbabel/tree/openbabel-3-1-1/scripts/python/examples/dalke_test.py#:~:text=%23%20Some%20of%20the%20API%20calls%20generate%20log%20messages
