quality_attribute,sentence,source,author,repo,version,id,keyword,matched_word,match_idx,filename,wiki,url,total_similar,target_keywords,target_matched_words
Availability," INSTITUTE SOFTWARE LICENSE AGREEMENT; FOR ACADEMIC NON-COMMERCIAL RESEARCH PURPOSES ONLY. This Agreement is made between the Broad Institute, Inc. with a principal address at 7 Cambridge Center, Cambridge, MA 02142 (""BROAD"") and the LICENSEE and is effective at the date the downloading is completed (""EFFECTIVE DATE""). WHEREAS, LICENSEE desires to license the PROGRAM, as defined hereinafter, and BROAD wishes to have this PROGRAM utilized in the public interest, subject only to the royalty-free, nonexclusive, nontransferable license rights of the United States Government pursuant to 48 CFR 52.227-14; and. WHEREAS, LICENSEE desires to license the PROGRAM and BROAD desires to grant a license on the following terms and conditions. NOW, THEREFORE, in consideration of the promises and covenants made herein, the parties hereto agree as follows:. 1. DEFINITIONS; 1.1 ""PROGRAM"" shall mean the object code and source code known as Oncotator 1.0 and related documentation, if any, as they exist on the EFFECTIVE DATE and can be downloaded from http://www.broadinstitute.org/cancer/cga/oncotator on the EFFECTIVE DATE. BROAD acknowledges that the PROGRAM employs one or more public domain code(s) that are freely available for public use. 2. LICENSE; 2.1 Grant. Subject to the terms of this Agreement, BROAD hereby grants to LICENSEE, solely for academic non-commercial research purposes, a non-exclusive, non-transferable license to: (a) download, execute and display the PROGRAM and (b) create bug fixes and modify the PROGRAM. LICENSEE hereby automatically grants to BROAD a non-exclusive, royalty-free, irrevocable license to any LICENSEE bug fixes or modifications to the PROGRAM with unlimited rights to sublicense and/or distribute. LICENSEE agrees to provide any such modifications and bug fixes to BROAD promptly upon their creation. The LICENSEE may apply the PROGRAM in a pipeline to data owned by users other than the LICENSEE and provide these users the results of the PROGRAM provided LI",MatchSource.CODE_COMMENT,broadinstitute,gatk,4.6.0.0,https://github.com/broadinstitute/gatk/tree/4.6.0.0/scripts/funcotator/data_sources/cosmic/createCosmicFusionGeneTsv.py:1108,down,downloaded,1108,scripts/funcotator/data_sources/cosmic/createCosmicFusionGeneTsv.py,https://software.broadinstitute.org/gatk,https://github.com/broadinstitute/gatk/tree/4.6.0.0/scripts/funcotator/data_sources/cosmic/createCosmicFusionGeneTsv.py,1,['down'],['downloaded']
Availability," intellectual property, or patent rights of BROAD, or of any other entity, except as expressly granted herein. LICENSEE agrees that the PROGRAM, in whole or part, shall not be used for any commercial purpose, including without limitation, as the basis of a commercial software or hardware product or to provide services. LICENSEE further agrees that the PROGRAM shall not be copied or otherwise adapted in order to circumvent the need for obtaining a license for use of the PROGRAM. 3. OWNERSHIP OF INTELLECTUAL PROPERTY; LICENSEE acknowledges that title to the PROGRAM shall remain with BROAD. The PROGRAM is marked with the following BROAD copyright notice and notice of attribution to contributors. LICENSEE shall retain such notice on all copies. LICENSEE agrees to include appropriate attribution if any results obtained from use of the PROGRAM are included in any publication. Copyright 2014 Broad Institute, Inc.; Notice of attribution: The Oncotator 1.0 program was made available through the generosity of the Broad Institute, Inc. LICENSEE shall not use any trademark or trade name of BROAD, or any variation, adaptation, or abbreviation, of such marks or trade names, or any names of officers, faculty, students, employees, or agents of BROAD except as states above for attribution purposes. 4. INDEMNIFICATION; LICENSEE shall indemnify, defend, and hold harmless BROAD, and their respective officers, faculty, students, employees, associated investigators and agents, and their respective successors, heirs and assigns, (""Indemnitees""), against any liability, damage, loss, or expense (including reasonable attorney fees and expenses) incurred by or imposed upon any of the Indemnitees in connection with any claims, suits, actions, demands or judgments arising out of any theory of liability (including, without limitation, actions in the form of tort, warranty, or strict liability and regardless of whether such action has any factual basis) pursuant to any right or license granted un",MatchSource.CODE_COMMENT,broadinstitute,gatk,4.6.0.0,https://github.com/broadinstitute/gatk/tree/4.6.0.0/scripts/funcotator/data_sources/cosmic/createCosmicFusionGeneTsv.py:3900,avail,available,3900,scripts/funcotator/data_sources/cosmic/createCosmicFusionGeneTsv.py,https://software.broadinstitute.org/gatk,https://github.com/broadinstitute/gatk/tree/4.6.0.0/scripts/funcotator/data_sources/cosmic/createCosmicFusionGeneTsv.py,1,['avail'],['available']
Availability,"""""""; By downloading the PROGRAM you agree to the following terms of use:. BROAD INSTITUTE SOFTWARE LICENSE AGREEMENT; FOR ACADEMIC NON-COMMERCIAL RESEARCH PURPOSES ONLY. This Agreement is made between the Broad Institute, Inc. with a principal address at 7 Cambridge Center, Cambridge, MA 02142 (""BROAD"") and the LICENSEE and is effective at the date the downloading is completed (""EFFECTIVE DATE""). WHEREAS, LICENSEE desires to license the PROGRAM, as defined hereinafter, and BROAD wishes to have this PROGRAM utilized in the public interest, subject only to the royalty-free, nonexclusive, nontransferable license rights of the United States Government pursuant to 48 CFR 52.227-14; and. WHEREAS, LICENSEE desires to license the PROGRAM and BROAD desires to grant a license on the following terms and conditions. NOW, THEREFORE, in consideration of the promises and covenants made herein, the parties hereto agree as follows:. 1. DEFINITIONS; 1.1 ""PROGRAM"" shall mean the object code and source code known as Oncotator 1.0 and related documentation, if any, as they exist on the EFFECTIVE DATE and can be downloaded from http://www.broadinstitute.org/cancer/cga/oncotator on the EFFECTIVE DATE. BROAD acknowledges that the PROGRAM employs one or more public domain code(s) that are freely available for public use. 2. LICENSE; 2.1 Grant. Subject to the terms of this Agreement, BROAD hereby grants to LICENSEE, solely for academic non-commercial research purposes, a non-exclusive, non-transferable license to: (a) download, execute and display the PROGRAM and (b) create bug fixes and modify the PROGRAM. LICENSEE hereby automatically grants to BROAD a non-exclusive, royalty-free, irrevocable license to any LICENSEE bug fixes or modifications to the PROGRAM with unlimited rights to sublicense and/or distribute. LICENSEE agrees to provide any such modifications and bug fixes to BROAD promptly upon their creation. The LICENSEE may apply the PROGRAM in a pipeline to data owned by users other t",MatchSource.CODE_COMMENT,broadinstitute,gatk,4.6.0.0,https://github.com/broadinstitute/gatk/tree/4.6.0.0/scripts/funcotator/data_sources/cosmic/createCosmicFusionGeneTsv.py:8,down,downloading,8,scripts/funcotator/data_sources/cosmic/createCosmicFusionGeneTsv.py,https://software.broadinstitute.org/gatk,https://github.com/broadinstitute/gatk/tree/4.6.0.0/scripts/funcotator/data_sources/cosmic/createCosmicFusionGeneTsv.py,2,['down'],['downloading']
Availability,"""""""Applies the mask on a given interval list and read count array. Args:; n_st: a read count matrix. Returns:; a view of the provided n_st,; a new list containing references to the provided interval list; """"""",MatchSource.CODE_COMMENT,broadinstitute,gatk,4.6.0.0,https://github.com/broadinstitute/gatk/tree/4.6.0.0/src/main/python/org/broadinstitute/hellbender/gcnvkernel/preprocess/interval_list_mask.py:15,mask,mask,15,src/main/python/org/broadinstitute/hellbender/gcnvkernel/preprocess/interval_list_mask.py,https://software.broadinstitute.org/gatk,https://github.com/broadinstitute/gatk/tree/4.6.0.0/src/main/python/org/broadinstitute/hellbender/gcnvkernel/preprocess/interval_list_mask.py,1,['mask'],['mask']
Availability,"""""""Calculates the complementary phred-scaled posterior probability that ""all"" sites in a segment have; the same hidden state (""call""). Note:; If all of the intervals in the segment overwhelmingly support the call state, the probability of; deviations from the call state become very small, resulting in numerical instabilities. In such cases, we calculate the the quality assuming that the correlations in the posterior; distribution are negligible, i.e.:. log(1 - p(c_1 = c_2 = ... = call)) ~ log(1 - p(c_1 = call) x p(c_2 = call) x ...); = log(1 - (1 - p(c_1 != call)) x (1 - p(c_2 != call)) x ...). We calculate the latter expression using a robust numerical algorithm implemented in; `gcnvkernel.utils.math.logsumexp_double_complement`. Since this calculation is relatively cheap, we always calculate the exact quality via the above; scheme. If the uncorrelated phred-scale quality falls below `quality_switch_threshold`, we; conclude that the segment is not high-quality and the correlated calculation is stable. Hence,; we switch to the exact result. Args:; start_index: first site index (inclusive); end_index: last site index (inclusive); call_state: segment call state index; quality_switch_threshold: if the approximate quality is below this value, correlations will be; taken into account. Returns:; a phred-scaled probability; """"""",MatchSource.CODE_COMMENT,broadinstitute,gatk,4.6.0.0,https://github.com/broadinstitute/gatk/tree/4.6.0.0/src/main/python/org/broadinstitute/hellbender/gcnvkernel/postprocess/segment_quality_utils.py:645,robust,robust,645,src/main/python/org/broadinstitute/hellbender/gcnvkernel/postprocess/segment_quality_utils.py,https://software.broadinstitute.org/gatk,https://github.com/broadinstitute/gatk/tree/4.6.0.0/src/main/python/org/broadinstitute/hellbender/gcnvkernel/postprocess/segment_quality_utils.py,1,['robust'],['robust']
Availability,"""""""Calculates the following expression in a numerically stable fashion:. log(1 - (1 - exp(a_0)) x (1 - exp(a_1)) x ...). where a_i are the entries of `a` and assumed to be non-positive. The algorithm is as follows:. We define:. exp(x_n) = 1 - \prod_{i=0}^n (1 - exp(a_n)),. Thus, we have x_0 = a_0 and the recursion relation:. exp(x_{n+1}) = exp(x_n) + exp(b_{n+1}),. where. b_{n+1} = a_{n+1} + log(1 - exp(x_n)). We sort `a` in the descending order and update `x` term by term. It is easy to show that x_{n} is monotonically; increasing and that |x_{N} - x_{n}| < (N - n) |x_{n} - x_{n-1}|. We use the last inequality to bound the error; for early stopping. Args:; a: a float array; rel_tol: relative error tolerance for early stopping of calculation. Returns:; a float scalar; """"""",MatchSource.CODE_COMMENT,broadinstitute,gatk,4.6.0.0,https://github.com/broadinstitute/gatk/tree/4.6.0.0/src/main/python/org/broadinstitute/hellbender/gcnvkernel/utils/math.py:632,error,error,632,src/main/python/org/broadinstitute/hellbender/gcnvkernel/utils/math.py,https://software.broadinstitute.org/gatk,https://github.com/broadinstitute/gatk/tree/4.6.0.0/src/main/python/org/broadinstitute/hellbender/gcnvkernel/utils/math.py,3,"['error', 'toler']","['error', 'tolerance']"
Availability,"""""""Get the latest estimate of the linear regression intercept. Returns:; float value of the intercept if estimate is available; None if the estimate is not available yet; """"""",MatchSource.CODE_COMMENT,broadinstitute,gatk,4.6.0.0,https://github.com/broadinstitute/gatk/tree/4.6.0.0/src/main/python/org/broadinstitute/hellbender/gcnvkernel/utils/rls.py:117,avail,available,117,src/main/python/org/broadinstitute/hellbender/gcnvkernel/utils/rls.py,https://software.broadinstitute.org/gatk,https://github.com/broadinstitute/gatk/tree/4.6.0.0/src/main/python/org/broadinstitute/hellbender/gcnvkernel/utils/rls.py,2,['avail'],['available']
Availability,"""""""Get the latest estimate of the linear regression slope. Returns:; float value of the slope if estimate is available; None if the estimate is not available yet; """"""",MatchSource.CODE_COMMENT,broadinstitute,gatk,4.6.0.0,https://github.com/broadinstitute/gatk/tree/4.6.0.0/src/main/python/org/broadinstitute/hellbender/gcnvkernel/utils/rls.py:109,avail,available,109,src/main/python/org/broadinstitute/hellbender/gcnvkernel/utils/rls.py,https://software.broadinstitute.org/gatk,https://github.com/broadinstitute/gatk/tree/4.6.0.0/src/main/python/org/broadinstitute/hellbender/gcnvkernel/utils/rls.py,2,['avail'],['available']
Availability,"""""""Get the latest estimate of the linear regression variance. Returns:; float value of the variance if estimate is available; None if the estimate is not available yet; """"""",MatchSource.CODE_COMMENT,broadinstitute,gatk,4.6.0.0,https://github.com/broadinstitute/gatk/tree/4.6.0.0/src/main/python/org/broadinstitute/hellbender/gcnvkernel/utils/rls.py:115,avail,available,115,src/main/python/org/broadinstitute/hellbender/gcnvkernel/utils/rls.py,https://software.broadinstitute.org/gatk,https://github.com/broadinstitute/gatk/tree/4.6.0.0/src/main/python/org/broadinstitute/hellbender/gcnvkernel/utils/rls.py,2,['avail'],['available']
Availability,"""""""Initializer. Args:; contig_ploidy_prior_map: map from contigs to prior probabilities of each ploidy state; mean_bias_sd: standard deviation of mean contig-level coverage bias; psi_j_scale: typical scale of contig-specific unexplained variance; psi_s_scale: typical scale of sample-specific unexplained variance; mapping_error_rate: typical mapping error probability; """"""",MatchSource.CODE_COMMENT,broadinstitute,gatk,4.6.0.0,https://github.com/broadinstitute/gatk/tree/4.6.0.0/src/main/python/org/broadinstitute/hellbender/gcnvkernel/models/model_ploidy.py:351,error,error,351,src/main/python/org/broadinstitute/hellbender/gcnvkernel/models/model_ploidy.py,https://software.broadinstitute.org/gatk,https://github.com/broadinstitute/gatk/tree/4.6.0.0/src/main/python/org/broadinstitute/hellbender/gcnvkernel/models/model_ploidy.py,1,['error'],['error']
