quality_attribute,sentence,source,author,repo,version,id,keyword,matched_word,match_idx,filename,wiki,url,total_similar,target_keywords,target_matched_words
Deployability,"﻿. Search. Navigation. Index. modules    .    .  · ; 1.10a1.dev61;  · . PSI4. Search. Search. Please activate JavaScript to enable the search; functionality.; . Searching for multiple words only shows matches that contain; all words.; . «; hide menu. menu; sidebar; »; . Navigation. Index. modules    .    .  · ; 1.10a1.dev61;  · . PSI4. Search. © Copyright 2007-2024, The Psi4 Project.; Last updated on Thursday, 07 November 2024 08:57AM.; Created using Sphinx 7.4.7.; . ",MatchSource.WIKI,psi4,psi4,v1.9.1,https://psicode.org/psi4manual/master/search.html:393,update,updated,393,psi4manual/master/search.html,https://psicode.org,https://psicode.org/psi4manual/master/search.html,1,['update'],['updated']
Deployability,"﻿. Search. Navigation. Index. modules    .    .  · ; 1.1;  · . PSI4. Search. Please activate JavaScript to enable the search; functionality.; . From here you can search these documents. Enter your search; words into the box below and click ""search"". Note that the search; function will automatically search for all of the words. Pages; containing fewer words won't appear in the result list.; . Navigation. Index. modules    .    .  · ; 1.1;  · . PSI4. © Copyright 2017, The Psi4 Project.; Last updated on Wednesday, 17 May 2017 05:47AM.; Created using Sphinx 1.5.6.; . ",MatchSource.WIKI,psi4,psi4,v1.9.1,https://psicode.org/psi4manual/1.1.0/search-1.html:495,update,updated,495,psi4manual/1.1.0/search-1.html,https://psicode.org,https://psicode.org/psi4manual/1.1.0/search-1.html,2,['update'],['updated']
Deployability,"﻿. Search. Navigation. Index. modules    .    .  · ; 1.2.1;  · . PSI4. Search. Please activate JavaScript to enable the search; functionality.; . From here you can search these documents. Enter your search; words into the box below and click ""search"". Note that the search; function will automatically search for all of the words. Pages; containing fewer words won't appear in the result list.; . «; hide menu. menu; sidebar; »; . Navigation. Index. modules    .    .  · ; 1.2.1;  · . PSI4. © Copyright 2018, The Psi4 Project.; Last updated on Wednesday, 25 July 2018 04:21AM.; Created using Sphinx 1.7.6.; . ",MatchSource.WIKI,psi4,psi4,v1.9.1,https://psicode.org/psi4manual/1.2.1/search-1.html:533,update,updated,533,psi4manual/1.2.1/search-1.html,https://psicode.org,https://psicode.org/psi4manual/1.2.1/search-1.html,2,['update'],['updated']
Deployability,"﻿. Search. Navigation. Index. modules    .    .  · ; 1.3.2;  · . PSI4. Search. Please activate JavaScript to enable the search; functionality.; . From here you can search these documents. Enter your search; words into the box below and click ""search"". Note that the search; function will automatically search for all of the words. Pages; containing fewer words won't appear in the result list.; . «; hide menu. menu; sidebar; »; . Navigation. Index. modules    .    .  · ; 1.3.2;  · . PSI4. © Copyright 2019, The Psi4 Project.; Last updated on Wednesday, 15 May 2019 08:49PM.; Created using Sphinx 1.8.5.; . ",MatchSource.WIKI,psi4,psi4,v1.9.1,https://psicode.org/psi4manual/1.3.2/search-1.html:533,update,updated,533,psi4manual/1.3.2/search-1.html,https://psicode.org,https://psicode.org/psi4manual/1.3.2/search-1.html,2,['update'],['updated']
Deployability,"﻿. Search. Navigation. Index. modules    .    .  · ; 1.4;  · . PSI4. Search. Search. Please activate JavaScript to enable the search; functionality.; . Searching for multiple words only shows matches that contain; all words.; . «; hide menu. menu; sidebar; »; . Navigation. Index. modules    .    .  · ; 1.4;  · . PSI4. Search. © Copyright 2021, The Psi4 Project.; Last updated on Thursday, 05 August 2021 02:16PM.; Created using Sphinx 4.1.2.; . ",MatchSource.WIKI,psi4,psi4,v1.9.1,https://psicode.org/psi4manual/1.4.0/search-1.html:370,update,updated,370,psi4manual/1.4.0/search-1.html,https://psicode.org,https://psicode.org/psi4manual/1.4.0/search-1.html,2,['update'],['updated']
Deployability,"﻿. Search. Navigation. Index. modules    .    .  · ; 1.5;  · . PSI4. Search. Search. Please activate JavaScript to enable the search; functionality.; . Searching for multiple words only shows matches that contain; all words.; . «; hide menu. menu; sidebar; »; . Navigation. Index. modules    .    .  · ; 1.5;  · . PSI4. Search. © Copyright 2021, The Psi4 Project.; Last updated on Sunday, 28 November 2021 02:41AM.; Created using Sphinx 4.3.1.; . ",MatchSource.WIKI,psi4,psi4,v1.9.1,https://psicode.org/psi4manual/1.5.0/search-1.html:370,update,updated,370,psi4manual/1.5.0/search-1.html,https://psicode.org,https://psicode.org/psi4manual/1.5.0/search-1.html,2,['update'],['updated']
Deployability,"﻿. Search. Navigation. Index. modules    .    .  · ; 1.6;  · . PSI4. Search. Search. Please activate JavaScript to enable the search; functionality.; . Searching for multiple words only shows matches that contain; all words.; . «; hide menu. menu; sidebar; »; . Navigation. Index. modules    .    .  · ; 1.6;  · . PSI4. Search. © Copyright 2022, The Psi4 Project.; Last updated on Thursday, 19 May 2022 08:57PM.; Created using Sphinx 4.5.0.; . ",MatchSource.WIKI,psi4,psi4,v1.9.1,https://psicode.org/psi4manual/1.6.x/search.html:370,update,updated,370,psi4manual/1.6.x/search.html,https://psicode.org,https://psicode.org/psi4manual/1.6.x/search.html,1,['update'],['updated']
Deployability,"﻿. Search. Navigation. Index. modules    .    .  · ; 1.7;  · . PSI4. Search. Search. Please activate JavaScript to enable the search; functionality.; . Searching for multiple words only shows matches that contain; all words.; . «; hide menu. menu; sidebar; »; . Navigation. Index. modules    .    .  · ; 1.7;  · . PSI4. Search. © Copyright 2007-2022, The Psi4 Project.; Last updated on Tuesday, 06 December 2022 10:44PM.; Created using Sphinx 5.1.1.; . ",MatchSource.WIKI,psi4,psi4,v1.9.1,https://psicode.org/psi4manual/1.7.x/search.html:375,update,updated,375,psi4manual/1.7.x/search.html,https://psicode.org,https://psicode.org/psi4manual/1.7.x/search.html,1,['update'],['updated']
Deployability,"﻿. Search. Navigation. Index. modules    .    .  · ; 1.8.2;  · . PSI4. Search. Search. Please activate JavaScript to enable the search; functionality.; . Searching for multiple words only shows matches that contain; all words.; . «; hide menu. menu; sidebar; »; . Navigation. Index. modules    .    .  · ; 1.8.2;  · . PSI4. Search. © Copyright 2007-2023, The Psi4 Project.; Last updated on Wednesday, 04 October 2023 01:57AM.; Created using Sphinx 7.2.6.; . ",MatchSource.WIKI,psi4,psi4,v1.9.1,https://psicode.org/psi4manual/1.8.x/search.html:379,update,updated,379,psi4manual/1.8.x/search.html,https://psicode.org,https://psicode.org/psi4manual/1.8.x/search.html,1,['update'],['updated']
Deployability,"﻿. Search. Navigation. Index. modules    .    .  · ; 1.9.1;  · . PSI4. Search. Search. Please activate JavaScript to enable the search; functionality.; . Searching for multiple words only shows matches that contain; all words.; . «; hide menu. menu; sidebar; »; . Navigation. Index. modules    .    .  · ; 1.9.1;  · . PSI4. Search. © Copyright 2007-2024, The Psi4 Project.; Last updated on Thursday, 08 February 2024 09:32PM.; Created using Sphinx 7.2.6.; . ",MatchSource.WIKI,psi4,psi4,v1.9.1,https://psicode.org/psi4manual/1.9.x/search.html:379,update,updated,379,psi4manual/1.9.x/search.html,https://psicode.org,https://psicode.org/psi4manual/1.9.x/search.html,1,['update'],['updated']
