quality_attribute,sentence,source,author,repo,version,id,keyword,matched_word,match_idx,wiki,url,total_similar,target_keywords,target_matched_words
Availability,Build failed on ROOT-fedora27/noimt.; [See console output](https://epsft-jenkins.cern.ch/job/root-pullrequests-build/55534/console).; ### Errors:; - FAILED: DAVIX-prefix/src/DAVIX-stamp/DAVIX-build DAVIX-prefix/lib/libdavix.a DAVIX-prefix/lib/libneon.a DAVIX-prefix/lib/libboost_static_internal.a ; - CMake Error at /mnt/build/workspace/root-pullrequests-build/build/DAVIX-prefix/src/DAVIX-stamp/DAVIX-build-Release.cmake:16 (message): . ### Warnings:; - /mnt/build/workspace/root-pullrequests-build/root/core/zip/src/inflate.c:1507:61: warning: left shift of negative value [-Wshift-negative-value],MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/3547#issuecomment-474575010:138,Error,Errors,138,https://root.cern,https://github.com/root-project/root/pull/3547#issuecomment-474575010,2,['Error'],"['Error', 'Errors']"
Availability,"Build failed on ROOT-fedora27/noimt.; [See console output](https://epsft-jenkins.cern.ch/job/root-pullrequests-build/55768/console).; ### Errors:; - FAILED: tmva/tmva/G__TMVA.cxx lib/libTMVA_rdict.pcm lib/libTMVA.rootmap ; - /mnt/build/workspace/root-pullrequests-build/build/include/TMVA/Executor.h:64:10: error: no type named 'TThreadExecutor' in namespace 'ROOT' ; - /mnt/build/workspace/root-pullrequests-build/build/include/TMVA/Executor.h:65:31: error: cannot initialize return object of type 'int *' with an rvalue of type 'std::unique_ptr&lt;ROOT::TSequentialExecutor, std::default_delete&lt;ROOT::TSequentialExecutor&gt; &gt;::pointer' (aka 'ROOT::TSequentialExecutor *') ; - /mnt/build/workspace/root-pullrequests-build/build/include/TMVA/Executor.h:67:48: error: no member named 'TThreadExecutor' in namespace 'ROOT' ; - /mnt/build/workspace/root-pullrequests-build/build/include/TMVA/Executor.h:68:115: error: no member named 'GetPoolSize' in 'ROOT::TSequentialExecutor' ; - /mnt/build/workspace/root-pullrequests-build/build/include/TMVA/Executor.h:69:17: error: cannot initialize return object of type 'int *' with an rvalue of type 'std::unique_ptr&lt;ROOT::TSequentialExecutor, std::default_delete&lt;ROOT::TSequentialExecutor&gt; &gt;::pointer' (aka 'ROOT::TSequentialExecutor *') ; - /mnt/build/workspace/root-pullrequests-build/build/include/TMVA/Executor.h:75:27: error: no member named 'GetPoolSize' in 'ROOT::TSequentialExecutor' ; - Error: /mnt/build/workspace/root-pullrequests-build/build/bin/rootcling: compilation failure (/mnt/build/workspace/root-pullrequests-build/build/lib/libTMVAe4cd678b8f_dictUmbrella.h)",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/3585#issuecomment-475680964:138,Error,Errors,138,https://root.cern,https://github.com/root-project/root/pull/3585#issuecomment-475680964,9,"['Error', 'error', 'failure']","['Error', 'Errors', 'error', 'failure']"
Availability,Build failed on ROOT-fedora27/noimt.; [See console output](https://epsft-jenkins.cern.ch/job/root-pullrequests-build/55774/console).; ### Errors:; - FAILED: tmva/tmva/G__TMVA.cxx lib/libTMVA_rdict.pcm lib/libTMVA.rootmap ; - /mnt/build/workspace/root-pullrequests-build/build/include/TMVA/Executor.h:77:27: error: no member named 'GetPoolSize' in 'ROOT::TSequentialExecutor' ; - Error: /mnt/build/workspace/root-pullrequests-build/build/bin/rootcling: compilation failure (/mnt/build/workspace/root-pullrequests-build/build/lib/libTMVA1047671d10_dictUmbrella.h),MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/3585#issuecomment-475688707:138,Error,Errors,138,https://root.cern,https://github.com/root-project/root/pull/3585#issuecomment-475688707,4,"['Error', 'error', 'failure']","['Error', 'Errors', 'error', 'failure']"
Availability,Build failed on ROOT-fedora27/noimt.; [See console output](https://epsft-jenkins.cern.ch/job/root-pullrequests-build/55781/console).; ### Errors:; - FAILED: tree/tree/test/ElementStructDict.cxx tree/tree/test/libElementStructDict_rdict.pcm tree/tree/test/libElementStructDict.rootmap ; - FAILED: graf2d/x11/G__GX11.cxx lib/libGX11_rdict.pcm lib/libGX11.rootmap ; - FAILED: io/xml/G__XMLIO.cxx lib/libXMLIO_rdict.pcm lib/libXMLIO.rootmap ; - FAILED: net/net/G__Net.cxx lib/libNet_rdict.pcm lib/libNet.rootmap ; - FAILED: io/xmlparser/G__XMLParser.cxx lib/libXMLParser_rdict.pcm lib/libXMLParser.rootmap ; - FAILED: net/http/G__RHTTP.cxx lib/libRHTTP_rdict.pcm lib/libRHTTP.rootmap ; - FAILED: math/vecops/G__ROOTVecOps.cxx lib/libROOTVecOps_rdict.pcm lib/libROOTVecOps.rootmap ; - FAILED: math/mathcore/G__MathCore.cxx lib/libMathCore_rdict.pcm lib/libMathCore.rootmap,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/3586#issuecomment-475798458:138,Error,Errors,138,https://root.cern,https://github.com/root-project/root/pull/3586#issuecomment-475798458,1,['Error'],['Errors']
Availability,Build failed on ROOT-fedora27/noimt.; [See console output](https://epsft-jenkins.cern.ch/job/root-pullrequests-build/55805/console).; ### Errors:; - FAILED: tmva/tmva/CMakeFiles/TMVA.dir/src/Config.cxx.o ; - include/TMVA/Executor.h:51:17: error: ‘IsImplicitMTEnabled’ is not a member of ‘ROOT’ ; - include/TMVA/Executor.h:56:12: error: ‘::Error’ has not been declared,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/3585#issuecomment-476107224:138,Error,Errors,138,https://root.cern,https://github.com/root-project/root/pull/3585#issuecomment-476107224,4,"['Error', 'error']","['Error', 'Errors', 'error']"
Availability,Build failed on ROOT-fedora27/noimt.; [See console output](https://epsft-jenkins.cern.ch/job/root-pullrequests-build/56009/console).; ### Errors:; - FAILED: DAVIX-prefix/src/DAVIX-stamp/DAVIX-build DAVIX-prefix/lib/libdavix.a DAVIX-prefix/lib/libneon.a DAVIX-prefix/lib/libboost_static_internal.a ; - CMake Error at /mnt/build/workspace/root-pullrequests-build/build/DAVIX-prefix/src/DAVIX-stamp/DAVIX-build-Release.cmake:16 (message): . ### Warnings:; - /mnt/build/workspace/root-pullrequests-build/root/core/zip/src/inflate.c:1507:61: warning: left shift of negative value [-Wshift-negative-value],MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/3610#issuecomment-477228570:138,Error,Errors,138,https://root.cern,https://github.com/root-project/root/pull/3610#issuecomment-477228570,2,['Error'],"['Error', 'Errors']"
Availability,Build failed on ROOT-fedora27/noimt.; [See console output](https://epsft-jenkins.cern.ch/job/root-pullrequests-build/56123/console).; ### Errors:; - error: Failed to merge in the changes. ; - CMake Error at /mnt/build/workspace/root-pullrequests-build/rootspi/jenkins/root-build.cmake:774 (message):,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/3615#issuecomment-478067875:138,Error,Errors,138,https://root.cern,https://github.com/root-project/root/pull/3615#issuecomment-478067875,3,"['Error', 'error']","['Error', 'Errors', 'error']"
Availability,Build failed on ROOT-fedora27/noimt.; [See console output](https://epsft-jenkins.cern.ch/job/root-pullrequests-build/56237/console).; ### Errors:; - CMake Error at /mnt/build/workspace/root-pullrequests-build/rootspi/jenkins/root-build.cmake:774 (message):,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/3627#issuecomment-478963709:138,Error,Errors,138,https://root.cern,https://github.com/root-project/root/pull/3627#issuecomment-478963709,2,['Error'],"['Error', 'Errors']"
Availability,Build failed on ROOT-fedora27/noimt.; [See console output](https://epsft-jenkins.cern.ch/job/root-pullrequests-build/56315/console).; ### Errors:; - FAILED: math/vecops/G__ROOTVecOps.cxx lib/libROOTVecOps_rdict.pcm lib/libROOTVecOps.rootmap ; - /mnt/build/workspace/root-pullrequests-build/build/include/ROOT/RVec.hxx:73:37: error: no template named 'index_sequence' in namespace 'std' ; - /mnt/build/workspace/root-pullrequests-build/build/include/ROOT/RVec.hxx:990:56: error: no member named 'make_index_sequence' in namespace 'std' ; - /mnt/build/workspace/root-pullrequests-build/build/include/ROOT/RVec.hxx:990:97: error: expected expression ; - /mnt/build/workspace/root-pullrequests-build/build/include/ROOT/RVec.hxx:1003:51: error: no member named 'make_index_sequence' in namespace 'std' ; - /mnt/build/workspace/root-pullrequests-build/build/include/ROOT/RVec.hxx:1003:92: error: expected expression ; - Error: /mnt/build/workspace/root-pullrequests-build/build/bin/rootcling: compilation failure (/mnt/build/workspace/root-pullrequests-build/build/lib/libROOTVecOps07b9f3c385_dictUmbrella.h),MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/3630#issuecomment-479080454:138,Error,Errors,138,https://root.cern,https://github.com/root-project/root/pull/3630#issuecomment-479080454,8,"['Error', 'error', 'failure']","['Error', 'Errors', 'error', 'failure']"
Availability,Build failed on ROOT-fedora27/noimt.; [See console output](https://epsft-jenkins.cern.ch/job/root-pullrequests-build/56369/console).; ### Errors:; - FAILED: core/metacling/src/CMakeFiles/MetaCling.dir/TClingBaseClassInfo.cxx.o ; - /mnt/build/workspace/root-pullrequests-build/root/core/metacling/src/TClingBaseClassInfo.cxx:266:4: error: ‘fNameCache’ was not declared in this scope,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/3616#issuecomment-479154073:138,Error,Errors,138,https://root.cern,https://github.com/root-project/root/pull/3616#issuecomment-479154073,2,"['Error', 'error']","['Errors', 'error']"
