quality_attribute,sentence,source,author,repo,version,id,keyword,matched_word,match_idx,wiki,url,total_similar,target_keywords,target_matched_words
Availability," > So when I use the word Resource, I'm referring to a machine where Tasks can be executed. Ah, that makes sense!. > In my mind, it's really important to avoid any sort of server-based architecture, so the implementation I'm envisioning isn't similar to the links you posted. Setting up and running servers is usually a bit of a pain, especially if you have a bunch of different resources you need to run jobs on. It also feels like overkill for our academic kind of use case where the number of tasks is small compared to some sort of industry use case that has a massive number of tasks to execute. Actually very much second this, and I'm happy you're saying it! :) I've been looking at TES / funnel with a kind of worry, since it would make the scipipe code base which is currently only just over 1k LOC, a lot larger and more complex. > Finally, I think this would all require moving func (t *Task) Execute() from Task objects into Resource objects. So we would have something like func (r *Resource) Execute(t Task) which takes a task and completes all the steps listed above. I see what you mean. These are all really interesting ideas I think. I like your focus on simplicity!. Some thoughts coming to mind off arm: ""Resource"" might be a slightly vague term, as it is often used to refer to other things like the data items (which is why I thought you were referring to the IPs (which also might not have the optimal name :D)). Could it be ""Executor"" or similar? A clear name might help think more clearly about how it would fit into the code base as well. I'll need to think more about how it can fit into the code base, but I like the general direction, and would love it if we could find a simple yet robust way of ""light-weight task distribution""! It's been on the wish list for a long time :) (We used the light weight distributor in [luigi](https://github.com/spotify/luigi) a bit, but I think it is a bit more focused on a shared file system (this is what we used) or other data store).",MatchSource.ISSUE_COMMENT,scipipe,scipipe,v0.12.0,https://github.com/scipipe/scipipe/issues/53#issuecomment-380913501:2135,robust,robust,2135,https://scipipe.org,https://github.com/scipipe/scipipe/issues/53#issuecomment-380913501,1,['robust'],['robust']
Availability," Google engineers. This is the primary driving reason for our switch. . Then there are a number of other factors that play in as well:. ## Catching errors early. With Python/Luigi, we often had many small bugs show up only when running a workflow. Sometimes a HPC job would fail on the 7th day of a 7-day run, just because of a simple dict key error. With Go, since it is compiled, we catch much more of these simple bugs already at compile time. ## An excellent dataflow / flow-based programming language. Also, we realized that the concurrency primitives in Go (channels, goroutines etc) makes it really easy to create scheduling code which is very very easy to reason about, by letting the workflow be a dataflow network, that acts as an ""implicity scheduler"". I recommend to read more about [Flow-based programming](https://github.com/samuell/awesome-fbp) to understand the benetifs of this. ## Robustness. Then, our experience with Go after the first experimentation was very positive: Go turned out to be a much more robust and less error-prone language to work with, in the long run. This is due to a number of reasons:. - It is a compiled language, catching errors early; - The language is small and simple, meaning that you can often easily understand your code when you return a few weeks later; - A lot of functionality is available in the standard library, lessening the need to rely on external dependencies, that might suddently change or break; - It comes with a lot of important tooling in the official package (built in testing, code formatting, checking, race detection, etc etc). ## More pointers on Go for data science. For more on other people's experience with Go, compared to e.g. python, for Data Science, I'd recommend @dwhitena's GopherCon talk:. - [GopherCon 2016: Daniel Whitenack - Go for Data Science](https://www.youtube.com/watch?v=D5tDubyXLrQ). It also turns out Go is becoming a popular language for workflow frameworks. We wrote up a post comparing four recent Go-b",MatchSource.ISSUE_COMMENT,scipipe,scipipe,v0.12.0,https://github.com/scipipe/scipipe/issues/59#issuecomment-391662679:1902,robust,robust,1902,https://scipipe.org,https://github.com/scipipe/scipipe/issues/59#issuecomment-391662679,2,"['error', 'robust']","['error-prone', 'robust']"
Availability," in particular. There are a number of reasons why we switched to Go, after using the python-based [Luigi engine](https://github.com/spotify/luigi), with our helper library [SciLuigi](https://github.com/pharmbio/sciluigi) on top:. ## Performance. Firstly, Go lets us run each task concurrently in a ""light-weight thread"" (coroutine, or goroutine) instead of completely separate python processes. This allows us to keep thousands of tasks in their own goroutines, without performance problems, while in Luigi, we got communication problems between the processes when going over 64 workers. Go is also in general very performant, as being a compiled language, that has gotten a lot of optimization work by Google engineers. This is the primary driving reason for our switch. . Then there are a number of other factors that play in as well:. ## Catching errors early. With Python/Luigi, we often had many small bugs show up only when running a workflow. Sometimes a HPC job would fail on the 7th day of a 7-day run, just because of a simple dict key error. With Go, since it is compiled, we catch much more of these simple bugs already at compile time. ## An excellent dataflow / flow-based programming language. Also, we realized that the concurrency primitives in Go (channels, goroutines etc) makes it really easy to create scheduling code which is very very easy to reason about, by letting the workflow be a dataflow network, that acts as an ""implicity scheduler"". I recommend to read more about [Flow-based programming](https://github.com/samuell/awesome-fbp) to understand the benetifs of this. ## Robustness. Then, our experience with Go after the first experimentation was very positive: Go turned out to be a much more robust and less error-prone language to work with, in the long run. This is due to a number of reasons:. - It is a compiled language, catching errors early; - The language is small and simple, meaning that you can often easily understand your code when you return a few weeks ",MatchSource.ISSUE_COMMENT,scipipe,scipipe,v0.12.0,https://github.com/scipipe/scipipe/issues/59#issuecomment-391662679:1223,error,error,1223,https://scipipe.org,https://github.com/scipipe/scipipe/issues/59#issuecomment-391662679,1,['error'],['error']
Availability," your question!. I think this is a very relevant question, as python is a much more popular language in data science in general, and in bioinformatics in particular. There are a number of reasons why we switched to Go, after using the python-based [Luigi engine](https://github.com/spotify/luigi), with our helper library [SciLuigi](https://github.com/pharmbio/sciluigi) on top:. ## Performance. Firstly, Go lets us run each task concurrently in a ""light-weight thread"" (coroutine, or goroutine) instead of completely separate python processes. This allows us to keep thousands of tasks in their own goroutines, without performance problems, while in Luigi, we got communication problems between the processes when going over 64 workers. Go is also in general very performant, as being a compiled language, that has gotten a lot of optimization work by Google engineers. This is the primary driving reason for our switch. . Then there are a number of other factors that play in as well:. ## Catching errors early. With Python/Luigi, we often had many small bugs show up only when running a workflow. Sometimes a HPC job would fail on the 7th day of a 7-day run, just because of a simple dict key error. With Go, since it is compiled, we catch much more of these simple bugs already at compile time. ## An excellent dataflow / flow-based programming language. Also, we realized that the concurrency primitives in Go (channels, goroutines etc) makes it really easy to create scheduling code which is very very easy to reason about, by letting the workflow be a dataflow network, that acts as an ""implicity scheduler"". I recommend to read more about [Flow-based programming](https://github.com/samuell/awesome-fbp) to understand the benetifs of this. ## Robustness. Then, our experience with Go after the first experimentation was very positive: Go turned out to be a much more robust and less error-prone language to work with, in the long run. This is due to a number of reasons:. - It is a compiled l",MatchSource.ISSUE_COMMENT,scipipe,scipipe,v0.12.0,https://github.com/scipipe/scipipe/issues/59#issuecomment-391662679:1027,error,errors,1027,https://scipipe.org,https://github.com/scipipe/scipipe/issues/59#issuecomment-391662679,1,['error'],['errors']
Availability,"Cool! This is exactly the kind of interface I was envisioning. I do have a few thoughts about this. I think the ability to attach multiple `Executor`s to a `Process` would be really cool, and I think the notion of an ""ActiveExecutor"" might limit this capability. Instead, one should be able to add many `Executor`s to a `Process`, and the `Process` becomes responsible for distributing `Tasks` among its attached `Executor`s. This would require some sort of scheduling algorithm to be included in the `Run` method of `Process`, but this could be made a simple as you like (just a simple round robin algorithm to start, and we could get fancy with it later). So to sketch what I'm thinking, an `Executor` should have channels for incoming and completed `Task`s:. ```golang; type Executor interface {; // This function just receives a Task, and returns an error if ; /// the Executor can't take any more tasks at the moment; ReceiveTask(t *Task) Error; // This should be a loop that runs continuously and executes; // tasks as they are received. All completed tasks should; // has the Task.Done signal set; ExecuteIncomingTasks(); // Stop receiving incoming tasks, finish all currently running tasks, ; // cleanup and exit; Close(); }; ```. and a `Process` should have a slice of `Executor`s as an additional member. ```golang; type Process struct {; // other stuff ...; Executors []Executor; }; ```. And I think the `Run` method of `Process` would have something like this:; EDIT: I just realized this *is not* round robin scheduling, and you end up always filling up the first `Executor` before moving on to the others, but hopefully this illustrates the general idea.; ```golang; // Start up ExecuteIncomingTasks for each Executor; for executor := range p.Executors {; go executor.ExecuteIncomingTasks(); defer executor.Close(); }. tasks := []*Task{}; for t := range p.createTasks() {; tasks = append(tasks, t); taskReceived := false; for taskReceived {; for executor := range p.Executors {; // Pass ",MatchSource.ISSUE_COMMENT,scipipe,scipipe,v0.12.0,https://github.com/scipipe/scipipe/issues/53#issuecomment-383106434:854,error,error,854,https://scipipe.org,https://github.com/scipipe/scipipe/issues/53#issuecomment-383106434,1,['error'],['error']
Availability,"Hi @nyue and thanks for trying out scipipe!. What is your current workflow for testing changes? Did you install scipipe via the `go get` command mainly?. I realize that the project is missing a contributors guide(!). The workflow I have been using the most, is to go where scipipe is installed via `go get`, and replace the scipipe folder there with a git cloned version. This might only work if you have set the GOROOT and GOPATH environment variables manually, and I think the Go project has been moving away from that, so this might not be the best way for the future. I have to check into that. But to specify how I have been doing it:. - I have been installing Go by downloading the tarball into my home folder, and unpacking it into `~/go`.; - I have been putting my own Go projects in `~/proj/go`; - I have then been setting GOROOT and GOPATH as follows:; ```; GOROOT=~/go; GOPATH=~/proj/go; ```; - Then, when I do `go get github.com/scipipe/scipipe/...`, it ends up in `~/proj/go/src/github.com/scipipe/scipipe`; - I then have replaced this folder with the one I get by cloning the git repo into that very folder.; - After each change in the scipipe source, I think I typically need to run ; ```; go install github.com/scipipe/scipipe/...; ```; ... to have those changes build and installed into the build libraries in `~/go/proj/pkg` (if I recall correctly).; - Then, those changes should be available to my local workflow repos, wherever I store them. So, the proper workflow for the future might or might not be some version of the above. Hope this helps, until we have a proper contributors guide!",MatchSource.ISSUE_COMMENT,scipipe,scipipe,v0.12.0,https://github.com/scipipe/scipipe/issues/113#issuecomment-772679872:672,down,downloading,672,https://scipipe.org,https://github.com/scipipe/scipipe/issues/113#issuecomment-772679872,2,"['avail', 'down']","['available', 'downloading']"
Availability,"Hi @valentin-krasontovitsch , thanks for checking out scipipe. What we are doing right now, while pondering the best way to add proper SLURM support, is to just use the prepend feature, and add the SLURM `salloc` command ther (as shown in http://scipipe.org/howtos/hpc/). It actually works very robustly, but it would be sure great to have something a tad bit more integrated. I will check the go SLURM library (wasn't aware of it yet :) ), but I'm also leaning towards keeping everything as simple as possible, fighting a bit to avoid dependencies etc ... as I think this will help make scipipe easier to maintain in the long run, with limited academic funding :P",MatchSource.ISSUE_COMMENT,scipipe,scipipe,v0.12.0,https://github.com/scipipe/scipipe/issues/38#issuecomment-357923912:295,robust,robustly,295,https://scipipe.org,https://github.com/scipipe/scipipe/issues/38#issuecomment-357923912,1,['robust'],['robustly']
Availability,"Hi,; I am getting below errors when running the file; download.SetPathStatic undefined (type *scipipe.Process has no field or method SetPathStatic); ./drug_feature_extract.go:24:7: unzip.SetPathStatic undefined (type *scipipe.Process has no field or method SetPathStatic); ./drug_feature_extract.go:28:10: xmlToTSV.SetPathExtend undefined (type *scipipe.Process has no field or method SetPathExtend). Any guidance will be really helpful. Thanks,; Rajesh",MatchSource.ISSUE_COMMENT,scipipe,scipipe,v0.12.0,https://github.com/scipipe/scipipe/issues/59#issuecomment-468100726:24,error,errors,24,https://scipipe.org,https://github.com/scipipe/scipipe/issues/59#issuecomment-468100726,2,"['down', 'error']","['download', 'errors']"
Availability,"Many thanks for the detail input @kwrobert ! Being able to distribute work among multiple executors would indeed be cool!. I still think one needs the ability to quickly switch between running e.g. only locally, and distributing the work to everything available, but I'm sure both of these goals can be combined. In the simplest form, one could just allow `SetActiveExecutor(""*"")`, and that would activate all configured executors ... or something similar. Regarding the implementation of the executors, overall looks legit!. About taking tasks via channels though, I'm still not sure (but still thinking!). Right now, the scheduling logic is guaranteed by each process keeping an idle go-routine per task, waiting for it to return from (blocking) shell commands before proceeding. Handing off a task to an executor might change this logic considerably. Perhaps this is needed to get true scalability (will need to think more), if so be it, but just raising a flag that it might complicate things a bit. Will easily be convinced by well-working code though :)",MatchSource.ISSUE_COMMENT,scipipe,scipipe,v0.12.0,https://github.com/scipipe/scipipe/issues/53#issuecomment-383117959:252,avail,available,252,https://scipipe.org,https://github.com/scipipe/scipipe/issues/53#issuecomment-383117959,1,['avail'],['available']
Availability,"Well, also, I'm not yet sure what are the pros and cons of process-level logging. In a way I think it sounds interesting ... but it should also be possible to filter out log rows for a specific process rather easily using Unix tools such as grep. But, if there are no clear downsides, I can see that process-level logging would be quite useful.",MatchSource.ISSUE_COMMENT,scipipe,scipipe,v0.12.0,https://github.com/scipipe/scipipe/issues/73#issuecomment-478933344:274,down,downsides,274,https://scipipe.org,https://github.com/scipipe/scipipe/issues/73#issuecomment-478933344,1,['down'],['downsides']
