quality_attribute,sentence,source,author,repo,version,id,keyword,matched_word,match_idx,filename,wiki,url,total_similar,target_keywords,target_matched_words
Availability,"overage (option -c [0,1], which is defined by the number of aligned residue pairs divided by either the minimum of the length of query/centre and target/non-centre sequences (default mode, --cov-mode 0), or by the length of the target/non-centre sequence (--cov-mode 1), or by the length of the query/centre (--cov-mode 2); (3) a minimum sequence identity (--min-seq-id [0,1]) with option --alignment-mode 3 defined as the number of identical aligned residues divided by the number of aligned columns including internal gap columns, or, by default, defined by a highly correlated measure, the equivalent similarity score of the local alignment (including gap penalties) divided by the maximum of the lengths of the two locally aligned sequence segments. The score per residue equivalent to a certain sequence identity is obtained by a linear regression using thousands of local alignments as training set.; Cascaded Clustering; The cascaded clustering workflow first runs linclust, our linear-time clustering module, that can produce clustering’s down to 50% sequence identity in very short time. To achieve lower sequence identities and/or to further improve the resulting clusters,; we continue with three cascaded clustering steps: In the; first step of the cascaded clustering the prefiltering runs with a low; sensitivity of 1 and a very high result significance threshold, in order; to accelerate the calculation and search only for hits with a very high; sequence identity. Then alignments are calculated and the database is; clustered. The second step takes the representative sequences of the; first clustering step and repeats the prefiltering, alignment and; clustering steps. This time, the prefiltering is executed with a higher; sensitivity and a lower result significance threshold for catching; sequence pairs with lower sequence identity. In the last step, the whole; process is repeated again with the final target sensitivity. At last,; the clustering results are merged and the res",MatchSource.WIKI,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/mmseqs2/wiki/Home/c6135e59cab5f7602136f9d1e592e76330c49e6a.html:26449,down,down,26449,Home/c6135e59cab5f7602136f9d1e592e76330c49e6a.html,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/mmseqs2/wiki/Home/c6135e59cab5f7602136f9d1e592e76330c49e6a.html,1,['down'],['down']
Availability,"ovides enough free space.; For disk space requirements, see the user guide.; To generate a FASTA-style formatted output file from the ffindex output file, type:; mmseqs createseqfiledb DB clu clu_seq ; mmseqs result2flat DB DB clu_seq clu_seq.fasta. To generate a TSV-style formatted output file from the ffindex output file, type:; mmseqs createtsv DB DB clu clu.tsv. To extract the representative sequences from the clustering result call:; mmseqs result2repseq DB clu DB_clu_rep; mmseqs result2flat DB DB DB_clu_rep DB_clu_rep.fasta --use-fasta-header. Read more about the format here.; Documentation; The MMseqs2 user guide is available in our GitHub Wiki or as a PDF file (Thanks to pandoc!). We provide a tutorial of MMseqs2 here.; Memory Requirements; When using MMseqs2 the available memory limits the size of database you will be able to compute in one go.; We recommend at least 128 GB of RAM so you can compute databases up to 30.000.000 entries.; MMseqs2 will automatically subdivide the target database if less memory is available. Runtimes will slightly increase in this case.; You can calculate the memory requirements in bytes for L columns and N rows using the following formula:; M = (7 × N × L) byte + (8 × a^k) byte. MMseqs2 stores an index table and two auxiliary arrays, which have a total size of M byte.; For a database containing N sequences with an average length L, the memory consumption of the index table is (7 × N × L) byte .; Note that the memory consumption grows linearly with the number of the sequences N in the database.; The two auxiliary arrays consume (8 × a^k) byte, with a being the size of the amino acid alphabet (usually 20, the unknown amino acid X is excluded) and the k-mer size k.; How to run MMseqs2 on multiple servers using MPI; MMseqs2 can run on multiple cores and servers using OpenMP and Message Passing Interface (MPI).; MPI assigns database splits to each compute node and each node computes them using multiple cores (OpenMP).; Most of the re",MatchSource.WIKI,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/mmseqs2/wiki/Home/eb65d0290577d93c89cef9eb05dc8c3a86deb4d8.html:11365,avail,available,11365,Home/eb65d0290577d93c89cef9eb05dc8c3a86deb4d8.html,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/mmseqs2/wiki/Home/eb65d0290577d93c89cef9eb05dc8c3a86deb4d8.html,2,['avail'],['available']
Availability,"owdown). For clustering large databases; containing tens of millions of sequences, you should provide enough free; disk space (~500 GB). In the section; Optimizing sensitivity and consumption of resources,; we will discuss the runtime, memory; and disk space consumption of MMseqs2 and how to reduce resource; requirements for large databases.; To check if MMseqs2 supports your system execute the following commands, depending on your operating system:; Check system requirements under Linux; [ $(uname -m) = ""x86_64"" ] && echo ""64bit: Yes"" || echo ""64bit: No""; grep -q avx2 /proc/cpuinfo && echo ""AVX2: Yes"" || echo ""AVX2: No""; grep -q sse4_1 /proc/cpuinfo && echo ""SSE4.1: Yes"" || echo ""SSE4.1: No""; # for very old systems which support neither SSE4.1 or AVX2; grep -q sse2 /proc/cpuinfo && echo ""SSE2: Yes"" || echo ""SSE2: No"". Check system requirements under macOS; [ $(uname -m) = ""x86_64"" ] && echo ""64bit: Yes"" || echo ""64bit: No""; sysctl machdep.cpu.leaf7_features | grep -q AVX2 && echo ""AVX2: Yes"" || echo ""AVX2: No""; sysctl machdep.cpu.features | grep -q SSE4.1 && echo ""SSE4.1: Yes"" || echo ""SSE4.1: No"". Check system requirements under Windows; The mmseqs.bat script will print a message if it is run on an unsupported system. On a supported system, it will execute the correct MMseqs2 version and forward all parameters.; Installation; MMseqs2 can be installed for Linux, macOS, or Windows by; (1) downloading a statically compiled version (see below),; (2) compiling the from source (see below),; (3) using Homebrew (for macOS) or Linuxbrew; brew install mmseqs2. (4) using bioconda; conda install -c conda-forge -c bioconda mmseqs2. (5) or using Docker.; docker pull ghcr.io/soedinglab/mmseqs2. Alternatively use the MMseqs2 Biocontainer.; Install MMseqs2 for Linux; Install with Linuxbrew; You can use also use Homebrew on Linux:; brew install mmseqs2. Install static Linux version; The following commands will download the latest MMseqs2 version, extract it and sets the PATH variabl",MatchSource.WIKI,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/mmseqs2/wiki/Home/3ac9e062109ce220e5a21579d57fe51e643f9c53.html:10530,echo,echo,10530,Home/3ac9e062109ce220e5a21579d57fe51e643f9c53.html,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/mmseqs2/wiki/Home/3ac9e062109ce220e5a21579d57fe51e643f9c53.html,8,['echo'],['echo']
Availability,"owdown). For clustering large databases; containing tens of millions of sequences, you should provide enough free; disk space (~500 GB). In the section; Optimizing sensitivity and consumption of resources,; we will discuss the runtime, memory; and disk space consumption of MMseqs2 and how to reduce resource; requirements for large databases.; To check if MMseqs2 supports your system execute the following commands, depending on your operating system:; Check system requirements under Linux; [ $(uname -m) = ""x86_64"" ] && echo ""64bit: Yes"" || echo ""64bit: No""; grep -q avx2 /proc/cpuinfo && echo ""AVX2: Yes"" || echo ""AVX2: No""; grep -q sse4_1 /proc/cpuinfo && echo ""SSE4.1: Yes"" || echo ""SSE4.1: No""; # for very old systems which support neither SSE4.1 or AVX2; grep -q sse2 /proc/cpuinfo && echo ""SSE2: Yes"" || echo ""SSE2: No"". Check system requirements under macOS; [ $(uname -m) = ""x86_64"" ] && echo ""64bit: Yes"" || echo ""64bit: No""; sysctl machdep.cpu.leaf7_features | grep -q AVX2 && echo ""AVX2: Yes"" || echo ""AVX2: No""; sysctl machdep.cpu.features | grep -q SSE4.1 && echo ""SSE4.1: Yes"" || echo ""SSE4.1: No"". Check system requirements under Windows; The mmseqs.bat script will print a message if it is run on an unsupported system. On a supported system, it will execute the correct MMseqs2 version and forward all parameters.; Installation; MMseqs2 can be installed for Linux, macOS, or Windows by; (1) downloading a statically compiled version (see below),; (2) compiling the from source (see below),; (3) using Homebrew (for macOS) or Linuxbrew; brew install mmseqs2. (4) using bioconda; conda install -c conda-forge -c bioconda mmseqs2. (5) or using Docker.; docker pull soedinglab/mmseqs2 . Alternatively use the MMseqs2 Biocontainer.; Install MMseqs2 for Linux; Install with Linuxbrew; You can use Linuxbrew for installation:; brew install mmseqs2. Install static Linux version; The following commands will download the latest MMseqs2 version, extract it and sets the PATH variable.; If ",MatchSource.WIKI,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/mmseqs2/wiki/Home/4761db1b73b4a885993cba457c7fc623d657012c.html:10529,echo,echo,10529,Home/4761db1b73b4a885993cba457c7fc623d657012c.html,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/mmseqs2/wiki/Home/4761db1b73b4a885993cba457c7fc623d657012c.html,4,['echo'],['echo']
Availability,"owerCamelCase.; Method names are typically verbs or verb phrases.; Example: sendMessage, stop, clusterMethod; Constant names; Constant names use CONSTANT_CASE: all uppercase letters, with each word separated from the next by a single underscore.; Example: CLUSTER_ALGORITHM; Non-constant field names; Non-constant field names (static or otherwise) are written in lowerCamelCase.; These names are typically nouns or noun phrases.; Example: computedValues or index; Local variable names; Local variable names are written in lowerCamelCase.; Even when final and immutable, local variables are not considered to be constants, and should not be styled as constants.; Whitespace; Be generous with white spacing horizontally, but try to keep code compact vertically.; Here a _ characters indicates where you should be placing a space character:; if_(int_name)_{; ____int_test_=_1_+_(1_+_x);; }. Use empty lines to structure code in logical blocks or tasks.; Programming Practices; Logging errors or info messages; Do not use printf, std::cout, std::err (etc.) for printing messages. All output have to go through the Debug logging class.; Error handling; We do not use Exceptions in our code. We have two types of errors in MMseqs2.; Exceptions are disabled per compile flag.; 1) Errors which stop the run completely; Write a descriptive error message with Debug(Debug::ERROR) and exit out immediately with the EXIT macro.; Dot not use exit directly. EXIT handles cleaning up remaining MPI instances (if compiled with MPI).; size_t written = write(dataFilefd, buffer, bufferSize);; if (written != bufferSize) {; Debug(Debug::ERROR) << ""Could not write to data file "" << dataFileNames[0] << ""\n"";; EXIT(EXIT_FAILURE); ; }. 2) Warning which can be handled; Write to Debug(Debug::WARNING) and continue with the next loop iteration or whatever is appropriate.; if (std::remove(dataFileNames[i]) != 0) {; Debug(Debug::WARNING) << ""Could not remove file "" << dataFileNames[i] << ""\n"";; }. Parallel Computing; We u",MatchSource.WIKI,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/mmseqs2/wiki/MMseqs2-Developer-Guide.html:4692,error,errors,4692,MMseqs2-Developer-Guide.html,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/mmseqs2/wiki/MMseqs2-Developer-Guide.html,5,['error'],['errors']
Availability,"owerCamelCase.; Method names are typically verbs or verb phrases.; Example: sendMessage, stop, clusterMethod; Constant names; Constant names use CONSTANT_CASE: all uppercase letters, with each word separated from the next by a single underscore.; Example: CLUSTER_ALGORITHM; Non-constant field names; Non-constant field names (static or otherwise) are written in lowerCamelCase.; These names are typically nouns or noun phrases.; Example: computedValues or index; Local variable names; Local variable names are written in lowerCamelCase.; Even when final and immutable, local variables are not considered to be constants, and should not be styled as constants.; Whitespace; Be generous with white spacing horizontally, but try to keep code compact vertically.; Here a _ characters indicates where you should be placing a space character:; if_(int_name)_{; ____int_test_=_1_+_(1_+_x);; }. Use empty lines to structure code in logical blocks or tasks.; Programming Practices; Logging errors or info messages; Do not use printf, std::cout, std::err (etc.) for printing messages. All output have to go through the Debug logging class.; Error handling; We do not use Exceptions in our code. We have two types of errors in MMseqs2.; Exceptions are disabled per compile flag.; 1) Errors which stop the run completly; Write a descriptive error message with Debug(Debug::ERROR) and exit out immediatly with the EXIT macro.; Dot not use exit directly. EXIT handles cleaning up remaining MPI instances (if compiled with MPI).; size_t written = write(dataFilefd, buffer, bufferSize);; if (written != bufferSize) {; Debug(Debug::ERROR) << ""Could not write to data file "" << dataFileNames[0] << ""\n"";; EXIT(EXIT_FAILURE); ; }. 2) Warning which can be handled; Write to Debug(Debug::WARNING) and continue with the next loop iteration or whatever is appropriate.; if (std::remove(dataFileNames[i]) != 0) {; Debug(Debug::WARNING) << ""Could not remove file "" << dataFileNames[i] << ""\n"";; }. Parallel Computing; We use",MatchSource.WIKI,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/mmseqs2/wiki/MMseqs2-Developer-Guide/13f4518da3238bc4f14104171122c3ed13fac0de.html:4681,error,errors,4681,MMseqs2-Developer-Guide/13f4518da3238bc4f14104171122c3ed13fac0de.html,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/mmseqs2/wiki/MMseqs2-Developer-Guide/13f4518da3238bc4f14104171122c3ed13fac0de.html,7,['error'],['errors']
Availability,"owest common ancestor. This lowest common ancestor is a robust taxonomic label for unknown sequences.; MMseqs2 assigns taxonomical labels based on the lowest common ancestor of all equal scoring top hits --lca-mode 4 (default). However, we implemented several assignment strategies like the 2bLCA protocol (Hingamp et. al., 2013) with --lca-mode 2 for choosing a robust LCA. The second search can be disabled with --lca-mode 1. The LCA will then be only computed through the usual search workflow parameters (--max-accept, -e, etc.).; The LCA implementation is based on the Go implementation of blast2lca software on GitHub. It implements the LCA computation efficiently through Range Minimum Queries through an dynamic programming approach.; Prerequisites; MMseqs2 needs the NCBI taxonomy information (merged.dmp, names.dmp, nodes.dmp) and a mapping from taxTargetDB sequences to the taxonomic identifier (targetDB_mapping).; The createtaxdb module will download the Uniprot taxMappingFile and ncbi-taxdump and map the identifier of the targetDB to NCBI taxonomic identifier.; mmseqs createdb target.fasta targetDB; mmseqs createtaxdb targetDB tmp. By default, createtaxdb downloads the Uniprot id mapping file (idmapping.dat.gz), and thus only support Uniprot identifiers. To create a taxonomy database from an existing NCBI BLAST database (such as nr or nt), see the section Create a sequence database with taxonomic information from an existing BLAST database. For the SILVA database see Create a sequence database with taxonomic information for SILVA. For other database types, the mapping must be created manually, as described in section; Manually annotate a sequence database with taxonomic information.; Classification; Once the prerequisites are generated, the taxonomy classification can be executed:; mmseqs taxonomy queryDB targetDB taxonomyResult tmp; mmseqs createtsv queryDB taxonomyResult taxonomyResult.tsv. Each line of the result file taxonomyResult.tsv will contain a tab separate",MatchSource.WIKI,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/mmseqs2/wiki/Home/1c11d31bbf751a096cdf6776e5ab93319c7c7d9d.html:40919,down,download,40919,Home/1c11d31bbf751a096cdf6776e5ab93319c7c7d9d.html,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/mmseqs2/wiki/Home/1c11d31bbf751a096cdf6776e5ab93319c7c7d9d.html,15,['down'],['download']
Availability,"p. A TBLASTN like search can be triggered using the nucleotide database on the target database side.; mmseqs search ecoli_proteins ecoli_genome alnDB tmp. A TBLASTX for translated nucleotide databases on query and target sides search.; mmseqs search genome_orfs_aa ecoli_genome alnDB tmp --search-type 2. Each translated search uses the an six frame translation extractorf. All extracted ORFs are translated into proteins by translatenucs and then searched by the search workflow. The offsetalignment module will offset the alignment position to the orf start position + alignment start * 3.; Mapping Very Similar Sequences using mmseqs map. The map workflow of MMseqs2 finds very similar sequence matches in a sequence database. First it calls the prefilter module (with a low sensitivity setting) to detect high scoring diagonals and then computes an ungapped alignment with the rescorediagonal module. In contrast to the normal search, for maximum speed no gapped alignment is computed, query sequences are not masked for low complexity regions and no compositional bias correction is applied.; mmseqs map queryDB targetDB resultDB tmp. MMseqs2 will provide a sorted (by E-value) list of best matches in resultDB. The best hit can be extracted with:; mmseqs filterdb resultDB bestResultDB --extract-lines 1. The format of resultDB is the same as in alignment format of the normal search workflow. The mapping workflow can also be used in iterative-best-hit mode, where each query that does not find any match is searched with higher sensitivity again.; If either queryDB or targetDB is a nucleotide sequence database, MMseqs2 will use the translated sequence search mode described above.; Clustering Databases using mmseqs cluster or mmseqs linclust. To cluster a database, MMseqs2 needs a sequence database converted with; createdb and an empty directory for temporary files. Then, you can run; the cascaded clustering with:; mmseqs cluster inDB outDB tmp. The sensitivity of the clustering can b",MatchSource.WIKI,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/mmseqs2/wiki/Home/03699151a047817a9c77140825f83e90a6ec5c19.html:28916,mask,masked,28916,Home/03699151a047817a9c77140825f83e90a6ec5c19.html,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/mmseqs2/wiki/Home/03699151a047817a9c77140825f83e90a6ec5c19.html,11,['mask'],['masked']
Availability,"parameter builds the MPI version of MMseqs2. See the How to run MMseqs2 on multiple servers using MPI section for more information.; MMseqs2 requires OpenMP support for compilation, and it will refuse to compile without it. To build a single-threaded version of MMseqs2, use the -DREQUIRE_OPENMP=0 parameter during the cmake invocation.; MMseqs2 requires zstd to compile. You can use the system-provided zstd instead of the bundled one by using -DUSE_SYSTEM_ZSTD=1 during the cmake invocation.; Getting started; Here we explain how to run a search for sequences matches in the query; database against a target database and how to cluster a sequence; database. Test data (a query and a target database for the sequence; search and a database for the clustering) are provided in the examples; folder.; Usage of MMseqs2 modules; Calls to MMseqs2 modules and workflows follow the structure:; mmseqs module input_db output_db args [options]. The module parameter specifies one of the many available modules or workflows, such as search, easy-search, createdb, and more. The args parameter specifies other obligatory paths or filenames that the module needs, and options can be provided to modify the behavior of the module or change parameter settings. Workflows and modules are the same from the user perspective; workflows are shell scripts that chain together elementary MMseqs2 modules and other workflows. A complete list of available modules can be obtained by running mmseqs -h.; You can get information about any MMseqs2 module by simply calling it without arguments and options, e.g.; mmseqs createdb. It will give a short description, the usage, and a list of the most important options. The usage explains the syntax of the module. For example, mmseqs createdb will give you its usage as:; Usage: <i:fastaFile1[.gz]> ... <i:fastaFileN[.gz]> <o:sequenceDB> [options]. <...> denote files, <i:...> and <o:...> denote input and output files, respectively, brackets [] indicate that what is enclosed",MatchSource.WIKI,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/mmseqs2/wiki/Home/25e0cec8103eaec35a20d25008df5b8757e1e20f.html:22323,avail,available,22323,Home/25e0cec8103eaec35a20d25008df5b8757e1e20f.html,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/mmseqs2/wiki/Home/25e0cec8103eaec35a20d25008df5b8757e1e20f.html,4,['avail'],['available']
Availability,"parameter builds the MPI version of MMseqs2. See the How to run MMseqs2 on multiple servers using MPI section for more information.; MMseqs2 requires OpenMP support for compilation, and it will refuse to compile without it. To build a single-threaded version of MMseqs2, use the -DREQUIRE_OPENMP=0 parameter during the cmake invocation.; MMseqs2 requires zstd to compile. You can use the system-provided zstd instead of the bundled one by using -DUSE_SYSTEM_ZSTD=1 during the cmake invocation.; Getting started; Here we explain how to run a search for sequences matches in the query; database against a target database and how to cluster a sequence; database. Test data (a query and a target database for the sequence; search and a database for the clustering) are provided in the examples; folder.; Usage of MMseqs2 modules; Calls to MMseqs2 modules and workflows follow the structure:; mmseqs module input_db output_db args [options]. The module parameter specifies one of the many available modules or workflows, such as search, easy-search, createdb, and more. The args parameter specifies other obligatory paths or filenames that the module needs, and options can be provided to modify the behavior of the module or change parameter settings. Workflows and modules are the same from the user perspective; workflows are shell scripts that chain together elementary MMseqs2 modules and other workflows. A complete list of available modules can be obtained by running mmseqs -h.; You can get information about any MMseqs2 module by simply calling it without arguments and options, e.g.; mmseqs createdb. This will give a short description, the usage text, and a list of the most important options. The usage explains the syntax of the module. For example, mmseqs createdb will give you its usage string as:; Usage: <i:fastaFile1[.gz]> ... <i:fastaFileN[.gz]> <o:sequenceDB> [options]. <...> denote files, <i:...> and <o:...> denote input and output files, respectively, brackets [] indicate that wh",MatchSource.WIKI,soedinglab,MMseqs2,15-6f452,https://github.com/soedinglab/mmseqs2/wiki/Home/1ea9a93cb31d6c8cc25ef963311bcdddb95ff58d.html:22323,avail,available,22323,Home/1ea9a93cb31d6c8cc25ef963311bcdddb95ff58d.html,https://github.com/soedinglab/mmseqs2/wiki,https://github.com/soedinglab/mmseqs2/wiki/Home/1ea9a93cb31d6c8cc25ef963311bcdddb95ff58d.html,2,['avail'],['available']
