quality_attribute,sentence,source,author,repo,version,id,keyword,matched_word,match_idx,filename,wiki,url,total_similar,target_keywords,target_matched_words
Availability," DEFINES += SOFA_GUI_QTOGREVIEWER; DEFINES += SOFA_GUI_QGLVIEWER. Then, in the main window, you select the kind of viewer you; want. Qt will appear in gray, whereas QGLViewer and Ogre will be; available.; Warning, you must reload the scene when this change is made!. Viewers. The Viewers available now are:. QtViewer: uses openGL, derives a; QGLWidget in order to be embedded within Qt. This class will probably; not be maintained. Use QtGLViewer instead. QtGLViewer: uses the library; QGLViewer. Provides lots of functions to navigate through the scene.; More information at QGLViewer; Website. QtOgreViewer: Embed Ogre within a; Qwidget. Allows to get great visuals, through an intensive use of; shaders, materials.; Shadows are provided, but all the controls (show the mechanical; objects, force fields...) are disabled. ; Warning: Ogre is not provided by Sofa, you have to previously install; Ogre on your computer. ; The support works with Windows, Linux. ; - For Windows, the easiest way to proceed is to download and install; the SDK. ; - For Linux, you have to compile from the source. If Ogre's library; aren't installed in the default directory �/usr/local/lib/Ogre�; then, you have to set the; correct path in �YourSofaDirectory/share/config/plugins_unix.cfg�; To get it: Ogre; Website. QtOgreViewer; To; use this viewer, you must have Ogre installed on your computer. ; The configuration files are located in: �YourSofaDirectory/share/config/�. �plugins.cfg� describes the plugins used by Ogre for; Windows, and �plugins_unix.cfg� for... Linux.; By creating a .scene file with the same name as the simulation, you can; provide additional models, lights, visuals to the simulation( see Ogre; documentation for mode details ). This won't interact with Sofa, but; allows you to get a better render.; Additional textures, materials,; shaders... in Ogre, have to be put in �; YourSofaDirectory/share/textures� or �; YourSofaDirectory/share/materials� or; �YourSofaDirectory/share/shaders� ... T",MatchSource.DOCS,sofa-framework,sofa,v24.06.00,https://github.com/sofa-framework/sofa/tree/v24.06.00/Sofa/GUI/Qt/src/sofa/gui/qt/Doc_Viewer/index.html:4118,down,download,4118,Sofa/GUI/Qt/src/sofa/gui/qt/Doc_Viewer/index.html,https://www.sofa-framework.org,https://github.com/sofa-framework/sofa/tree/v24.06.00/Sofa/GUI/Qt/src/sofa/gui/qt/Doc_Viewer/index.html,1,['down'],['download']
Availability, HexahedronFEMForceField [#2778]( https://github.com/sofa-framework/sofa/pull/2778 ); - [SofaSimulation] Remove DAGNodeMultiMappingElement [#2694]( https://github.com/sofa-framework/sofa/pull/2694 ); - [SofaSparseSolver] Disable matrix export in SparseLDLSolver [#2725]( https://github.com/sofa-framework/sofa/pull/2725 ); - [SofaSparseSolver] SparseLUSolver and SparseCholeskySolver support fill reducing permutation [#2788]( https://github.com/sofa-framework/sofa/pull/2788 ); - [SofaTest] Move last tests to Sofa.Component [#2996]( https://github.com/sofa-framework/sofa/pull/2996 ); - [SofaTest] Remove last usages and make it optional [#3000]( https://github.com/sofa-framework/sofa/pull/3000 ); - [SofaUserInteraction] remove shadow variable [#2795]( https://github.com/sofa-framework/sofa/pull/2795 ); - [SolidMechanics.FEM.HyperElastic] Reformat and clean TetrahedronHyperelasticityFEMForceField [#3141]( https://github.com/sofa-framework/sofa/pull/3141 ); - [SolidMechanics] TetrahedronFEMForceField: adds error message for Poisson's ratio [#2908]( https://github.com/sofa-framework/sofa/pull/2908 ); - [StateContainer] Remove deprecated code for topologicalChanges in MechanicalObject. [#2867]( https://github.com/sofa-framework/sofa/pull/2867 ); - [Topology.Dynamic] Remove implicit conversion warnings [#2973]( https://github.com/sofa-framework/sofa/pull/2973 ). **Plugins / Projects**; - [Plugins] Create ArticulatedSystem plugin (originally from SofaGeneralRigid) [#2684]( https://github.com/sofa-framework/sofa/pull/2684 ); - [Geomagic] Clean scene and code warnings + minor changes [#2846]( https://github.com/sofa-framework/sofa/pull/2846 ); - [Geomagic] Fix CMake and replace includes from legacy header to new architecture [#3076]( https://github.com/sofa-framework/sofa/pull/3076 ); - [SensableEmulation][CMake] Clean Boost dep [#3067]( https://github.com/sofa-framework/sofa/pull/3067 ); - [SofaAssimp] fix shadow variable [#2844]( https://github.com/sofa-framework/sofa/pull/2844,MatchSource.DOCS,sofa-framework,sofa,v24.06.00,https://github.com/sofa-framework/sofa/tree/v24.06.00/CHANGELOG.md:129983,error,error,129983,CHANGELOG.md,https://www.sofa-framework.org,https://github.com/sofa-framework/sofa/tree/v24.06.00/CHANGELOG.md,1,['error'],['error']
Availability, NodeToggleController [#457]( https://github.com/sofa-framework/sofa/pull/457 ). ### Breaking. **Modules**; - **[SofaBaseMechanics]**[SofaMiscForceField] Homogeneization of mass components in SOFA [#637]( https://github.com/sofa-framework/sofa/pull/637 ); - **[SofaBaseMechanics]** Clean barycentric mapping [#797]( https://github.com/sofa-framework/sofa/pull/797 ); - [SofaBoundaryCondition] Refactor FixedPlaneConstraint (breaking) [#803]( https://github.com/sofa-framework/sofa/pull/803 ); - **[SofaFramework]** [BREAKING] Replacing DataEngine with SimpleDataEngine [#814]( https://github.com/sofa-framework/sofa/pull/814 ); - **[SofaFramework]** [BREAKING] Rename: data tracker has changed [#822]( https://github.com/sofa-framework/sofa/pull/822 ); - [SofaPreconditioner] modularization [#668]( https://github.com/sofa-framework/sofa/pull/668 ); - [SofaSparseSolver] modularization [#668]( https://github.com/sofa-framework/sofa/pull/668 ). ### Improvements. **Architecture**; - [CMake] use ccache if available [#692]( https://github.com/sofa-framework/sofa/pull/692 ); - [Cmake] Add a findCython.cmake [#734]( https://github.com/sofa-framework/sofa/pull/734 ); - [CMake] ADD QtIFW generator + improvements [#796]( https://github.com/sofa-framework/sofa/pull/796 ); - [SofaMacros] ADD CMake macro to create pybind11 & cython targets and modules #859( https://github.com/sofa-framework/sofa/pull/859 ). **Modules**; - [All] Use drawtool everywhere [#704]( https://github.com/sofa-framework/sofa/pull/704 ); - [All] Sofa add mechanical matrix mapper [#721]( https://github.com/sofa-framework/sofa/pull/721 ); - **[SofaBaseTopology]** Add battery of tests on topology containers [#708]( https://github.com/sofa-framework/sofa/pull/708 ); - **[SofaBaseTopology]** Topology change propagation to Mechanical State [#838]( https://github.com/sofa-framework/sofa/pull/838 ); - **[SofaBaseMechanics]** Optimize barycentric mapping initialization [#798]( https://github.com/sofa-framework/sofa/pull/798 ); ,MatchSource.DOCS,sofa-framework,sofa,v24.06.00,https://github.com/sofa-framework/sofa/tree/v24.06.00/CHANGELOG.md:278528,avail,available,278528,CHANGELOG.md,https://www.sofa-framework.org,https://github.com/sofa-framework/sofa/tree/v24.06.00/CHANGELOG.md,1,['avail'],['available']
Availability," collision object is mapped to the simulated deformable model using a Mapping, this time a MechanicalMapping: BarycentricMapping. You may wonder what the difference is between this mapping and the one used for the visual model, as we are using the same component! What makes a mapping visual or mechanical?; This is determined by the template used to create the mapping:; Find the BarycentricMapping component using the Filter. From the dropdown menu, select Vec3d, Vec3d.; This mean it transforms a state expressed by Vec3d type into Vec3d. Remember, collision models are only expressed in Vec3d type, so the mapped state must be of Vec3d types.; Open the BarycentricMapping properties and go to the Properties 2/2 tab. Set the Input object to map to ""@.."" and the Output object to map to ""@.""; This corresponds to mapping from the MechanicalObject from one node above to the MechanicalObject of the current node.; Finally, we will remove our old TSphereModel, and replace it with one in the CollisionNode; Delete the current TSphereModel. Add a new TSphereModel to the CollisionNode, and change the Default contact stiffness property to ""1000"".; Results; Run in SOFA. Change to DT to ""0.005"". Animate.; You can see height spheres, corresponding to the height corners of the cube chosen to represent our collision mode. Of course, using four height spheres to do the collision detection is much faster than 171 as in the previous scene. But the behavior is also very different.; Apply a force on one of the spheres by holding down the Shift key, and clicking and dragging a sphere with the mouse.; You will be able to deform the object. This is due to the MechanicalMapping.; We display some debug information about the mechanical mapping using blue lines. Each point of the collision model depends on several points of the simulated object. If a force is applied to one of the collision model's points, the force will be propagated to all the points that depend on it.; Previous ____________ Next. ",MatchSource.DOCS,sofa-framework,sofa,v24.06.00,https://github.com/sofa-framework/sofa/tree/v24.06.00/examples/Tutorials/StepByStep/FullObject/6_FullObject.html:2975,down,down,2975,examples/Tutorials/StepByStep/FullObject/6_FullObject.html,https://www.sofa-framework.org,https://github.com/sofa-framework/sofa/tree/v24.06.00/examples/Tutorials/StepByStep/FullObject/6_FullObject.html,1,['down'],['down']
Availability," cure the violation prior to 30 days after; your receipt of the notice. Termination of your rights under this section does not terminate the; licenses of parties who have received copies or rights from you under; this License. If your rights have been terminated and not permanently; reinstated, you do not qualify to receive new licenses for the same; material under section 10. 9. Acceptance Not Required for Having Copies. You are not required to accept this License in order to receive or; run a copy of the Program. Ancillary propagation of a covered work; occurring solely as a consequence of using peer-to-peer transmission; to receive a copy likewise does not require acceptance. However,; nothing other than this License grants you permission to propagate or; modify any covered work. These actions infringe copyright if you do; not accept this License. Therefore, by modifying or propagating a; covered work, you indicate your acceptance of this License to do so. 10. Automatic Licensing of Downstream Recipients. Each time you convey a covered work, the recipient automatically; receives a license from the original licensors, to run, modify and; propagate that work, subject to this License. You are not responsible; for enforcing compliance by third parties with this License. An ""entity transaction"" is a transaction transferring control of an; organization, or substantially all assets of one, or subdividing an; organization, or merging organizations. If propagation of a covered; work results from an entity transaction, each party to that; transaction who receives a copy of the work also receives whatever; licenses to the work the party's predecessor in interest had or could; give under the previous paragraph, plus a right to possession of the; Corresponding Source of the work from the predecessor in interest, if; the predecessor has it or can get it with reasonable efforts. You may not impose any further restrictions on the exercise of the; rights granted or affirmed under",MatchSource.DOCS,sofa-framework,sofa,v24.06.00,https://github.com/sofa-framework/sofa/tree/v24.06.00/Sofa/GUI/Qt/libQGLViewer/licence.txt:41590,Down,Downstream,41590,Sofa/GUI/Qt/libQGLViewer/licence.txt,https://www.sofa-framework.org,https://github.com/sofa-framework/sofa/tree/v24.06.00/Sofa/GUI/Qt/libQGLViewer/licence.txt,1,['Down'],['Downstream']
Availability," documentation; - Add a page to use SOFA in Matlab. ____________________________________________________________. ## [v16.08]( https://github.com/sofa-framework/sofa/tree/v16.08 ). **Last commit: on Jul 28, 2016** ; [Full log]( https://github.com/sofa-framework/sofa/compare/v15.12...v16.08 ). ### New features. - SOFA on GitHub - [https://github.com/sofa-framework/sofa]( https://github.com/sofa-framework/sofa ); - creation of a RigidScale plugin: implementing mappings, especially allowing to get the DOF with Rigid+Scale type, while reusing affine DOF (Rigid+Scale+Shear) already implemented in Flexible; - creation of a LeapMotion plugin: allowing to integrate a Leap in your SOFA simulation; - add the DrawTool: DrawTool is an interface, describing an API to display primitives on screen. For now, only the OpenGL (fixed-pipeline version) implementation has been made.; - add a Logger; - add the diffusion effect in SOFA (heat transfer); - SOFA_USE_MASK compilation variable to activate or de-activate the masks in SOFA; - DataTracker: simple and elegant way to track Data in Engine; - extlibs: update cimg to version 1.7.3; - Add guidelines for contributions in CONTRIBUTING.md. ### Moved files. - Kernel modules of SOFA (SofaFramework, SofaBase, SofaCommon and SofaSimulation) have been moved to one common module SofaKernel, located at _sofa_root/SofaKernel_. SofaKernel is a pure LGPL module.; - code in _sofa_root/modules/sofa/simulation/_ has been splitted into three modules of SofaKernel: SofaSimulationCommon, SofaSimulationTree, SofaSimulationGraph; - MOVE the SofaPardiso module as a plugin; - Move OglTetrahedralModel into a new plugin called VolumetricRendering. - Minor moves; - Move ColorMap code to helper and let (Ogl)ColorMap from SofaOpenGLVisual doing OpenGL stuff; - Move TorsionForceField and ComplementaryROI into SOFA (those two components where in a deprecated repository _sofa_root/modules/sofa/components/_). - [Compliant]; - moving propagate_constraint_force_visitor",MatchSource.DOCS,sofa-framework,sofa,v24.06.00,https://github.com/sofa-framework/sofa/tree/v24.06.00/CHANGELOG.md:341845,mask,masks,341845,CHANGELOG.md,https://www.sofa-framework.org,https://github.com/sofa-framework/sofa/tree/v24.06.00/CHANGELOG.md,1,['mask'],['masks']
Availability," floating point operations for addition and multiplication only.; if(SOFACUDA_DOUBLE_PRECISE); set(SOFA_GPU_CUDA_DOUBLE_PRECISE 1) # #cmakedefine; endif(). option(SOFACUDA_PRECISE ""Use IEEE 754-compliant floating point operations."" OFF). include(SofaCUDANvccFlags.cmake). # nvcc uses a ""host code compiler"" to compile CPU code, specified by CUDA_HOST_COMPILER.; # With some versions of CMake, CUDA_HOST_COMPILER defaults to CMAKE_C_COMPILER,; # but few host compilers are actually supported. Workarounds should go here.; if (${CUDA_HOST_COMPILER} MATCHES ""ccache$""); message(STATUS ""SofaCUDA: CUDA host compiler was set to ccache, changing to g++""); set(CUDA_HOST_COMPILER ""g++"" CACHE STRING ""Host side compiler used by NVCC"" FORCE); endif(). # quick and dirty fix for nvcc compatibility with -fno-partial-inlining flag; set(CUDA_PROPAGATE_HOST_FLAGS OFF). if(WIN32); add_definitions(""-DWIN32""); set(WINDOWSOPTIONS ""/MD""); endif(). # Make the compiler definitions available to nvcc; add_definitions(""-DSOFA_BUILD_SOFACUDA""); # Give include directories to nvcc compiler.; # Note: keep cuda_include_directories() before cuda_add_library().; cuda_include_directories(""${CMAKE_CURRENT_SOURCE_DIR}""); cuda_include_directories(""${CMAKE_CURRENT_SOURCE_DIR}/src""); cuda_include_directories(""${CMAKE_BINARY_DIR}/include""); cuda_add_library(${PROJECT_NAME} SHARED ${HEADER_FILES} ${SOURCE_FILES} ${CUDA_SOURCES} ${README_FILES} OPTIONS ${VERBOSE_PTXAS} ${WINDOWSOPTIONS}). target_include_directories(${PROJECT_NAME} PUBLIC ""$<BUILD_INTERFACE:${CMAKE_CURRENT_SOURCE_DIR};${CMAKE_CURRENT_SOURCE_DIR}/src>""); set_target_properties(${PROJECT_NAME} PROPERTIES COMPILE_FLAGS ""${SOFACUDA_COMPILE_DEFINITIONS}""); target_link_libraries(${PROJECT_NAME}; Sofa.Component.Mass; Sofa.Component.SolidMechanics.FEM.Elastic; Sofa.Component.SolidMechanics.FEM.HyperElastic; Sofa.Component.SolidMechanics.TensorMass; Sofa.Component.MechanicalLoad; Sofa.Component.Collision.Response.Contact; Sofa.Component.Collision.Detection.Alg",MatchSource.DOCS,sofa-framework,sofa,v24.06.00,https://github.com/sofa-framework/sofa/tree/v24.06.00/applications/plugins/SofaCUDA/CMakeLists.txt:19108,avail,available,19108,applications/plugins/SofaCUDA/CMakeLists.txt,https://www.sofa-framework.org,https://github.com/sofa-framework/sofa/tree/v24.06.00/applications/plugins/SofaCUDA/CMakeLists.txt,1,['avail'],['available']
Availability," https://github.com/sofa-framework/sofa/pull/1311 ); - [SofaCUDA] Compilation without OpenGL [#1242]( https://github.com/sofa-framework/sofa/pull/1242 ). **Examples / Scenes**; - [examples] Add a scene illustrating ShewchukPCG [#1420]( https://github.com/sofa-framework/sofa/pull/1420 ). ### Bug Fixes. **Architecture**; - [CMake] Add SofaNonUniformFem to the dependencies of SofaMisc [#1384]( https://github.com/sofa-framework/sofa/pull/1384 ); - [SofaFramework/CMake] Create configuration type dir before copying lib [#1347]( https://github.com/sofa-framework/sofa/pull/1347 ); - [extlibs/gtest] Add character test in gtest paramName to allow dash character [#1265]( https://github.com/sofa-framework/sofa/pull/1265 ). **Modules**; - [All] Clean warnings for option config, again [#1339]( https://github.com/sofa-framework/sofa/pull/1339 ); - [All] Fix SOFA_LIBSUFFIX used in Debug by PluginManager [#1313]( https://github.com/sofa-framework/sofa/pull/1313 ); - [All] Overridden 'canCreate' methods should always log an error message when they fail [#1294]( https://github.com/sofa-framework/sofa/pull/1294 ); - **[SofaBaseTopology]** Fix GridTopology edge computation [#1323]( https://github.com/sofa-framework/sofa/pull/1323 ); - **[SofaBaseTopology]**[SofaExporter] Fix failing tests due to changes in topology [#1335]( https://github.com/sofa-framework/sofa/pull/1335 ); - [SofaConstraint] Fix test further to #1369 [#1386]( https://github.com/sofa-framework/sofa/pull/1386 ); - **[SofaEigen2Solver]** Fix CMake test on the version of Eigen [#1416]( https://github.com/sofa-framework/sofa/pull/1416 ); - **[SofaEngine]** Fix engine unit tests [#1280]( https://github.com/sofa-framework/sofa/pull/1280 ); - **[SofaEngine]** Fix Engine_test [#1338]( https://github.com/sofa-framework/sofa/pull/1338 ); - **[SofaFramework]** Windows/VS: Remove warnings flags from definitions [#1368]( https://github.com/sofa-framework/sofa/pull/1368 ); - [SofaGuiQt] Fix compilation for SOFA_DUMP_VISITOR_INFO [#1",MatchSource.DOCS,sofa-framework,sofa,v24.06.00,https://github.com/sofa-framework/sofa/tree/v24.06.00/CHANGELOG.md:234161,error,error,234161,CHANGELOG.md,https://www.sofa-framework.org,https://github.com/sofa-framework/sofa/tree/v24.06.00/CHANGELOG.md,1,['error'],['error']
Availability," of an executable work include anything, other; than the work as a whole, that (a) is included in the normal form of; packaging a Major Component, but which is not part of that Major; Component, and (b) serves only to enable use of the work with that; Major Component, or to implement a Standard Interface for which an; implementation is available to the public in source code form. A; ""Major Component"", in this context, means a major essential component; (kernel, window system, and so on) of the specific operating system; (if any) on which the executable work runs, or a compiler used to; produce the work, or an object code interpreter used to run it. The ""Corresponding Source"" for a work in object code form means all; the source code needed to generate, install, and (for an executable; work) run the object code and to modify the work, including scripts to; control those activities. However, it does not include the work's; System Libraries, or general-purpose tools or generally available free; programs which are used unmodified in performing those activities but; which are not part of the work. For example, Corresponding Source; includes interface definition files associated with source files for; the work, and the source code for shared libraries and dynamically; linked subprograms that the work is specifically designed to require,; such as by intimate data communication or control flow between those; subprograms and other parts of the work. The Corresponding Source need not include anything that users; can regenerate automatically from other parts of the Corresponding; Source. The Corresponding Source for a work in source code form is that; same work. 2. Basic Permissions. All rights granted under this License are granted for the term of; copyright on the Program, and are irrevocable provided the stated; conditions are met. This License explicitly affirms your unlimited; permission to run the unmodified Program. The output from running a; covered work is covered by t",MatchSource.DOCS,sofa-framework,sofa,v24.06.00,https://github.com/sofa-framework/sofa/tree/v24.06.00/Sofa/GUI/Qt/libQGLViewer/licence.txt:25794,avail,available,25794,Sofa/GUI/Qt/libQGLViewer/licence.txt,https://www.sofa-framework.org,https://github.com/sofa-framework/sofa/tree/v24.06.00/Sofa/GUI/Qt/libQGLViewer/licence.txt,1,['avail'],['available']
Availability, post-sprint [#476]( https://github.com/sofa-framework/sofa/pull/476 ); - [SofaSimulationCore]; - Add stop in add_mbktomatrixVisitor [#439]( https://github.com/sofa-framework/sofa/pull/439 ). **Other modules**; - [All]; - Fix warnings and strange double incrementation on iterator [#364]( https://github.com/sofa-framework/sofa/pull/364 ); - installing gtest headers for separate plugin builds [#395]( https://github.com/sofa-framework/sofa/pull/395 ); - Fix override warnings [#423]( https://github.com/sofa-framework/sofa/pull/423 ); - FIX Sofa installation failure (tries to install non-existing files) [#470]( https://github.com/sofa-framework/sofa/pull/470 ); - ADD _d suffix for debug libs [#511]( https://github.com/sofa-framework/sofa/pull/511 ); - [SofaBoundaryCondition]; - Fix LinearForceField that disappears [#525]( https://github.com/sofa-framework/sofa/pull/525 ); - FIX Removed incorrect warning from LinearForceField [#384]( https://github.com/sofa-framework/sofa/pull/384 ); - [SofaConstraint]; - Fix error due to MacOS >= 10.11 using a relative filename [#325]( https://github.com/sofa-framework/sofa/pull/325 ); - Fix issue in GenericConstraintCorrection [#567]( https://github.com/sofa-framework/sofa/pull/567 ); - [SofaDeformable]; - Fix RestShapeSpringsForceField [#367]( https://github.com/sofa-framework/sofa/pull/367 ); - [SofaExporter]; - FIX allow to extend VTKExporter in a plugin [#309]( https://github.com/sofa-framework/sofa/pull/309 ); - [SofaGeneralEngine]; - Fix some XyzTransformMatrixEngine::update() function [#343]( https://github.com/sofa-framework/sofa/pull/343 ); - [SofaGeneralImplicitOdeSolver]; - fix test [#478]( https://github.com/sofa-framework/sofa/pull/478 ); - [SofaGraphComponent]; - Fix the test that was wrong and thus failing in SceneChecker [#405]( https://github.com/sofa-framework/sofa/pull/405 ); - Fix a crashing bug in SceneCheckAPIChange. [#479]( https://github.com/sofa-framework/sofa/pull/479 ); - FIX SceneChecker & RequiredPlugin [#563,MatchSource.DOCS,sofa-framework,sofa,v24.06.00,https://github.com/sofa-framework/sofa/tree/v24.06.00/CHANGELOG.md:315065,error,error,315065,CHANGELOG.md,https://www.sofa-framework.org,https://github.com/sofa-framework/sofa/tree/v24.06.00/CHANGELOG.md,1,['error'],['error']
