quality_attribute,sentence,source,author,repo,version,id,keyword,matched_word,match_idx,filename,wiki,url,total_similar,target_keywords,target_matched_words
Availability," (; BaseVector * ; v, . const DataVecCoord & ; x1, . const DataVecCoord & ; x2, . const DataVecDeriv & ; v1, . const DataVecDeriv & ; v2 . ). ◆ handleEvent(). template<class DataTypes > . void sofa::component::constraint::lagrangian::model::BilateralLagrangianConstraint< DataTypes >::handleEvent ; (; sofa::core::objectmodel::Event * ; ). overridevirtual . Handle an event. ; Reimplemented from sofa::core::objectmodel::BaseObject. ◆ init() [1/2]. SOFA_COMPONENT_CONSTRAINT_LAGRANGIAN_MODEL_API void sofa::component::constraint::lagrangian::model::BilateralLagrangianConstraint< Rigid3Types >::init ; (; void ; ). virtual . Initialization method called at graph creation and modification, during top-down traversal. ; Reimplemented from sofa::core::objectmodel::BaseObject. ◆ init() [2/2]. template<class DataTypes > . void sofa::component::constraint::lagrangian::model::BilateralLagrangianConstraint< DataTypes >::init ; (; void ; ). overridevirtual . Initialization method called at graph creation and modification, during top-down traversal. ; Reimplemented from sofa::core::objectmodel::BaseObject. ◆ reinit(). template<class DataTypes > . void sofa::component::constraint::lagrangian::model::BilateralLagrangianConstraint< DataTypes >::reinit. overridevirtual . Update method called when variables used in precomputation are modified. ; Reimplemented from sofa::core::objectmodel::BaseObject. ◆ removeContact(). template<class DataTypes > . void sofa::component::constraint::lagrangian::model::BilateralLagrangianConstraint< DataTypes >::removeContact ; (; int ; objectId, . SubsetIndices ; indices . ). Method to remove a contact using point. ; Parameters. indicesand id of buffer: . See alsom1 (resp. . 2m) if; Parameters. objectIdis equal to 0 (resp. to 1) . ◆ SOFA_CLASS(). template<class DataTypes > . sofa::component::constraint::lagrangian::model::BilateralLagrangianConstraint< DataTypes >::SOFA_CLASS ; (; SOFA_TEMPLATE(BilateralLagrangianConstraint< DataTypes >, DataTypes) ; , . SOF",MatchSource.WIKI,sofa-framework,sofa,v24.06.00,https://www.sofa-framework.org/api/master/sofa/html/classsofa_1_1component_1_1constraint_1_1lagrangian_1_1model_1_1_bilateral_lagrangian_constraint.html:40107,down,down,40107,api/master/sofa/html/classsofa_1_1component_1_1constraint_1_1lagrangian_1_1model_1_1_bilateral_lagrangian_constraint.html,https://www.sofa-framework.org,https://www.sofa-framework.org/api/master/sofa/html/classsofa_1_1component_1_1constraint_1_1lagrangian_1_1model_1_1_bilateral_lagrangian_constraint.html,1,['down'],['down']
Availability," (BaseData *f);  Remove a data field. More...;  ; void addAlias (BaseData *field, const char *alias);  Add an alias to a Data. More...;  ; void addLink (BaseLink *l);  Add a link. More...;  ; void addAlias (BaseLink *link, const char *alias);  Add an alias to a Link. More...;  ; const VecData & getDataFields () const;  Accessor to the vector containing all the fields of this object. More...;  ; const MapData & getDataAliases () const;  Accessor to the map containing all the aliases of this object. More...;  ; const VecLink & getLinks () const;  Accessor to the vector containing all the fields of this object. More...;  ; const MapLink & getLinkAliases () const;  Accessor to the map containing all the aliases of this object. More...;  ; virtual bool findDataLinkDest (BaseData *&ptr, const std::string &path, const BaseLink *link);  ; template<class T > ; bool findLinkDest (T *&ptr, const std::string &path, const BaseLink *link);  ;  Public Member Functions inherited from sofa::core::behavior::PairStateAccessor< DataTypes, DataTypes >;  SOFA_ABSTRACT_CLASS (SOFA_TEMPLATE2(PairStateAccessor, DataTypes, DataTypes), StateAccessor);  ; void init () override;  Initialization method called at graph creation and modification, during top-down traversal. More...;  ; MechanicalState< DataTypes > * getMState1 ();  Retrieve the associated MechanicalState #1. More...;  ; const MechanicalState< DataTypes > * getMState1 () const;  Retrieve the associated MechanicalState #1. More...;  ; BaseMechanicalState * getMechModel1 ();  Retrieve the associated MechanicalState #1 as a BaseMechanicalState. More...;  ; const BaseMechanicalState * getMechModel1 () const;  Retrieve the associated MechanicalState #1 as a BaseMechanicalState. More...;  ; MechanicalState< DataTypes > * getMState2 ();  Retrieve the associated MechanicalState #2. More...;  ; const MechanicalState< DataTypes > * getMState2 () const;  Retrieve the associated MechanicalState #2. More...;  ; BaseMechanicalState * getMechModel2",MatchSource.WIKI,sofa-framework,sofa,v24.06.00,https://www.sofa-framework.org/api/master/sofa/html/classsofa_1_1component_1_1engine_1_1select_1_1_nearest_point_r_o_i.html:14170,down,down,14170,api/master/sofa/html/classsofa_1_1component_1_1engine_1_1select_1_1_nearest_point_r_o_i.html,https://www.sofa-framework.org,https://www.sofa-framework.org/api/master/sofa/html/classsofa_1_1component_1_1engine_1_1select_1_1_nearest_point_r_o_i.html,1,['down'],['down']
Availability," (T *&ptr, const Tag &tag, SearchDirection dir=SearchUp) const;  Generic object access template wrapper, given a required tag, possibly searching up or down from the current context. More...;  ; template<class T > ; void get (sptr< T > &ptr, const Tag &tag, SearchDirection dir=SearchUp) const;  Generic object access template wrapper, given a required tag, possibly searching up or down from the current context. More...;  ; template<class T > ; T * get (const TagSet &tags, SearchDirection dir=SearchUp) const;  Generic object access template wrapper, given a set of required tags, possibly searching up or down from the current context. More...;  ; template<class T > ; void get (T *&ptr, const TagSet &tags, SearchDirection dir=SearchUp) const;  Generic object access template wrapper, given a set of required tags, possibly searching up or down from the current context. More...;  ; template<class T > ; void get (sptr< T > &ptr, const TagSet &tags, SearchDirection dir=SearchUp) const;  Generic object access template wrapper, given a set of required tags, possibly searching up or down from the current context. More...;  ; template<class T > ; T * get (const std::string &path) const;  Generic object access template wrapper, given a path from the current context. More...;  ; template<class T > ; void get (T *&ptr, const std::string &path) const;  Generic object access template wrapper, given a path from the current context. More...;  ; template<class T > ; void get (sptr< T > &ptr, const std::string &path) const;  Generic object access template wrapper, given a path from the current context. More...;  ; template<class T , class Container > ; void get (Container *list, SearchDirection dir=SearchUp) const;  Generic list of objects access template wrapper, possibly searching up or down from the current context. More...;  ; template<class T , class Container > ; void get (Container *list, const Tag &tag, SearchDirection dir=SearchUp) const;  Generic list of objects access template ",MatchSource.WIKI,sofa-framework,sofa,v24.06.00,https://www.sofa-framework.org/api/master/sofa/html/classsofa_1_1core_1_1objectmodel_1_1_base_context.html:6506,down,down,6506,api/master/sofa/html/classsofa_1_1core_1_1objectmodel_1_1_base_context.html,https://www.sofa-framework.org,https://www.sofa-framework.org/api/master/sofa/html/classsofa_1_1core_1_1objectmodel_1_1_base_context.html,4,['down'],['down']
Availability," (cf d_nbVirtualFinerLevels) ; Reimplemented from sofa::component::topology::container::grid::SparseGridTopology. ◆ findCube(). Index sofa::component::topology::container::grid::SparseGridMultipleTopology::findCube ; (; const type::Vec3 & ; pos, . SReal & ; fx, . SReal & ; fy, . SReal & ; fz . ). inlineoverridevirtual . return the cube containing the given point (or -1 if not found), as well as deplacements from its first corner in terms of dx, dy, dz (i.e. barycentric coordinates).; return the cube containing the given point (or InvalidID if not found), as well as deplacements from its first corner in terms of dx, dy, dz (i.e. barycentric coordinates). ; Reimplemented from sofa::component::topology::container::grid::SparseGridTopology. ◆ findNearestCube(). Index sofa::component::topology::container::grid::SparseGridMultipleTopology::findNearestCube ; (; const type::Vec3 & ; pos, . SReal & ; fx, . SReal & ; fy, . SReal & ; fz . ). inlineoverridevirtual . return the cube containing the given point (or -1 if not found), as well as deplacements from its first corner in terms of dx, dy, dz (i.e. barycentric coordinates).; return the cube containing the given point (or InvalidID if not found), as well as deplacements from its first corner in terms of dx, dy, dz (i.e. barycentric coordinates). ; Reimplemented from sofa::component::topology::container::grid::SparseGridTopology. ◆ init(). void sofa::component::topology::container::grid::SparseGridMultipleTopology::init ; (; void ; ). inlineoverridevirtual . Initialization method called at graph creation and modification, during top-down traversal. ; Reimplemented from sofa::component::topology::container::constant::MeshTopology. ◆ SOFA_CLASS(). sofa::component::topology::container::grid::SparseGridMultipleTopology::SOFA_CLASS ; (; SparseGridMultipleTopology ; , . SparseGridRamificationTopology ;  . ). sofacomponenttopologycontainergridSparseGridMultipleTopology; Generated on Mon Nov 11 2024 03:10:03 for SOFA API by 1.9.1 . ",MatchSource.WIKI,sofa-framework,sofa,v24.06.00,https://www.sofa-framework.org/api/master/sofa/html/classsofa_1_1component_1_1topology_1_1container_1_1grid_1_1_sparse_grid_multiple_topology.html:55943,down,down,55943,api/master/sofa/html/classsofa_1_1component_1_1topology_1_1container_1_1grid_1_1_sparse_grid_multiple_topology.html,https://www.sofa-framework.org,https://www.sofa-framework.org/api/master/sofa/html/classsofa_1_1component_1_1topology_1_1container_1_1grid_1_1_sparse_grid_multiple_topology.html,1,['down'],['down']
Availability," (const core::ConstraintParams *, MultiVecId res1, MultiVecId res2=MultiVecId::null()) override;  ; bool solveSystem (const core::ConstraintParams *, MultiVecId res1, MultiVecId res2=MultiVecId::null()) override;  ; bool applyCorrection (const core::ConstraintParams *, MultiVecId res1, MultiVecId res2=MultiVecId::null()) override;  ; void draw (const core::visual::VisualParams *vparams) override;  Render internal data of this object, for debugging purposes. More...;  ; ConstraintProblem * getConstraintProblem () override;  ; void lockConstraintProblem (sofa::core::objectmodel::BaseObject *from, ConstraintProblem *p1, ConstraintProblem *p2=nullptr) override;  Do not use the following LCPs until the next call to this function. This is used to prevent concurrent access to the LCP when using a LCPForceFeedback through an haptic thread. More...;  ;  Public Member Functions inherited from sofa::component::constraint::lagrangian::solver::ConstraintSolverImpl;  ConstraintSolverImpl ();  ;  ~ConstraintSolverImpl () override;  ; void init () override;  Initialization method called at graph creation and modification, during top-down traversal. More...;  ; void cleanup () override;  ; void removeConstraintCorrection (core::behavior::BaseConstraintCorrection *s) override;  ;  Public Member Functions inherited from sofa::core::behavior::ConstraintSolver;  SOFA_ABSTRACT_CLASS (ConstraintSolver, objectmodel::BaseObject);  ; virtual void solveConstraint (const ConstraintParams *, MultiVecId res1, MultiVecId res2=MultiVecId::null());  ; virtual void rebuildSystem (SReal, SReal);  ; virtual void computeResidual (const core::ExecParams *);  ; bool insertInNode (objectmodel::BaseNode *node) override;  ; bool removeInNode (objectmodel::BaseNode *node) override;  ; virtual MultiVecDerivId getLambda () const;  ; virtual MultiVecDerivId getDx () const;  ;  Public Member Functions inherited from sofa::core::objectmodel::BaseObject;  SOFA_CLASS (BaseObject, Base);  ; virtual void computeBBox (",MatchSource.WIKI,sofa-framework,sofa,v24.06.00,https://www.sofa-framework.org/api/master/sofa/html/classsofa_1_1component_1_1constraint_1_1lagrangian_1_1solver_1_1_l_c_p_constraint_solver.html:6512,down,down,6512,api/master/sofa/html/classsofa_1_1component_1_1constraint_1_1lagrangian_1_1solver_1_1_l_c_p_constraint_solver.html,https://www.sofa-framework.org,https://www.sofa-framework.org/api/master/sofa/html/classsofa_1_1component_1_1constraint_1_1lagrangian_1_1solver_1_1_l_c_p_constraint_solver.html,1,['down'],['down']
Availability," (const core::visual::VisualParams *vparams) override;  Display shadow-casting surfaces. More...;  ; virtual bool loadTextures ();  ; virtual bool loadTexture (const std::string &);  ; bool load (const std::string &filename, const std::string &loader, const std::string &textureName);  ; void flipFaces ();  ; void setFilename (std::string s);  ; std::string getFilename ();  ; void setColor (float r, float g, float b, float a);  ; void setColor (std::string color);  ; void setUseNormals (bool val);  ; bool getUseNormals () const;  ; void setCastShadow (bool val);  ; bool getCastShadow () const;  ; void setMesh (helper::io::Mesh &m, bool tex=false);  ; bool isUsingTopology () const;  ; const VecCoord & getVertices () const;  ; const VecDeriv & getVnormals () const;  ; const VecTexCoord & getVtexcoords () const;  ; const VecCoord & getVtangents () const;  ; const VecCoord & getVbitangents () const;  ; const VecVisualTriangle & getTriangles () const;  ; const VecVisualQuad & getQuads () const;  ; const VecVisualEdge & getEdges () const;  ; void setVertices (VecCoord *x);  ; void setVnormals (VecDeriv *vn);  ; void setVtexcoords (VecTexCoord *vt);  ; void setVtangents (VecCoord *v);  ; void setVbitangents (VecCoord *v);  ; void setTriangles (VecVisualTriangle *t);  ; void setQuads (VecVisualQuad *q);  ; void setEdges (VecVisualEdge *e);  ; virtual void computePositions ();  ; virtual void computeMesh ();  ; virtual void computeNormals ();  ; virtual void computeTangents ();  ; void computeBBox (const core::ExecParams *params, bool=false) override;  ; virtual void computeUVSphereProjection ();  ; virtual void updateBuffers ();  ; virtual void deleteBuffers ();  ; virtual void deleteTextures ();  ; void doUpdateVisual (const core::visual::VisualParams *) override;  ; void init () override;  Initialization method called at graph creation and modification, during top-down traversal. More...;  ; void initFromTopology ();  ; void initPositionFromVertices ();  ; void initFromFile",MatchSource.WIKI,sofa-framework,sofa,v24.06.00,https://www.sofa-framework.org/api/master/sofa/html/classsofa_1_1component_1_1visual_1_1_visual_model_impl.html:10579,down,down,10579,api/master/sofa/html/classsofa_1_1component_1_1visual_1_1_visual_model_impl.html,https://www.sofa-framework.org,https://www.sofa-framework.org/api/master/sofa/html/classsofa_1_1component_1_1visual_1_1_visual_model_impl.html,1,['down'],['down']
Availability," (corresponding with the shader) More...;  ; Data< unsigned int > indexShader;  Name of element (corresponding with the shader) More...;  ; std::set< OglShader * > shaders;  Shader to use the element with. More...;  ;  Protected Attributes inherited from sofa::core::objectmodel::BaseObject; SingleLink< BaseObject, BaseContext, BaseLink::FLAG_DOUBLELINK > l_context;  ; LinkSlaves l_slaves;  ; SingleLink< BaseObject, BaseObject, BaseLink::FLAG_DOUBLELINK > l_master;  ;  Protected Attributes inherited from sofa::core::objectmodel::Base; std::map< std::string, sofa::core::DataTrackerCallback > m_internalEngine;  ; VecData m_vecData;  List of fields (Data instances) More...;  ; MapData m_aliasData;  name -> Data multi-map (includes names and aliases) More...;  ; VecLink m_vecLink;  List of links. More...;  ; MapLink m_aliasLink;  name -> Link multi-map (includes names and aliases) More...;  . Public Member Functions;  OglShaderElement ();  ;  ~OglShaderElement () override;  ; void init () override;  Initialization method called at graph creation and modification, during top-down traversal. More...;  ; const std::string getId () const;  ; void setID (std::string str);  ; void setIndexShader (unsigned int index);  ; const std::string & getSEID () const override;  ;  Public Member Functions inherited from sofa::core::visual::ShaderElement;  SOFA_ABSTRACT_CLASS (ShaderElement, objectmodel::BaseObject);  ; virtual ShaderElementType getSEType () const =0;  Returns the type of shader element (texture, macro, variable, or attribute) More...;  ; virtual const core::objectmodel::BaseData * getSEValue () const =0;  ; virtual core::objectmodel::BaseData * getSEValue ()=0;  ; virtual int getSESizePerVertex ();  ; virtual int getSETotalSize ();  ;  Public Member Functions inherited from sofa::core::objectmodel::BaseObject;  SOFA_CLASS (BaseObject, Base);  ; virtual void draw (const core::visual::VisualParams *);  Render internal data of this object, for debugging purposes. More...;  ; ",MatchSource.WIKI,sofa-framework,sofa,v24.06.00,https://www.sofa-framework.org/api/master/sofa/html/classsofa_1_1gl_1_1component_1_1shader_1_1_ogl_shader_element.html:1893,down,down,1893,api/master/sofa/html/classsofa_1_1gl_1_1component_1_1shader_1_1_ogl_shader_element.html,https://www.sofa-framework.org,https://www.sofa-framework.org/api/master/sofa/html/classsofa_1_1gl_1_1component_1_1shader_1_1_ogl_shader_element.html,1,['down'],['down']
Availability," * ; , . sofa::Index ;  . ). overridevirtual . Render an collision element. ; Reimplemented from sofa::core::CollisionModel. ◆ draw() [2/2]. void sofa::component::collision::geometry::RayCollisionModel::draw ; (; const core::visual::VisualParams * ; ). overridevirtual . Render internal data of this object, for debugging purposes. ; Reimplemented from sofa::core::objectmodel::BaseObject. ◆ getContacts(). virtual const std::set<response::contact::BaseRayContact*>& sofa::component::collision::geometry::RayCollisionModel::getContacts ; (; ); const. inlinevirtual . ◆ getMechanicalState(). core::behavior::MechanicalState<defaulttype::Vec3Types>* sofa::component::collision::geometry::RayCollisionModel::getMechanicalState ; (; ). inline . ◆ getNbRay(). int sofa::component::collision::geometry::RayCollisionModel::getNbRay ; (; ); const. inline . ◆ getRay(). Ray sofa::component::collision::geometry::RayCollisionModel::getRay ; (; int ; index). inline . ◆ init(). void sofa::component::collision::geometry::RayCollisionModel::init ; (; void ; ). overridevirtual . Initialization method called at graph creation and modification, during top-down traversal. ; Reimplemented from sofa::core::objectmodel::BaseObject. ◆ removeContact(). virtual void sofa::component::collision::geometry::RayCollisionModel::removeContact ; (; response::contact::BaseRayContact * ; contact). inlinevirtual . ◆ resize(). void sofa::component::collision::geometry::RayCollisionModel::resize ; (; sofa::Size ; s). overridevirtual . Set the number of elements. ; Reimplemented from sofa::core::CollisionModel. ◆ setNbRay(). void sofa::component::collision::geometry::RayCollisionModel::setNbRay ; (; int ; n). inline . ◆ SOFA_CLASS(). sofa::component::collision::geometry::RayCollisionModel::SOFA_CLASS ; (; RayCollisionModel ; , . core::CollisionModel ;  . ). Related details. ◆ Ray. friend class Ray. friend . sofacomponentcollisiongeometryRayCollisionModel; Generated on Mon Nov 11 2024 02:24:58 for SOFA API by 1.9.1 . ",MatchSource.WIKI,sofa-framework,sofa,v24.06.00,https://www.sofa-framework.org/api/master/sofa/html/classsofa_1_1component_1_1collision_1_1geometry_1_1_ray_collision_model.html:24496,down,down,24496,api/master/sofa/html/classsofa_1_1component_1_1collision_1_1geometry_1_1_ray_collision_model.html,https://www.sofa-framework.org,https://www.sofa-framework.org/api/master/sofa/html/classsofa_1_1component_1_1collision_1_1geometry_1_1_ray_collision_model.html,1,['down'],['down']
Availability," * ; lambda . ). overridevirtual . Compute the motion coming from the contact space lambda ; dx = A^-1 x J^t x lambda where :; J is the constraint jacobian matrix ( ^t denotes the transposition operator ); A is the dynamic matrix. Usually for implicit integration A = M - h^2 x K with – M the mass matrix – K the stiffness matrix – h the step size. Usually this computation will be delegated to a LinearSolver instance. Parameters. cparamsthe ConstraintParams relative to the constraint solver ; dxthe VecId where to store the corrective motion ; lambdais the constraint space force vector . Implements sofa::core::behavior::BaseConstraintCorrection. ◆ getMState(). template<class TDataTypes > . MechanicalState<DataTypes>* sofa::core::behavior::ConstraintCorrection< TDataTypes >::getMState ; (; ); const. inline . ◆ init(). template<class DataTypes > . void sofa::core::behavior::ConstraintCorrection< DataTypes >::init ; (; void ; ). overridevirtual . Initialization method called at graph creation and modification, during top-down traversal. ; Reimplemented from sofa::core::objectmodel::BaseObject.; Reimplemented in sofa::component::constraint::lagrangian::correction::UncoupledConstraintCorrection< TDataTypes >, and sofa::component::constraint::lagrangian::correction::UncoupledConstraintCorrection< TDataTypes >. ◆ removeConstraintSolver(). template<class DataTypes > . void sofa::core::behavior::ConstraintCorrection< DataTypes >::removeConstraintSolver ; (; core::behavior::ConstraintSolver * ; s). overridevirtual . Remove reference to constraint solver; Parameters. sis the constraint solver . Implements sofa::core::behavior::BaseConstraintCorrection. ◆ setMState(). template<class TDataTypes > . void sofa::core::behavior::ConstraintCorrection< TDataTypes >::setMState ; (; MechanicalState< DataTypes > * ; _mstate). inline . ◆ SOFA_ABSTRACT_CLASS(). template<class TDataTypes > . sofa::core::behavior::ConstraintCorrection< TDataTypes >::SOFA_ABSTRACT_CLASS ; (; SOFA_TEMPLATE(Constr",MatchSource.WIKI,sofa-framework,sofa,v24.06.00,https://www.sofa-framework.org/api/master/sofa/html/classsofa_1_1core_1_1behavior_1_1_constraint_correction.html:24868,down,down,24868,api/master/sofa/html/classsofa_1_1core_1_1behavior_1_1_constraint_correction.html,https://www.sofa-framework.org,https://www.sofa-framework.org/api/master/sofa/html/classsofa_1_1core_1_1behavior_1_1_constraint_correction.html,1,['down'],['down']
Availability, - Topic Tag: runSofa location. /runtime; . /feed; ; runtime – SOFA. SOFA - Topic Tag: runtime. /scene; . /feed; ; scene – SOFA. SOFA - Topic Tag: scene. /scene-file; . /feed; ; scene file – SOFA. SOFA - Topic Tag: scene file. /scenegraph-events-handleevent-engine; . /feed; ; scenegraph events handleEvent engine – SOFA. SOFA - Topic Tag: scenegraph events handleEvent engine. /scene-in-cpp; . /feed; ; scene in cpp – SOFA. SOFA - Topic Tag: scene in cpp. /scenes; . /feed; ; scenes – SOFA. SOFA - Topic Tag: scenes. /scene-xml-pose; . /feed; ; Scene; XML; Pose – SOFA. SOFA - Topic Tag: Scene; XML; Pose. /screenshot; . /feed; ; screenshot – SOFA. SOFA - Topic Tag: screenshot. /screenshots; . /feed; ; screenshots – SOFA. SOFA - Topic Tag: screenshots. /script; . /feed; ; script – SOFA. SOFA - Topic Tag: script. /search-node; . /feed; ; search node – SOFA. SOFA - Topic Tag: search node. /segfault; . /feed; ; segfault – SOFA. SOFA - Topic Tag: segfault. /segmentation-fault; . /feed; ; segmentation fault – SOFA. SOFA - Topic Tag: segmentation fault. /segmentation-fault-11; . /feed; ; segmentation fault 11 – SOFA. SOFA - Topic Tag: segmentation fault 11. /sensable; . /feed; ; Sensable – SOFA. SOFA - Topic Tag: Sensable. /sensable-plugin; . /feed; ; Sensable plugin – SOFA. SOFA - Topic Tag: Sensable plugin. /sensable-sofa-plugin; . /feed; ; sensable sofa plugin – SOFA. SOFA - Topic Tag: sensable sofa plugin. /sensible; . /feed; ; sensible – SOFA. SOFA - Topic Tag: sensible. /sensing; . /feed; ; Sensing – SOFA. SOFA - Topic Tag: Sensing. /separate; . /feed; ; separate – SOFA. SOFA - Topic Tag: separate. /server; . /feed; ; server – SOFA. SOFA - Topic Tag: server. /servo; . /feed; ; Servo – SOFA. SOFA - Topic Tag: Servo. /servoing; . /feed; ; servoing – SOFA. SOFA - Topic Tag: servoing. /setting_up; . /feed; ; Setting_Up – SOFA. SOFA - Topic Tag: Setting_Up. /setting-up; . /feed; ; Setting up – SOFA. SOFA - Topic Tag: Setting up. /shader; . /feed; ; shader – SOFA. SOFA - Topic T,MatchSource.WIKI,sofa-framework,sofa,v24.06.00,https://www.sofa-framework.org/index-wcopy.html:470579,fault,fault,470579,index-wcopy.html,https://www.sofa-framework.org,https://www.sofa-framework.org/index-wcopy.html,1,['fault'],['fault']
