quality_attribute,sentence,source,author,repo,version,id,keyword,matched_word,match_idx,filename,wiki,url,total_similar,target_keywords,target_matched_words
Availability," Slack; Develop; GUI. Downloading SU2. SU2 is available freely for use under the GNU Lesser General Public License, version 2.1. Please reference the license details for terms and conditions.; Before downloading the software, please take a moment to register for the email list, so you won't miss out on the latest news and announcements from the SU2 project. We respect your privacy, and the information we collect is used only for statistics and never shared. Your participation lets us build a better tool to suit the needs of our community. Binary Executables; This option is for users who wish to use SU2 without the need to compile the program from source. We provide serial and parallel (using MPI) versions. ; Disclaimer: For best performance and compatibility you should always consider building SU2 from source. Also note that the Discrete Adjoint functionality is not available when using the binary executables.; . After downloading the appropriate files for your OS, make sure to check out the installation guides (Linux/MacOS, Windows) and the QuickStart case.; . Release Notes can be found on the releases page on Github. Version; Notes; Published; Downloads; Size. SU2 for Linux; -.  . SU2 MPI for Linux; Requires installation of MPICH.  . SU2 for macOS; -.  . SU2 MPI macOS; Requires installation of MPICH.  . SU2 for Windows; -.  . SU2 MPI for Windows; Requires installation of Microsoft MPI. Source Code; There are a number of ways to access the SU2 source code. If you will be developing the code, we recommend that you clone the repository. On a Linux/Unix/Mac system with the standard git client, this can be done by executing:; $ git clone https://github.com/su2code/SU2.git; You may also browse the code on GitHub directly. A link on the right hand side provides the option to download a current snapshot of the master branch repository as a ZIP file. The latest release will also be tagged and available on the GitHub releases page, and for convenience, you can download the ",MatchSource.WIKI,su2code,SU2,v8.1.0,https://su2code.github.io/download-1.html:1038,down,downloading,1038,download-1.html,https://su2code.github.io,https://su2code.github.io/download-1.html,2,['down'],['downloading']
Availability," obtained a copy of the code, follow the installation instructions for Linux/MacOS or for Windows to compile and install from source. Previous Versions; SU2 is hosted on GitHub, and previous versions are tagged and available on the releases page. Tutorials; As part of our documentation and training, we ship a set of tutorials that walk the user through setting up and executing a number of examples. These cases start from the basics and help the user learn SU2 quickly. Later tutorials cover advanced SU2 capabilities, such as optimal shape design. You can get the most recent config and mesh files using the following links:. Web Tutorials (.zip). Web Tutorials (.tar.gz). Or you can directly clone the repository:; $ git clone https://github.com/su2code/Tutorials. Test Case Suite; SU2 comes with an extensive collection of common test cases. The test cases contain meshes and configuration files that can be run to ensure different components of the suite are working properly. Test cases (configuration and mesh files) are included in a separate repository, also available on GitHub that can be accessed using:; $ git clone https://github.com/su2code/TestCases.git. The latest release of the test cases will also be tagged and available on the GitHub releases page, and for convenience, you can download the this source code from the latest release directly with the button below:. Test Cases (.zip). Test Cases (.tar.gz). Note that, while many of the cases are used for regression testing, this test case suite is provided without any guarantees on performance or expected results. Keep in mind that small changes to the configuration options can often result in large changes to the output. We encourage the community to experiment with these test cases, or even try (and share!) other interesting validation cases with SU2!; Please see the documentation on how to use the test cases. SU2 | Multiphysics Simulation and Design Software 2024 |; Powered by Jekyll Doc Theme | ; Privacy Policy. ",MatchSource.WIKI,su2code,SU2,v8.1.0,https://su2code.github.io/download-1.html:3295,avail,available,3295,download-1.html,https://su2code.github.io,https://su2code.github.io/download-1.html,6,"['avail', 'down']","['available', 'download']"
Availability,"om source. Also note that the Discrete Adjoint functionality is not available when using the binary executables.; . After downloading the appropriate files for your OS, make sure to check out the installation guides (Linux/MacOS, Windows) and the QuickStart case.; . Release Notes can be found on the releases page on Github. Version; Notes; Published; Downloads; Size. SU2 for Linux; -.  . SU2 MPI for Linux; Requires installation of MPICH.  . SU2 for macOS; -.  . SU2 MPI macOS; Requires installation of MPICH.  . SU2 for Windows; -.  . SU2 MPI for Windows; Requires installation of Microsoft MPI. Source Code; There are a number of ways to access the SU2 source code. If you will be developing the code, we recommend that you clone the repository. On a Linux/Unix/Mac system with the standard git client, this can be done by executing:; $ git clone https://github.com/su2code/SU2.git; You may also browse the code on GitHub directly. A link on the right hand side provides the option to download a current snapshot of the master branch repository as a ZIP file. The latest release will also be tagged and available on the GitHub releases page, and for convenience, you can download the this source code from the latest release directly with the button below:. Source (.zip). Source (.tar.gz). Once you have obtained a copy of the code, follow the installation instructions for Linux/MacOS or for Windows to compile and install from source. Previous Versions; SU2 is hosted on GitHub, and previous versions are tagged and available on the releases page. Tutorials; As part of our documentation and training, we ship a set of tutorials that walk the user through setting up and executing a number of examples. These cases start from the basics and help the user learn SU2 quickly. Later tutorials cover advanced SU2 capabilities, such as optimal shape design. You can get the most recent config and mesh files using the following links:. Web Tutorials (.zip). Web Tutorials (.tar.gz). Or you can dir",MatchSource.WIKI,su2code,SU2,v8.1.0,https://su2code.github.io/download-1.html:1906,down,download,1906,download-1.html,https://su2code.github.io,https://su2code.github.io/download-1.html,2,['down'],['download']
Availability,"r OS, make sure to check out the installation guides (Linux/MacOS, Windows) and the QuickStart case.; . Release Notes can be found on the releases page on Github. Version; Notes; Published; Downloads; Size. SU2 for Linux; -.  . SU2 MPI for Linux; Requires installation of MPICH.  . SU2 for macOS; -.  . SU2 MPI macOS; Requires installation of MPICH.  . SU2 for Windows; -.  . SU2 MPI for Windows; Requires installation of Microsoft MPI. Source Code; There are a number of ways to access the SU2 source code. If you will be developing the code, we recommend that you clone the repository. On a Linux/Unix/Mac system with the standard git client, this can be done by executing:; $ git clone https://github.com/su2code/SU2.git; You may also browse the code on GitHub directly. A link on the right hand side provides the option to download a current snapshot of the master branch repository as a ZIP file. The latest release will also be tagged and available on the GitHub releases page, and for convenience, you can download the this source code from the latest release directly with the button below:. Source (.zip). Source (.tar.gz). Once you have obtained a copy of the code, follow the installation instructions for Linux/MacOS or for Windows to compile and install from source. Previous Versions; SU2 is hosted on GitHub, and previous versions are tagged and available on the releases page. Tutorials; As part of our documentation and training, we ship a set of tutorials that walk the user through setting up and executing a number of examples. These cases start from the basics and help the user learn SU2 quickly. Later tutorials cover advanced SU2 capabilities, such as optimal shape design. You can get the most recent config and mesh files using the following links:. Web Tutorials (.zip). Web Tutorials (.tar.gz). Or you can directly clone the repository:; $ git clone https://github.com/su2code/Tutorials. Test Case Suite; SU2 comes with an extensive collection of common test cases. The te",MatchSource.WIKI,su2code,SU2,v8.1.0,https://su2code.github.io/download-1.html:2024,avail,available,2024,download-1.html,https://su2code.github.io,https://su2code.github.io/download-1.html,4,"['avail', 'down']","['available', 'download']"
Availability,"tion of MPICH.  . SU2 for Windows; -.  . SU2 MPI for Windows; Requires installation of Microsoft MPI. Source Code; There are a number of ways to access the SU2 source code. If you will be developing the code, we recommend that you clone the repository. On a Linux/Unix/Mac system with the standard git client, this can be done by executing:; $ git clone https://github.com/su2code/SU2.git; You may also browse the code on GitHub directly. A link on the right hand side provides the option to download a current snapshot of the master branch repository as a ZIP file. The latest release will also be tagged and available on the GitHub releases page, and for convenience, you can download the this source code from the latest release directly with the button below:. Source (.zip). Source (.tar.gz). Once you have obtained a copy of the code, follow the installation instructions for Linux/MacOS or for Windows to compile and install from source. Previous Versions; SU2 is hosted on GitHub, and previous versions are tagged and available on the releases page. Tutorials; As part of our documentation and training, we ship a set of tutorials that walk the user through setting up and executing a number of examples. These cases start from the basics and help the user learn SU2 quickly. Later tutorials cover advanced SU2 capabilities, such as optimal shape design. You can get the most recent config and mesh files using the following links:. Web Tutorials (.zip). Web Tutorials (.tar.gz). Or you can directly clone the repository:; $ git clone https://github.com/su2code/Tutorials. Test Case Suite; SU2 comes with an extensive collection of common test cases. The test cases contain meshes and configuration files that can be run to ensure different components of the suite are working properly. Test cases (configuration and mesh files) are included in a separate repository, also available on GitHub that can be accessed using:; $ git clone https://github.com/su2code/TestCases.git. The latest releas",MatchSource.WIKI,su2code,SU2,v8.1.0,https://su2code.github.io/download-1.html:2440,avail,available,2440,download-1.html,https://su2code.github.io,https://su2code.github.io/download-1.html,2,['avail'],['available']
Availability,"﻿. Downloading SU2. Toggle navigation. Download; Publications; Docs; Tutorials; V&V; User Forum; Dev Team Slack; Develop; GUI. Downloading SU2. SU2 is available freely for use under the GNU Lesser General Public License, version 2.1. Please reference the license details for terms and conditions.; Before downloading the software, please take a moment to register for the email list, so you won't miss out on the latest news and announcements from the SU2 project. We respect your privacy, and the information we collect is used only for statistics and never shared. Your participation lets us build a better tool to suit the needs of our community. Binary Executables; This option is for users who wish to use SU2 without the need to compile the program from source. We provide serial and parallel (using MPI) versions. ; Disclaimer: For best performance and compatibility you should always consider building SU2 from source. Also note that the Discrete Adjoint functionality is not available when using the binary executables.; . After downloading the appropriate files for your OS, make sure to check out the installation guides (Linux/MacOS, Windows) and the QuickStart case.; . Release Notes can be found on the releases page on Github. Version; Notes; Published; Downloads; Size. SU2 for Linux; -.  . SU2 MPI for Linux; Requires installation of MPICH.  . SU2 for macOS; -.  . SU2 MPI macOS; Requires installation of MPICH.  . SU2 for Windows; -.  . SU2 MPI for Windows; Requires installation of Microsoft MPI. Source Code; There are a number of ways to access the SU2 source code. If you will be developing the code, we recommend that you clone the repository. On a Linux/Unix/Mac system with the standard git client, this can be done by executing:; $ git clone https://github.com/su2code/SU2.git; You may also browse the code on GitHub directly. A link on the right hand side provides the option to download a current snapshot of the master branch repository as a ZIP file. The latest release w",MatchSource.WIKI,su2code,SU2,v8.1.0,https://su2code.github.io/download-1.html:151,avail,available,151,download-1.html,https://su2code.github.io,https://su2code.github.io/download-1.html,6,"['avail', 'down']","['available', 'downloading']"
Deployability," License, version 2.1. Please reference the license details for terms and conditions.; Before downloading the software, please take a moment to register for the email list, so you won't miss out on the latest news and announcements from the SU2 project. We respect your privacy, and the information we collect is used only for statistics and never shared. Your participation lets us build a better tool to suit the needs of our community. Binary Executables; This option is for users who wish to use SU2 without the need to compile the program from source. We provide serial and parallel (using MPI) versions. ; Disclaimer: For best performance and compatibility you should always consider building SU2 from source. Also note that the Discrete Adjoint functionality is not available when using the binary executables.; . After downloading the appropriate files for your OS, make sure to check out the installation guides (Linux/MacOS, Windows) and the QuickStart case.; . Release Notes can be found on the releases page on Github. Version; Notes; Published; Downloads; Size. SU2 for Linux; -.  . SU2 MPI for Linux; Requires installation of MPICH.  . SU2 for macOS; -.  . SU2 MPI macOS; Requires installation of MPICH.  . SU2 for Windows; -.  . SU2 MPI for Windows; Requires installation of Microsoft MPI. Source Code; There are a number of ways to access the SU2 source code. If you will be developing the code, we recommend that you clone the repository. On a Linux/Unix/Mac system with the standard git client, this can be done by executing:; $ git clone https://github.com/su2code/SU2.git; You may also browse the code on GitHub directly. A link on the right hand side provides the option to download a current snapshot of the master branch repository as a ZIP file. The latest release will also be tagged and available on the GitHub releases page, and for convenience, you can download the this source code from the latest release directly with the button below:. Source (.zip). Source (.tar.gz). ",MatchSource.WIKI,su2code,SU2,v8.1.0,https://su2code.github.io/download-1.html:1217,release,releases,1217,download-1.html,https://su2code.github.io,https://su2code.github.io/download-1.html,2,['release'],['releases']
Deployability," Slack; Develop; GUI. Downloading SU2. SU2 is available freely for use under the GNU Lesser General Public License, version 2.1. Please reference the license details for terms and conditions.; Before downloading the software, please take a moment to register for the email list, so you won't miss out on the latest news and announcements from the SU2 project. We respect your privacy, and the information we collect is used only for statistics and never shared. Your participation lets us build a better tool to suit the needs of our community. Binary Executables; This option is for users who wish to use SU2 without the need to compile the program from source. We provide serial and parallel (using MPI) versions. ; Disclaimer: For best performance and compatibility you should always consider building SU2 from source. Also note that the Discrete Adjoint functionality is not available when using the binary executables.; . After downloading the appropriate files for your OS, make sure to check out the installation guides (Linux/MacOS, Windows) and the QuickStart case.; . Release Notes can be found on the releases page on Github. Version; Notes; Published; Downloads; Size. SU2 for Linux; -.  . SU2 MPI for Linux; Requires installation of MPICH.  . SU2 for macOS; -.  . SU2 MPI macOS; Requires installation of MPICH.  . SU2 for Windows; -.  . SU2 MPI for Windows; Requires installation of Microsoft MPI. Source Code; There are a number of ways to access the SU2 source code. If you will be developing the code, we recommend that you clone the repository. On a Linux/Unix/Mac system with the standard git client, this can be done by executing:; $ git clone https://github.com/su2code/SU2.git; You may also browse the code on GitHub directly. A link on the right hand side provides the option to download a current snapshot of the master branch repository as a ZIP file. The latest release will also be tagged and available on the GitHub releases page, and for convenience, you can download the ",MatchSource.WIKI,su2code,SU2,v8.1.0,https://su2code.github.io/download-1.html:1112,install,installation,1112,download-1.html,https://su2code.github.io,https://su2code.github.io/download-1.html,2,['install'],['installation']
Deployability," obtained a copy of the code, follow the installation instructions for Linux/MacOS or for Windows to compile and install from source. Previous Versions; SU2 is hosted on GitHub, and previous versions are tagged and available on the releases page. Tutorials; As part of our documentation and training, we ship a set of tutorials that walk the user through setting up and executing a number of examples. These cases start from the basics and help the user learn SU2 quickly. Later tutorials cover advanced SU2 capabilities, such as optimal shape design. You can get the most recent config and mesh files using the following links:. Web Tutorials (.zip). Web Tutorials (.tar.gz). Or you can directly clone the repository:; $ git clone https://github.com/su2code/Tutorials. Test Case Suite; SU2 comes with an extensive collection of common test cases. The test cases contain meshes and configuration files that can be run to ensure different components of the suite are working properly. Test cases (configuration and mesh files) are included in a separate repository, also available on GitHub that can be accessed using:; $ git clone https://github.com/su2code/TestCases.git. The latest release of the test cases will also be tagged and available on the GitHub releases page, and for convenience, you can download the this source code from the latest release directly with the button below:. Test Cases (.zip). Test Cases (.tar.gz). Note that, while many of the cases are used for regression testing, this test case suite is provided without any guarantees on performance or expected results. Keep in mind that small changes to the configuration options can often result in large changes to the output. We encourage the community to experiment with these test cases, or even try (and share!) other interesting validation cases with SU2!; Please see the documentation on how to use the test cases. SU2 | Multiphysics Simulation and Design Software 2024 |; Powered by Jekyll Doc Theme | ; Privacy Policy. ",MatchSource.WIKI,su2code,SU2,v8.1.0,https://su2code.github.io/download-1.html:3221,configurat,configuration,3221,download-1.html,https://su2code.github.io,https://su2code.github.io/download-1.html,10,"['configurat', 'release']","['configuration', 'release', 'releases']"
Deployability,". SU2 for Linux; -.  . SU2 MPI for Linux; Requires installation of MPICH.  . SU2 for macOS; -.  . SU2 MPI macOS; Requires installation of MPICH.  . SU2 for Windows; -.  . SU2 MPI for Windows; Requires installation of Microsoft MPI. Source Code; There are a number of ways to access the SU2 source code. If you will be developing the code, we recommend that you clone the repository. On a Linux/Unix/Mac system with the standard git client, this can be done by executing:; $ git clone https://github.com/su2code/SU2.git; You may also browse the code on GitHub directly. A link on the right hand side provides the option to download a current snapshot of the master branch repository as a ZIP file. The latest release will also be tagged and available on the GitHub releases page, and for convenience, you can download the this source code from the latest release directly with the button below:. Source (.zip). Source (.tar.gz). Once you have obtained a copy of the code, follow the installation instructions for Linux/MacOS or for Windows to compile and install from source. Previous Versions; SU2 is hosted on GitHub, and previous versions are tagged and available on the releases page. Tutorials; As part of our documentation and training, we ship a set of tutorials that walk the user through setting up and executing a number of examples. These cases start from the basics and help the user learn SU2 quickly. Later tutorials cover advanced SU2 capabilities, such as optimal shape design. You can get the most recent config and mesh files using the following links:. Web Tutorials (.zip). Web Tutorials (.tar.gz). Or you can directly clone the repository:; $ git clone https://github.com/su2code/Tutorials. Test Case Suite; SU2 comes with an extensive collection of common test cases. The test cases contain meshes and configuration files that can be run to ensure different components of the suite are working properly. Test cases (configuration and mesh files) are included in a separate reposit",MatchSource.WIKI,su2code,SU2,v8.1.0,https://su2code.github.io/download-1.html:2266,install,installation,2266,download-1.html,https://su2code.github.io,https://su2code.github.io/download-1.html,4,['install'],"['install', 'installation']"
