quality_attribute,sentence,source,author,repo,version,id,keyword,matched_word,match_idx,wiki,url,total_similar,target_keywords,target_matched_words
Availability,"For multi-colored point clouds, you would have to pass a list of PointClouds or functions generating PointClouds.; How about making `color` a `Tensor` instead?; Then merging clouds boils down to concatenating points, values and colors. Plotting also becomes simpler with less possible errors.; I just pushed support for string tensors: 382b481fe40bab4cd4a54bf55b018122b818b5e2",MatchSource.ISSUE_COMMENT,tum-pbs,PhiFlow,3.1.0,https://github.com/tum-pbs/PhiFlow/pull/25#issuecomment-770234551:187,down,down,187,,https://github.com/tum-pbs/PhiFlow/pull/25#issuecomment-770234551,2,"['down', 'error']","['down', 'errors']"
Availability,"Hi Nikolai,. Thanks for your feedback!; Unfortunately we don't have anyone with a lot of experience in PyTorch in our group, so we don't yet have advanced tests. I'll look into the error shortly and post a fix. Best,; Philipp",MatchSource.ISSUE_COMMENT,tum-pbs,PhiFlow,3.1.0,https://github.com/tum-pbs/PhiFlow/issues/14#issuecomment-607752895:181,error,error,181,,https://github.com/tum-pbs/PhiFlow/issues/14#issuecomment-607752895,1,['error'],['error']
Availability,"Hi, thanks for the feedback!. You can do a couple of things. * Use [`math.print_gradient()`](https://tum-pbs.github.io/PhiFlow/phi/math/index.html#phi.math.print_gradient) to see what the gradient is at different stages of your graph.; * Use a [`math.SolveTape()`](https://tum-pbs.github.io/PhiFlow/phi/math/index.html#phi.math.SolveTape) to record the linear solves from the backward pass.; * Use [`phi.set_logging_level()`](https://tum-pbs.github.io/PhiFlow/phi/#phi.set_logging_level) to enable debug prints. Hope that helps! Let me know if the error persists.",MatchSource.ISSUE_COMMENT,tum-pbs,PhiFlow,3.1.0,https://github.com/tum-pbs/PhiFlow/issues/129#issuecomment-1643677805:548,error,error,548,,https://github.com/tum-pbs/PhiFlow/issues/129#issuecomment-1643677805,1,['error'],['error']
Availability,"I can run the *Higher-order Fluid Simulations* notebook in Colab without error. You are talking about this cell, right?; ```python; v0 = StaggeredGrid(0, **DOMAIN); p0 = CenteredGrid(0, **DOMAIN); multi_step = lambda *x, **kwargs: iterate(rk4_step, 25, *x, **kwargs); v_trj, p_trj = iterate(multi_step, batch(time=2), v0, p0, dt=0.005, range=trange); vis.plot(field.curl(v_trj.with_extrapolation(0)), animate='time'); ```; That cell should show a progress bar. Does that show up?. Could you try running; ```bash; !pip uninstall phiflow phiml; !pip install phiflow; ```; and restarting your runtime?",MatchSource.ISSUE_COMMENT,tum-pbs,PhiFlow,3.1.0,https://github.com/tum-pbs/PhiFlow/issues/145#issuecomment-1823557821:73,error,error,73,,https://github.com/tum-pbs/PhiFlow/issues/145#issuecomment-1823557821,1,['error'],['error']
Availability,"Sorry to put it in comment of this issue but I haven't found an email adress to send you my python file.; For the bug to occur, simply comment l.33 and uncomment l.35 or l.36. ; The thrown error is the one I copied in the first message. My PhiFlow version : ; phiflow @ git+https://github.com/tum-pbs/PhiFlow@128d0809675b0be370c37d260ad19dae64a7d22e; My backend : JAX",MatchSource.ISSUE_COMMENT,tum-pbs,PhiFlow,3.1.0,https://github.com/tum-pbs/PhiFlow/issues/110#issuecomment-1441940306:189,error,error,189,,https://github.com/tum-pbs/PhiFlow/issues/110#issuecomment-1441940306,1,['error'],['error']
Availability,"Thank you for testing the latest version!; The error is in the line `buoyancy_force = smoke * (0, 0.5) >> velocity` where the scalar `smoke` field is converted to a vector field. In 3D, it needs 3 components, e.g. `smoke * (0, 0, 0.5)`.; I'll make the error message clearer. In Google Colab, the fixed version seems to freeze but it runs fine on my machine. Can you confirm this?",MatchSource.ISSUE_COMMENT,tum-pbs,PhiFlow,3.1.0,https://github.com/tum-pbs/PhiFlow/issues/37#issuecomment-874340175:47,error,error,47,,https://github.com/tum-pbs/PhiFlow/issues/37#issuecomment-874340175,2,['error'],['error']
Availability,"Thank you for your feedback!. 1. The `@` operator is being phased out in 2.3. You can already replace it by `arg1.at(arg2)`. I'll revisit the documentation of the geometry masks.; 2. Good idea, I've pushed this to `2.3-develop`. It will now also accept single Geometry or Obstacle values.; 3. Obstacles specifically are only used by the `fluid` module. Other modules use `Geometry`. Obstacles extend Geometry by a velocity vector and rotation speed which only makes sense in fluid-like settings. If you run into any other strange behavior or missing documentation, let me know!",MatchSource.ISSUE_COMMENT,tum-pbs,PhiFlow,3.1.0,https://github.com/tum-pbs/PhiFlow/issues/103#issuecomment-1411096142:172,mask,masks,172,,https://github.com/tum-pbs/PhiFlow/issues/103#issuecomment-1411096142,1,['mask'],['masks']
Availability,"code.html) in the PBDL book, i.e. build a NN that takes in ```x``` and ```t``` as inputs and returns ```u```. As a first step, I thought of getting a Phiflow only simulation running, then adding a NN later. To that end, I'm trying to get a Phiflow only simulation going with the following code:. ```; from phi.flow import *; import numpy as np; import matplotlib.pyplot as plt; import copy. def simulate(x, p, dt=.1):; return x + p * dt, p + field.laplace(x) * dt. #Initial Condition; sigma = 0.5; c = 1. #Domain Specification; x_length = 5.; dx = 0.1; nx = int(x_length / dx). #Time Specification; t_length = 200; dt = 0.1; nt = int(t_length / dt). #Initial conditions; initial_cond = np.zeros(nx); for x in range(nx):; initial_cond[x] = np.exp(-0.5*((x*dx - x_length/2)/sigma)**2) ; initial_cond[0] = 0; initial_cond[-1] = 0. initial_cond_phi = math.tensor(initial_cond, spatial('x') ) # convert to phiflow tensor. height = CenteredGrid(SoftGeometryMask(Sphere(x=int(nx/2), y=int(nx/2), radius=5)), extrapolation.PERIODIC, x=nx, y=nx); momentum = height * 0. x_hist = [initial_cond_phi]; p_hist = [momentum]; for i in range(5):; x, p = simulate(x_hist[-1], p_hist[-1], dt=.1); x_hist.append(x); p_hist.append(p); ; wave_hist = [wave.values.numpy('x') for wave in wave_hist]. fig, axs = plt.subplots(2, 2); axs[0, 0].plot(wave_hist[0]); axs[0, 1].plot(wave_hist[1]); axs[1, 0].plot(wave_hist[2]); axs[1, 1].plot(wave_hist[-1]). axs[0, 0].set_title(""Initial Condition""); axs[0, 1].set_title(""T = "" + str(int(nt/4)*dx)); axs[1, 0].set_title(""T = "" + str(3*int(nt/4)*dx)); axs[1, 1].set_title(""T = "" + str(t_length)). plt.tight_layout(); plt.show(); ```. However, I am getting the following error: `TypeError: 'NoneType' object cannot be interpreted as an integer`. I'm guessing I'm mixing something up when it comes to the initial conditions. Would you be able to help put me on the right path? Also, would you be able to explain how you transformed the second-order PDE to a first-order PDE?. Thanks.",MatchSource.ISSUE_COMMENT,tum-pbs,PhiFlow,3.1.0,https://github.com/tum-pbs/PhiFlow/issues/59#issuecomment-1127631065:3347,error,error,3347,,https://github.com/tum-pbs/PhiFlow/issues/59#issuecomment-1127631065,1,['error'],['error']
Deployability,".py](https://codecov.io/gh/tum-pbs/PhiFlow/pull/29/diff?src=pr&el=tree#diff-cGhpL2ZpZWxkL19faW5pdF9fLnB5) | `100.00% <ø> (ø)` | |; | [phi/math/backend/\_optim.py](https://codecov.io/gh/tum-pbs/PhiFlow/pull/29/diff?src=pr&el=tree#diff-cGhpL21hdGgvYmFja2VuZC9fb3B0aW0ucHk=) | `96.55% <ø> (ø)` | |; | [phi/physics/advect.py](https://codecov.io/gh/tum-pbs/PhiFlow/pull/29/diff?src=pr&el=tree#diff-cGhpL3BoeXNpY3MvYWR2ZWN0LnB5) | `98.48% <ø> (+80.57%)` | :arrow_up: |; | [phi/torch/\_\_init\_\_.py](https://codecov.io/gh/tum-pbs/PhiFlow/pull/29/diff?src=pr&el=tree#diff-cGhpL3RvcmNoL19faW5pdF9fLnB5) | `100.00% <ø> (ø)` | |; | [tests/commit/math/test\_\_track.py](https://codecov.io/gh/tum-pbs/PhiFlow/pull/29/diff?src=pr&el=tree#diff-dGVzdHMvY29tbWl0L21hdGgvdGVzdF9fdHJhY2sucHk=) | `96.15% <ø> (ø)` | |; | [tests/commit/physics/test\_legacy.py](https://codecov.io/gh/tum-pbs/PhiFlow/pull/29/diff?src=pr&el=tree#diff-dGVzdHMvY29tbWl0L3BoeXNpY3MvdGVzdF9sZWdhY3kucHk=) | `100.00% <ø> (ø)` | |; | [phi/physics/\_fluid\_legacy.py](https://codecov.io/gh/tum-pbs/PhiFlow/pull/29/diff?src=pr&el=tree#diff-cGhpL3BoeXNpY3MvX2ZsdWlkX2xlZ2FjeS5weQ==) | `80.26% <33.33%> (-14.82%)` | :arrow_down: |; | [phi/field/\_mask.py](https://codecov.io/gh/tum-pbs/PhiFlow/pull/29/diff?src=pr&el=tree#diff-cGhpL2ZpZWxkL19tYXNrLnB5) | `87.09% <50.00%> (-1.37%)` | :arrow_down: |; | ... and [133 more](https://codecov.io/gh/tum-pbs/PhiFlow/pull/29/diff?src=pr&el=tree-more) | |. ------. [Continue to review full report at Codecov](https://codecov.io/gh/tum-pbs/PhiFlow/pull/29?src=pr&el=continue).; > **Legend** - [Click here to learn more](https://docs.codecov.io/docs/codecov-delta); > `Δ = absolute <relative> (impact)`, `ø = not affected`, `? = missing data`; > Powered by [Codecov](https://codecov.io/gh/tum-pbs/PhiFlow/pull/29?src=pr&el=footer). Last update [6423fe0...f181f15](https://codecov.io/gh/tum-pbs/PhiFlow/pull/29?src=pr&el=lastupdated). Read the [comment docs](https://docs.codecov.io/docs/pull-request-comments).",MatchSource.ISSUE_COMMENT,tum-pbs,PhiFlow,3.1.0,https://github.com/tum-pbs/PhiFlow/pull/29#issuecomment-789888293:3182,update,update,3182,,https://github.com/tum-pbs/PhiFlow/pull/29#issuecomment-789888293,1,['update'],['update']
Deployability,"Hey, that's a great idea! We might integrate this with the `Mesh` class from Φ-Flow which allows for cells (polygons) with arbitrarily many points. Here is some example code to create a 2D triangle:. ```python; from phi.flow import *. points = [(0, 0), (1, 0), (0, 1)]; polygons = [(0, 1, 2)]; boundaries = {'outer': [(0, 1), (1, 2), (2, 0)]}; mesh = geom.mesh_from_numpy(points, polygons, boundaries); show(mesh); ```. Having a simple interface with shapely would be neat. What functions specifically would you need?",MatchSource.ISSUE_COMMENT,tum-pbs,PhiFlow,3.1.0,https://github.com/tum-pbs/PhiFlow/issues/174#issuecomment-2334255759:35,integrat,integrate,35,,https://github.com/tum-pbs/PhiFlow/issues/174#issuecomment-2334255759,1,['integrat'],['integrate']
