quality_attribute,keyword,matched_word,sentence,source,filename,author,repo,version,wiki,url
Availability,avail,available,"org/psi4 (binary available for Linux, Mac, Mac Silicon, Windows, and WSL Windows [![Binstar Badge](https://anaconda",MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=org/psi4%20%28binary%20available%20for%20Linux%2C%20Mac%2C%20Mac%20Silicon%2C%20Windows%2C%20and%20WSL%20Windows%20%5B%21%5BBinstar%20Badge%5D%28https%3A//anaconda
Availability,down,downloads,org/psi4/psi4/badges/downloads,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=org/psi4/psi4/badges/downloads
Availability,down,downloads,org/conda-forge/psi4/badges/downloads,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=org/conda-forge/psi4/badges/downloads
Availability,down,download-site,html#how-to-install-a-psi4-binary-with-the-psi4conda-installer-download-site),MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=html%23how-to-install-a-psi4-binary-with-the-psi4conda-installer-download-site%29
Deployability,release,release,| **Latest Release** | [![Last release tag](https://img,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=%7C%20%2A%2ALatest%20Release%2A%2A%20%7C%20%5B%21%5BLast%20release%20tag%5D%28https%3A//img
Deployability,release,release,io/github/release/psi4/psi4,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=io/github/release/psi4/psi4
Deployability,release,releases,com/psi4/psi4/releases)  [![Commits since release](https://img,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=com/psi4/psi4/releases%29%20%20%5B%21%5BCommits%20since%20release%5D%28https%3A//img
Deployability,release,releases,com/psi4/psi4/releases/tag/v1,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=com/psi4/psi4/releases/tag/v1
Deployability,install,installs,com/installs/latest) [![Conda](https://img,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=com/installs/latest%29%20%5B%21%5BConda%5D%28https%3A//img
Deployability,release,release,<!-- [![Last release date](https://img,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=%3C%21--%20%5B%21%5BLast%20release%20date%5D%28https%3A//img
Deployability,release,release-date,io/github/release-date/psi4/psi4,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=io/github/release-date/psi4/psi4
Deployability,release,releases,com/psi4/psi4/releases) -->,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=com/psi4/psi4/releases%29%20--%3E
Deployability,install,installer,org/psi4/psi4/badges/installer/conda,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=org/psi4/psi4/badges/installer/conda
Deployability,release,release,html (last release),MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=html%20%28last%20release%29
Deployability,install,install-a-,html#how-to-install-a-psi4-binary-with-the-psi4conda-installer-download-site),MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=html%23how-to-install-a-psi4-binary-with-the-psi4conda-installer-download-site%29
Deployability,release,releases,com/psi4/psi4/releases,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=com/psi4/psi4/releases
Deployability,release,releases,93) for Psi4 alpha releases,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=93%29%20for%20Psi4%20alpha%20releases
Energy Efficiency,green,green,io/badge/obtain-latest-green,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=io/badge/obtain-latest-green
Energy Efficiency,efficient,efficient,"designed for efficient, high-accuracy simulations of",MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=designed%20for%20efficient%2C%20high-accuracy%20simulations%20of
Integrability,message,messages,"com/messages""> <img src=""https://img",MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=com/messages%22%3E%20%3Cimg%20src%3D%22https%3A//img
Integrability,rout,routinely,We routinely perform computations with >2500 basis functions on multi-core machines,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=We%20routinely%20perform%20computations%20with%20%3E2500%20basis%20functions%20on%20multi-core%20machines
Modifiability,flexible,flexible,"of many C++ classes into Python via Pybind11, and a flexible Python driver, Psi4",MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=of%20many%20C%2B%2B%20classes%20into%20Python%20via%20Pybind11%2C%20and%20a%20flexible%20Python%20driver%2C%20Psi4
Performance,perform,perform,We routinely perform computations with >2500 basis functions on multi-core machines,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=We%20routinely%20perform%20computations%20with%20%3E2500%20basis%20functions%20on%20multi-core%20machines
Testability,log,logos-,com/psi4/psi4media/blob/master/logos-psi4/psi4square,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=com/psi4/psi4media/blob/master/logos-psi4/psi4square
Testability,log,logo,io/azure-devops/build/psi4/e80489d7-9619-4512-8e7b-255e355b3ab8/1?logo=azure%20devops)](https://dev,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=io/azure-devops/build/psi4/e80489d7-9619-4512-8e7b-255e355b3ab8/1%3Flogo%3Dazure%2520devops%29%5D%28https%3A//dev
Testability,log,logo,svg?logo=Codecov&logoColor=white)](https://codecov,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=svg%3Flogo%3DCodecov%26logoColor%3Dwhite%29%5D%28https%3A//codecov
Testability,log,logo,svg?logo=read%20the%20docs)](https://psicode,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=svg%3Flogo%3Dread%2520the%2520docs%29%5D%28https%3A//psicode
Testability,log,logo,svg?logo=Discourse&logoColor=white)](http://forum,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=svg%3Flogo%3DDiscourse%26logoColor%3Dwhite%29%5D%28http%3A//forum
Testability,log,logo,svg?logo=slack)](https://join,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=svg%3Flogo%3Dslack%29%5D%28https%3A//join
Testability,log,logo,svg?logo=azure%20devops)](https://dev,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=svg%3Flogo%3Dazure%2520devops%29%5D%28https%3A//dev
Testability,test,test,* **Coverage** Python and C++ source code lines hit by running most of the test suite,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=%2A%20%2A%2ACoverage%2A%2A%20Python%20and%20C%2B%2B%20source%20code%20lines%20hit%20by%20running%20most%20of%20the%20test%20suite
Testability,log,logo,svg?logo=Codecov&logoColor=white)](https://codecov,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=svg%3Flogo%3DCodecov%26logoColor%3Dwhite%29%5D%28https%3A//codecov
Testability,test,testsuite,org/psi4manual/master/testsuite,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=org/psi4manual/master/testsuite
Testability,test,testboard,<!--* **Build Dashboard** https://testboard,MatchSource.DOCS,README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/README.md#:~:text=%3C%21--%2A%20%2A%2ABuild%20Dashboard%2A%2A%20https%3A//testboard
Deployability,continuous,continuous,"The code will not be merged until this box is checked, the continuous",MatchSource.DOCS,.github/CONTRIBUTING.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/.github/CONTRIBUTING.md#:~:text=The%20code%20will%20not%20be%20merged%20until%20this%20box%20is%20checked%2C%20the%20continuous
Deployability,integrat,integration,"integration (Travis for Linux and Distelli for Mac) returns checkmarks,",MatchSource.DOCS,.github/CONTRIBUTING.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/.github/CONTRIBUTING.md#:~:text=integration%20%28Travis%20for%20Linux%20and%20Distelli%20for%20Mac%29%20returns%20checkmarks%2C
Integrability,integrat,integration,"integration (Travis for Linux and Distelli for Mac) returns checkmarks,",MatchSource.DOCS,.github/CONTRIBUTING.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/.github/CONTRIBUTING.md#:~:text=integration%20%28Travis%20for%20Linux%20and%20Distelli%20for%20Mac%29%20returns%20checkmarks%2C
Security,validat,validated,Each commit added to the PR will be validated for,MatchSource.DOCS,.github/CONTRIBUTING.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/.github/CONTRIBUTING.md#:~:text=Each%20commit%20added%20to%20the%20PR%20will%20be%20validated%20for
Testability,test,test,"mergability, compilation and test suite compliance; the results of these tests",MatchSource.DOCS,.github/CONTRIBUTING.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/.github/CONTRIBUTING.md#:~:text=mergability%2C%20compilation%20and%20test%20suite%20compliance%3B%20the%20results%20of%20these%20tests
Testability,test,test,"* If you're providing a new feature, you must add test cases and documentation",MatchSource.DOCS,.github/CONTRIBUTING.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/.github/CONTRIBUTING.md#:~:text=%2A%20If%20you%27re%20providing%20a%20new%20feature%2C%20you%20must%20add%20test%20cases%20and%20documentation
Testability,test,test,[test suite](http://psicode,MatchSource.DOCS,.github/CONTRIBUTING.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/.github/CONTRIBUTING.md#:~:text=%5Btest%20suite%5D%28http%3A//psicode
Usability,learn,learn,**Working on your first Pull Request?** You can learn how from,MatchSource.DOCS,.github/CONTRIBUTING.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/.github/CONTRIBUTING.md#:~:text=%2A%2AWorking%20on%20your%20first%20Pull%20Request%3F%2A%2A%20You%20can%20learn%20how%20from
Usability,guid,guide,* [A guide to contributing to software packages](http://www,MatchSource.DOCS,.github/CONTRIBUTING.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/.github/CONTRIBUTING.md#:~:text=%2A%20%5BA%20guide%20to%20contributing%20to%20software%20packages%5D%28http%3A//www
Usability,guid,guide,contribution-guide,MatchSource.DOCS,.github/CONTRIBUTING.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/.github/CONTRIBUTING.md#:~:text=contribution-guide
Usability,learn,learn,com/learn/github-pull-request-tutorial/#Time-to-Submit-Your-First-PR),MatchSource.DOCS,.github/CONTRIBUTING.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/.github/CONTRIBUTING.md#:~:text=com/learn/github-pull-request-tutorial/%23Time-to-Submit-Your-First-PR%29
Deployability,release,release,This is destined for the release notes,MatchSource.DOCS,.github/PULL_REQUEST_TEMPLATE.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/.github/PULL_REQUEST_TEMPLATE.md#:~:text=This%20is%20destined%20for%20the%20release%20notes
Testability,test,tests,- [ ] [All or relevant fraction of full tests run](http://psicode,MatchSource.DOCS,.github/PULL_REQUEST_TEMPLATE.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/.github/PULL_REQUEST_TEMPLATE.md#:~:text=-%20%5B%20%5D%20%5BAll%20or%20relevant%20fraction%20of%20full%20tests%20run%5D%28http%3A//psicode
Testability,test,tests,html#how-to-run-a-subset-of-tests),MatchSource.DOCS,.github/PULL_REQUEST_TEMPLATE.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/.github/PULL_REQUEST_TEMPLATE.md#:~:text=html%23how-to-run-a-subset-of-tests%29
Availability,reliab,reliability,"guarantee of reliability, accuracy, or suitability for any",MatchSource.DOCS,.github/SUPPORT.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/.github/SUPPORT.md#:~:text=guarantee%20of%20reliability%2C%20accuracy%2C%20or%20suitability%20for%20any
Availability,error,error,"* I got this error, why? -- [ask the forum](http://forum",MatchSource.DOCS,.github/SUPPORT.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/.github/SUPPORT.md#:~:text=%2A%20I%20got%20this%20error%2C%20why%3F%20--%20%5Bask%20the%20forum%5D%28http%3A//forum
Availability,error,error,* I got this error and I'm sure it's a bug -- [file a GitHub issue](https://github,MatchSource.DOCS,.github/SUPPORT.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/.github/SUPPORT.md#:~:text=%2A%20I%20got%20this%20error%20and%20I%27m%20sure%20it%27s%20a%20bug%20--%20%5Bfile%20a%20GitHub%20issue%5D%28https%3A//github
Safety,avoid,avoid,"This should avoid the ""Public School 14"" issue, while not looking",MatchSource.DOCS,media/README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/media/README.md#:~:text=This%20should%20avoid%20the%20%22Public%20School%2014%22%20issue%2C%20while%20not%20looking
Testability,log,logos,* Majority of logos detached from main Psi4 repo into https://github,MatchSource.DOCS,media/README.md,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/tree/v1.9.1/media/README.md#:~:text=%2A%20Majority%20of%20logos%20detached%20from%20main%20Psi4%20repo%20into%20https%3A//github
