quality_attribute,keyword,matched_word,sentence,source,author,repo,version,wiki,url
Usability,guid,guidelines,Added some rough guidelines to describe the new PR/commit workflow.,MatchSource.ISSUE,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/pull/254
Usability,usab,usable,make DKH usable again,MatchSource.ISSUE,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/pull/572
Usability,clear,clear,appease numpy and clear thermo,MatchSource.ISSUE,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/pull/985
Usability,clear,clear,clear filesystem from FISAPT,MatchSource.ISSUE,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/pull/1098
Usability,clear,clears,"Fixes #1309, clears DCT files correctly.",MatchSource.ISSUE,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/pull/1310
Usability,simpl,simple,Add simple print statements for scratch directory,MatchSource.ISSUE,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/pull/1731
Usability,clear,clear,"bump ambit, clear addons from azure",MatchSource.ISSUE,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/pull/2546
Usability,clear,clears,`AtomicComputer` clears options state,MatchSource.ISSUE,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/issues/2733
Usability,simpl,simple-,allow and prefer simple-dftd3 and mctc-gcp,MatchSource.ISSUE,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/pull/2791
Usability,undo,undocumented,Do not use or suggest the undocumented -H option for CMake,MatchSource.ISSUE,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/pull/2797
Usability,clear,clear,Actually clear vectors in Molecule,MatchSource.ISSUE,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/pull/2864
Deployability,update,update,update the review guidance,MatchSource.ISSUE,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/pull/2917
Usability,guid,guidance,update the review guidance,MatchSource.ISSUE,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/pull/2917
Availability,error,error,Getting SIGSEGV error on cc-pvdz calculation of simple ethanol molecule,MatchSource.ISSUE,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/issues/2930
Usability,simpl,simple,Getting SIGSEGV error on cc-pvdz calculation of simple ethanol molecule,MatchSource.ISSUE,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/issues/2930
Usability,simpl,simplifying,Amend #3043 by allowing a longer hostname and simplifying the code.,MatchSource.ISSUE,psi4,psi4,v1.9.1,http://psicode.org,https://github.com/psi4/psi4/pull/3044
