quality_attribute,keyword,matched_word,sentence,source,filename,author,repo,version,wiki,url
Availability,avail,available,"0, available at https://www",MatchSource.DOCS,CODE_OF_CONDUCT.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/CODE_OF_CONDUCT.md#:~:text=0%2C%20available%20at%20https%3A//www
Deployability,patch,patches,"As contributors and maintainers of this project, and in the interest of fostering an open and welcoming community, we pledge to respect all people who contribute through reporting issues, posting feature requests, updating documentation, submitting pull requests or patches, and other activities",MatchSource.DOCS,CODE_OF_CONDUCT.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/CODE_OF_CONDUCT.md#:~:text=As%20contributors%20and%20maintainers%20of%20this%20project%2C%20and%20in%20the%20interest%20of%20fostering%20an%20open%20and%20welcoming%20community%2C%20we%20pledge%20to%20respect%20all%20people%20who%20contribute%20through%20reporting%20issues%2C%20posting%20feature%20requests%2C%20updating%20documentation%2C%20submitting%20pull%20requests%20or%20patches%2C%20and%20other%20activities
Energy Efficiency,adapt,adapted,"This Code of Conduct is adapted from the Contributor Covenant , version 1",MatchSource.DOCS,CODE_OF_CONDUCT.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/CODE_OF_CONDUCT.md#:~:text=This%20Code%20of%20Conduct%20is%20adapted%20from%20the%20Contributor%20Covenant%20%2C%20version%201
Modifiability,adapt,adapted,"This Code of Conduct is adapted from the Contributor Covenant , version 1",MatchSource.DOCS,CODE_OF_CONDUCT.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/CODE_OF_CONDUCT.md#:~:text=This%20Code%20of%20Conduct%20is%20adapted%20from%20the%20Contributor%20Covenant%20%2C%20version%201
Security,attack,attacks,* Personal attacks,MatchSource.DOCS,CODE_OF_CONDUCT.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/CODE_OF_CONDUCT.md#:~:text=%2A%20Personal%20attacks
Availability,down,downloads,io/pypi/dm/qutip?label=downloads%20%7C%20pip&logo=PyPI)](https://pypi,MatchSource.DOCS,README.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/README.md#:~:text=io/pypi/dm/qutip%3Flabel%3Ddownloads%2520%257C%2520pip%26logo%3DPyPI%29%5D%28https%3A//pypi
Availability,down,downloads,io/conda/dn/conda-forge/qutip?label=downloads%20%7C%20conda&logo=Conda-Forge)](https://anaconda,MatchSource.DOCS,README.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/README.md#:~:text=io/conda/dn/conda-forge/qutip%3Flabel%3Ddownloads%2520%257C%2520conda%26logo%3DConda-Forge%29%5D%28https%3A//anaconda
Availability,avail,available,"QuTiP is freely available for use and/or modification, and it can be used on all Unix-based platforms and on Windows",MatchSource.DOCS,README.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/README.md#:~:text=QuTiP%20is%20freely%20available%20for%20use%20and/or%20modification%2C%20and%20it%20can%20be%20used%20on%20all%20Unix-based%20platforms%20and%20on%20Windows
Availability,avail,available,QuTiP is available on both `pip` and `conda` (the latter in the `conda-forge` channel),MatchSource.DOCS,README.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/README.md#:~:text=QuTiP%20is%20available%20on%20both%20%60pip%60%20and%20%60conda%60%20%28the%20latter%20in%20the%20%60conda-forge%60%20channel%29
Availability,avail,available,All back releases are also available for download in the [releases section of this repository](https://github,MatchSource.DOCS,README.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/README.md#:~:text=All%20back%20releases%20are%20also%20available%20for%20download%20in%20the%20%5Breleases%20section%20of%20this%20repository%5D%28https%3A//github
Availability,avail,available,0 is available on PyPI and can be installed using pip:,MatchSource.DOCS,README.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/README.md#:~:text=0%20is%20available%20on%20PyPI%20and%20can%20be%20installed%20using%20pip%3A
Availability,avail,available,io/en/master/) branch is available for reading on Read The Docs,MatchSource.DOCS,README.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/README.md#:~:text=io/en/master/%29%20branch%20is%20available%20for%20reading%20on%20Read%20The%20Docs
Availability,avail,available,The latest development documentation is available in this repository in the `doc` folder,MatchSource.DOCS,README.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/README.md#:~:text=The%20latest%20development%20documentation%20is%20available%20in%20this%20repository%20in%20the%20%60doc%60%20folder
Availability,avail,available,A [selection of demonstration notebooks is available](https://qutip,MatchSource.DOCS,README.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/README.md#:~:text=A%20%5Bselection%20of%20demonstration%20notebooks%20is%20available%5D%28https%3A//qutip
Availability,avail,available,"If you use QuTiP in your research, please cite the original QuTiP papers that are available [here](https://dml",MatchSource.DOCS,README.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/README.md#:~:text=If%20you%20use%20QuTiP%20in%20your%20research%2C%20please%20cite%20the%20original%20QuTiP%20papers%20that%20are%20available%20%5Bhere%5D%28https%3A//dml
Deployability,install,install,You can install QuTiP from `pip` by doing,MatchSource.DOCS,README.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/README.md#:~:text=You%20can%20install%20QuTiP%20from%20%60pip%60%20by%20doing
Deployability,install,install,pip install qutip,MatchSource.DOCS,README.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/README.md#:~:text=pip%20install%20qutip
Deployability,install,installation,to get the minimal installation,MatchSource.DOCS,README.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/README.md#:~:text=to%20get%20the%20minimal%20installation
Deployability,install,install,You can instead use the target `qutip[full]` to install QuTiP with all its optional dependencies,MatchSource.DOCS,README.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/README.md#:~:text=You%20can%20instead%20use%20the%20target%20%60qutip%5Bfull%5D%60%20to%20install%20QuTiP%20with%20all%20its%20optional%20dependencies
Deployability,install,installation,"For more details, including instructions on how to build from source, see [the detailed installation guide in the documentation](https://qutip",MatchSource.DOCS,README.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/README.md#:~:text=For%20more%20details%2C%20including%20instructions%20on%20how%20to%20build%20from%20source%2C%20see%20%5Bthe%20detailed%20installation%20guide%20in%20the%20documentation%5D%28https%3A//qutip
Deployability,install,installation,io/en/stable/installation,MatchSource.DOCS,README.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/README.md#:~:text=io/en/stable/installation
Deployability,release,releases,All back releases are also available for download in the [releases section of this repository](https://github,MatchSource.DOCS,README.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/README.md#:~:text=All%20back%20releases%20are%20also%20available%20for%20download%20in%20the%20%5Breleases%20section%20of%20this%20repository%5D%28https%3A//github
Deployability,release,releases,"com/qutip/qutip/releases), where you can also find per-version changelogs",MatchSource.DOCS,README.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/README.md#:~:text=com/qutip/qutip/releases%29%2C%20where%20you%20can%20also%20find%20per-version%20changelogs
Deployability,release,release,"For the most complete set of release notes and changelogs for historic versions, see the [changelog](https://qutip",MatchSource.DOCS,README.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/README.md#:~:text=For%20the%20most%20complete%20set%20of%20release%20notes%20and%20changelogs%20for%20historic%20versions%2C%20see%20the%20%5Bchangelog%5D%28https%3A//qutip
Deployability,release,release,The pre-release of QuTiP 5,MatchSource.DOCS,README.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/README.md#:~:text=The%20pre-release%20of%20QuTiP%205
Deployability,install,installed,0 is available on PyPI and can be installed using pip:,MatchSource.DOCS,README.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/README.md#:~:text=0%20is%20available%20on%20PyPI%20and%20can%20be%20installed%20using%20pip%3A
Deployability,install,install,pip install --pre qutip,MatchSource.DOCS,README.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/README.md#:~:text=pip%20install%20--pre%20qutip
Deployability,release,release,The documentation for the latest [stable release](https://qutip,MatchSource.DOCS,README.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/README.md#:~:text=The%20documentation%20for%20the%20latest%20%5Bstable%20release%5D%28https%3A//qutip
Deployability,release,releases,"The documentation for official releases, in HTML and PDF formats, can be found in the [documentation section of the QuTiP website](https://qutip",MatchSource.DOCS,README.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/README.md#:~:text=The%20documentation%20for%20official%20releases%2C%20in%20HTML%20and%20PDF%20formats%2C%20can%20be%20found%20in%20the%20%5Bdocumentation%20section%20of%20the%20QuTiP%20website%5D%28https%3A//qutip
Energy Efficiency,efficient,efficient,"QuTiP aims to provide user-friendly and efficient numerical simulations of a wide variety of quantum mechanical problems, including those with Hamiltonians and/or collapse operators with arbitrary time-dependence, commonly found in a wide range of physics applications",MatchSource.DOCS,README.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/README.md#:~:text=QuTiP%20aims%20to%20provide%20user-friendly%20and%20efficient%20numerical%20simulations%20of%20a%20wide%20variety%20of%20quantum%20mechanical%20problems%2C%20including%20those%20with%20Hamiltonians%20and/or%20collapse%20operators%20with%20arbitrary%20time-dependence%2C%20commonly%20found%20in%20a%20wide%20range%20of%20physics%20applications
Energy Efficiency,power,powered,io/badge/powered%20by-NumFOCUS-orange,MatchSource.DOCS,README.md,qutip,qutip,v5.0.4,https://qutip.org,https://github.com/qutip/qutip/tree/v5.0.4/README.md#:~:text=io/badge/powered%2520by-NumFOCUS-orange
