quality_attribute,keyword,matched_word,sentence,source,author,repo,version,url
Usability,clear,clear,"It is not better to leave the space allocated in memory to be filled back by other points, like clear() on a std::vector ?",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/39#issuecomment-64431855
Usability,feedback,feedback,Doing the PR now so @pcanal can start to provide advice / feedback.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/59#issuecomment-78283407
Usability,simpl,simply,"adjustment (simply copy over the two files, or put symlinks); this will",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/73#issuecomment-137538771
Usability,simpl,simply,simply a user doing 'rm -rf' for only half the installation.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/73#issuecomment-137538771
Usability,simpl,simplify,"B) of course, users shouldn't install anything to /usr[/local] without using package management, but  it will simplify packaging too by not having to install an ugly script somewhere that sets PYTHONPATH",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/73#issuecomment-138831372
Usability,simpl,simpler,"As for the downsides, I think this solution is just simpler (not mentioning cleaner), maybe this will get you less bug reports.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/73#issuecomment-138831372
Usability,simpl,simplify,> but  it will simplify packaging too by not having to install an ugly,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/73#issuecomment-139309263
Usability,simpl,simpler,"Additionally, the removal scripts can be simpler, as the package manager",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/73#issuecomment-139309263
Usability,simpl,simpler,"> As for the downsides, I think this solution is just simpler (not",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/73#issuecomment-139309263
Usability,guid,guide,users guide in markdown integrate to doxygen,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/74#issuecomment-127150589
Usability,guid,guide,I have a users guide in markdown in $ROOTSYS/bindings/r/doc/users-guide and I can see that in the last commits you have the users guides in $ROOTSYS/documentation/users-guide,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/74#issuecomment-136081750
Usability,guid,guide,I have a users guide in markdown in $ROOTSYS/bindings/r/doc/users-guide and I can see that in the last commits you have the users guides in $ROOTSYS/documentation/users-guide,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/74#issuecomment-136081750
Usability,guid,guides,I have a users guide in markdown in $ROOTSYS/bindings/r/doc/users-guide and I can see that in the last commits you have the users guides in $ROOTSYS/documentation/users-guide,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/74#issuecomment-136081750
Usability,guid,guide,I have a users guide in markdown in $ROOTSYS/bindings/r/doc/users-guide and I can see that in the last commits you have the users guides in $ROOTSYS/documentation/users-guide,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/74#issuecomment-136081750
Usability,guid,guide,must I move my users guide there?,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/74#issuecomment-136081750
Usability,simpl,simply,"For decompression, it simply iterates all entries in the compressed file.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/81#issuecomment-142029158
Usability,clear,clear,"@pseyfert - to be clear though, you're talking about a different algorithm, right?",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/81#issuecomment-170018187
Usability,simpl,simply,To do that - simply checkout roottest into the `root` source directory.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/84#issuecomment-174390878
Usability,simpl,simply,My current test simply follows the sample code in https://sft.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/84#issuecomment-174810100
Usability,clear,clear,The first one is more clear to me but I am not sure how it will impact the windows machine.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/97#issuecomment-170733479
Usability,simpl,simple,"It would be nice to test the performance in a complex fix which takes some time and uses heavily the cache,  The tutorial are maybe too simple and the fitting is too fast.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/116#issuecomment-293337111
Usability,simpl,simplify,If you can maybe simplify your workspace and make a standalone running example would be great.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/116#issuecomment-293337111
Usability,simpl,simplicity,where I used the master for simplicity.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/123#issuecomment-285393802
Usability,usab,usability,usability is not really a concern here.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/130#issuecomment-170829394
Usability,simpl,simply,Now I just simply use type casting gSystem to TUnixSystem to get rid of defining DispatchTimers() in TSystem.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/134#issuecomment-195488572
Usability,feedback,feedback,Enabling clang-format feedback.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/137#issuecomment-289756288
Usability,learn,learning,I still learning to to deal with PR of the mirror to be applied to the master.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/141#issuecomment-227401007
Usability,guid,guide,@vgvassilev - is there a short guide on writing gtests within ROOT?,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/146#issuecomment-312723725
Usability,simpl,simpler,It is much simpler than the `TFilePrefetch` mechanism as the buffering is only done on demand.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/146#issuecomment-327365789
Usability,simpl,simply,One other possibility would be to simply add a comment saying that fResolution is not used right now and  could be used/implemented later.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/151#issuecomment-228779594
Usability,simpl,simply,Was it simply reading & rewriting the file?,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/194#issuecomment-232403882
Usability,pause,pauses,"The effect on cmsRun timing was definitely exaggerated by having 8 threads, as the occasional long pauses from LZMA sometimes blocked the other threads too (the job time speedups I quoted were wall clock, not cpu).",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/194#issuecomment-232409319
Usability,clear,clear,"xx clear description of how this class should be used, give examples",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/222#issuecomment-242022674
Usability,simpl,simpleanalysis,- provide example for tutorials/tree/simpleanalysis.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/222#issuecomment-242022674
Usability,clear,clear,One should rather make very clear in the documentation of the switches that the priority is given to the config file and perhaps print in case both a config and other parameters are present a warning about the non-config parameters being ignored.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/236#issuecomment-245232939
Usability,guid,guidelines-submitting-bug,h/guidelines-submitting-bug,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/249#issuecomment-248249682
Usability,simpl,simply,make` (simply a py2-only print statement buried in the code).,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/280#issuecomment-253523265
Usability,simpl,simply,This pollutes probably the cmake output if the error message of python is not simply sth like 'no module found with this name' or the function is too often called on not available modules.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/280#issuecomment-253640317
Usability,simpl,simply,I simply closed it by hand.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/280#issuecomment-253759853
Usability,simpl,simply,I simply closed it by hand.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/280#issuecomment-253760306
Usability,simpl,simply,"And the other cases, where you can simply remove the cast, are obvioulsly correct as well.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/327#issuecomment-280571695
Usability,feedback,feedback,At least give feedback.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/327#issuecomment-280571695
Usability,clear,clear,I now merged this PR and the three patches you proposed on the root forum: thanks a lot - your and Paul's code represents a clear added value for ROOT!,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/327#issuecomment-280628922
Usability,clear,clear,The error is quite clear,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/366#issuecomment-282562121
Usability,feedback,feedback,Ask clang-format for feedback.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/367#issuecomment-290126485
Usability,feedback,feedback,"thanks for your feedback, I hope that I managed to make the change and add it to the PR correctly.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/369#issuecomment-282802542
Usability,guid,guide,We could refer to them in the ref guide of THStack and TMultiGraph,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/371#issuecomment-282737620
Usability,guid,guide,"As far as I know (and are able to use grep), there's not yet a pandoc integration for the TMVA User's guide such as done for the other docs.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/391#issuecomment-284779477
Usability,guid,guides-and-manuals,h/root-user-guides-and-manuals .,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/391#issuecomment-284792803
Usability,clear,clear,It is not clear to me why the interpreter does not find methods like `TDataFrameImpl::Book`.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/423#issuecomment-286704453
Usability,simpl,simply,"Using this pattern, we can easily vectorize the rest of the Math package by simply turning all qualified ids of vectorizable functions to unqualified (eg.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/445#issuecomment-287654476
Usability,clear,clear,"One point is that the code flow will be more clear, in my mind, without any preprocessor branching.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/450#issuecomment-287901267
Usability,clear,clear,"@martinmine, it is not clear why that last is green, it failed.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/458#issuecomment-288747669
Usability,clear,clear,@vgvassilev had to clear the build queue as something screwed up and made the PR by @xvallspl get built 8 times,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/470#issuecomment-290209174
Usability,simpl,simply,On some system /tmp is small and /var/tmp should be used (or maybe simply use what TMPDIR says).,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/491#issuecomment-293284209
Usability,simpl,simplicity,"The functionality of the minimizer is not changed, the improvements are in simplicity and readability of the code.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/494#issuecomment-293529688
Usability,feedback,feedback,"Before proceeding with anything such as formatting, more doxygen documentation and the tutorial macro I would wait for @lmoneta and @couet to give you feedback.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/515#issuecomment-295371138
Usability,simpl,simply,Are you sure it is not simply that our clang version is too old?,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/522#issuecomment-298981827
Usability,simpl,simply,@davidlt Could you update to apply the clang-format recommendation (here it seems simply to use 3 characters for indentation rather than 2).,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/523#issuecomment-296787374
Usability,clear,clear,"So unless it is clear that replacing THashTable with an equivalent stl collection is much more performant, there is no need to waste time changing the code.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/533#issuecomment-299450733
Usability,clear,clear,(see for example the result of git diff that makes it very clear).,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/553#issuecomment-300005435
Usability,learn,learned,"Thanks for the education, I just wrote down what I learned.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/564#issuecomment-300600704
Usability,feedback,feedback,It implies a lot of changes and I thought it better if I could receive feedback the earliest possible.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/567#issuecomment-301234996
Usability,feedback,feedback,"Ok, I will wait for your feedback, but the difference between the versions is that one relies on the variable `done` to break out of the outer loop, while the changed version breaks out directly.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/583#issuecomment-302389835
Usability,learn,learning,learning,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/584#issuecomment-302451433
Usability,feedback,feedback,"Thanks a lot for your feedback @pcanal, I have fixed up the code convention mistakes in https://github.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/586#issuecomment-303357716
Usability,clear,clear,"It is not clear to me what would be the benefit, though.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/589#issuecomment-305095243
Usability,clear,clear,"It is not clear to me what would be the benefit, though.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/589#issuecomment-305206910
Usability,simpl,simple,Here's a simple failure:,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/589#issuecomment-307291410
Usability,simpl,simply,"Unfortunately, the error message says simply the error message is in a different log file.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/590#issuecomment-304902488
Usability,simpl,simple,"Besides, after further development, I found the need also make the lock re-entrant from Read to Write lock making it relatively heavy so I am planning to actually separate the simple RW lock from the re-entrant one.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/596#issuecomment-308034317
Usability,simpl,simpler,I wonder if this is still simpler even though the potential of git is not fully exploited.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/599#issuecomment-308217986
Usability,simpl,simple,"the fix is a simple *git checkout*, isn't it?",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/599#issuecomment-308331120
Usability,clear,clear,"To be clear this was failing from the original LLVM update, not because of",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/628#issuecomment-307480582
Usability,simpl,simple-capture,) is a local lambda expression; any other lambda-expression shall not have a capture-default or simple-capture in its lambda-introducer.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/631#issuecomment-307748102
Usability,simpl,simple-capture,"ambda]/11: ""An entity that is designated by a simple-capture.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/631#issuecomment-307748102
Usability,clear,clear,"This PR is far from being finished, but these latest changes should make following development easier and the addition of new vectorized implementations more clear.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/655#issuecomment-325232794
Usability,simpl,simply,Let's see whether all implementations provide it as prescribed and simply remove it from ROOT (in a new PR).,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/665#issuecomment-309975411
Usability,feedback,feedback,Based on the feedback these are the steps I took.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/693#issuecomment-315903251
Usability,feedback,feedback,"Alright, thanks for all the feedback!",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/709#issuecomment-313038913
Usability,feedback,feedback,"I think that it will be better to break this PR into smaller pieces, so I will close this one, rework the commits according to the feedback received, and push new PRs soon.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/709#issuecomment-313038913
Usability,clear,clearer,The real issue was fixed by introducing clearer separation of the way we compile some parts in core.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/722#issuecomment-312380227
Usability,clear,clear,One of the issues is that it is not clear to me is what exactly is your use case and this is why there are misunderstandings.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/744#issuecomment-313786623
Usability,clear,clear,> One of the issues is that it is not clear to me is what exactly is your use case and this is why there are misunderstandings.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/744#issuecomment-313799028
Usability,clear,clear,>     One of the issues is that it is not clear to me is what exactly is,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/744#issuecomment-313802370
Usability,intuit,intuitive,@marsupial using `SO_LoadedLast` (which is somewhat counter-intuitive to our use case) seems to work.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/744#issuecomment-313809522
Usability,feedback,feedback,I've greenlit D33529 but give Lang couple of hours/days to give feedback.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/744#issuecomment-313809522
Usability,intuit,intuitive,> using SO_LoadedLast (which is somewhat counter-intuitive to our use case) seems to work.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/744#issuecomment-313811536
Usability,pause,pause,I understand that but do my examples or the fact the old behavior completely breaks down on Windows give you no pause?,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/744#issuecomment-313811536
Usability,clear,clear,@moneta I would keep it for the time being (it is not clear what has been taken and what not.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/745#issuecomment-458609974
Usability,clear,clearly,"These are not hugely visible in real runtime, because we are limited by I/O to the disk, essentially, but it would be clearly visible if I/O ceases to be the main bottleneck.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/747#issuecomment-313710392
Usability,clear,clearing,"xx:527:45: warning: ‘void* memset(void*, int, size_t)’ clearing an object of non-trivial type ‘class XrdSecEntity’; use assignment or value-initialization instead [-Wclass-memaccess]",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/774#issuecomment-410732358
Usability,clear,clearing,"xx:527:45: warning: ‘void* memset(void*, int, size_t)’ clearing an object of non-trivial type ‘class XrdSecEntity’; use assignment or value-initialization instead [-Wclass-memaccess]",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/774#issuecomment-411101883
Usability,clear,clearing,"xx:527:45: warning: ‘void* memset(void*, int, size_t)’ clearing an object of non-trivial type ‘class XrdSecEntity’; use assignment or value-initialization instead [-Wclass-memaccess]",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/774#issuecomment-411129604
Usability,clear,clearing,"xx:527:45: warning: ‘void* memset(void*, int, size_t)’ clearing an object of non-trivial type ‘class XrdSecEntity’; use assignment or value-initialization instead [-Wclass-memaccess]",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/774#issuecomment-411900558
Usability,feedback,feedback,@amadio Thank you for the feedback.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/778#issuecomment-316009181
Usability,undo,undoing,I now (hopefully) removed all of the rebasing artefacts by undoing and redoing the cherry-picking.,MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/792#issuecomment-316703550
Usability,clear,cleared,"@amadio afaik, the build dirs for PRs are cleared before each build, or is something else broken?",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/793#issuecomment-319057815
Usability,clear,clear,"If you have analyzed each of those lines and deemed that indeed it is not semantically possible to cleanups those things at the end of the process, then please replace the (unactivated) deletion code with a clear explanation of why it is impossible to delete (and saying 'it is hard' or 'broken beyond repair' is not quite enough of an explanation :) :) ).",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/794#issuecomment-317278853
Usability,guid,guide,"So unless, somebody actually investigate each of those lines, please leave them as a guide of what still needs to be investigated.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/794#issuecomment-317278853
Usability,clear,clear,"If you have analyzed each of those lines and deemed that indeed it is not semantically possible to cleanups those things at the end of the process, then please replace the (unactivated) deletion code with a clear explanation of why it is impossible to delete (and saying 'it is hard' or 'broken beyond repair' is not quite enough of an explanation :) :) ).",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/794#issuecomment-439184725
Usability,guid,guide,"So unless, somebody actually investigate each of those lines, please leave them as a guide of what still needs to be investigated.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/794#issuecomment-439184725
Usability,undo,undo,"I have to update the PR, so: undo ping @ Philippe :)",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/807#issuecomment-319284833
Usability,simpl,simple,"Since the PR is done and #833 and #828 are reviewed and my patch is very simple, I'd go for this ""summary PR"" and close the afore mentioned ones.",MatchSource.ISSUE_COMMENT,root-project,root,v6-32-06,https://github.com/root-project/root/pull/835#issuecomment-320438735
