quality_attribute,keyword,matched_word,sentence,source,filename,author,repo,version,wiki,url
Availability,down,download,com/stardist/stardist/releases/download/0,MatchSource.DOCS,README.md,stardist,stardist,0.9.1,,https://github.com/stardist/stardist/tree/0.9.1/README.md#:~:text=com/stardist/stardist/releases/download/0
Availability,avail,available,# prints a list of available models,MatchSource.DOCS,README.md,stardist,stardist,0.9.1,,https://github.com/stardist/stardist/tree/0.9.1/README.md#:~:text=%23%20prints%20a%20list%20of%20available%20models
Availability,mask,masks,The script will create a `ground_truth` folder within your QuPath project that includes both the `images` and `masks` subfolder that then can directly be used with *StarDist*,MatchSource.DOCS,README.md,stardist,stardist,0.9.1,,https://github.com/stardist/stardist/tree/0.9.1/README.md#:~:text=The%20script%20will%20create%20a%20%60ground_truth%60%20folder%20within%20your%20QuPath%20project%20that%20includes%20both%20the%20%60images%60%20and%20%60masks%60%20subfolder%20that%20then%20can%20directly%20be%20used%20with%20%2AStarDist%2A
Availability,mask,masks,matching` submodule that provides functions to compute common instance segmentation metrics between ground-truth label masks and predictions (not necessarily from StarDist),MatchSource.DOCS,README.md,stardist,stardist,0.9.1,,https://github.com/stardist/stardist/tree/0.9.1/README.md#:~:text=matching%60%20submodule%20that%20provides%20functions%20to%20compute%20common%20instance%20segmentation%20metrics%20between%20ground-truth%20label%20masks%20and%20predictions%20%28not%20necessarily%20from%20StarDist%29
Availability,avail,available,Currently available metrics are,MatchSource.DOCS,README.md,stardist,stardist,0.9.1,,https://github.com/stardist/stardist/tree/0.9.1/README.md#:~:text=Currently%20available%20metrics%20are
Availability,avail,available,"If available, the C++ code will make use of [OpenMP](https://en",MatchSource.DOCS,README.md,stardist,stardist,0.9.1,,https://github.com/stardist/stardist/tree/0.9.1/README.md#:~:text=If%20available%2C%20the%20C%2B%2B%20code%20will%20make%20use%20of%20%5BOpenMP%5D%28https%3A//en
Availability,error,errors,"If you use `conda` on macOS and after `import stardist` see errors similar to `Symbol not found: _GOMP_loop_nonmonotonic_dynamic_next`, please see [this issue](https://github",MatchSource.DOCS,README.md,stardist,stardist,0.9.1,,https://github.com/stardist/stardist/tree/0.9.1/README.md#:~:text=If%20you%20use%20%60conda%60%20on%20macOS%20and%20after%20%60import%20stardist%60%20see%20errors%20similar%20to%20%60Symbol%20not%20found%3A%20_GOMP_loop_nonmonotonic_dynamic_next%60%2C%20please%20see%20%5Bthis%20issue%5D%28https%3A//github
Availability,error,error,"` error on `import stardist`, you may try to install it like so:",MatchSource.DOCS,README.md,stardist,stardist,0.9.1,,https://github.com/stardist/stardist/tree/0.9.1/README.md#:~:text=%60%20error%20on%20%60import%20stardist%60%2C%20you%20may%20try%20to%20install%20it%20like%20so%3A
Availability,down,downloads,com/downloads/#build-tools-for-visual-studio-2019) (or newer) from Microsoft to compile extensions for Python 3,MatchSource.DOCS,README.md,stardist,stardist,0.9.1,,https://github.com/stardist/stardist/tree/0.9.1/README.md#:~:text=com/downloads/%23build-tools-for-visual-studio-2019%29%20%28or%20newer%29%20from%20Microsoft%20to%20compile%20extensions%20for%20Python%203
Deployability,install,install,Please first [install TensorFlow](https://www,MatchSource.DOCS,README.md,stardist,stardist,0.9.1,,https://github.com/stardist/stardist/tree/0.9.1/README.md#:~:text=Please%20first%20%5Binstall%20TensorFlow%5D%28https%3A//www
