quality_attribute,keyword,matched_word,sentence,source,filename,author,repo,version,wiki,url
Deployability,update,updates,"ons that improve or extend the Φ<sub>Flow</sub> library.; We especially welcome; - New equations / solvers; - Code optimizations or native (CUDA) implementations.; - Integrations with other computing libraries.; - Bug fixes. Φ<sub>Flow</sub> is a framework, not an application collection.; While we list applications in the [demos](../demos) directory, these should be short and easy to understand. ## How to Contribute; We recommend you to contact the developers before starting your contribution.; There may already be similar internal work or planned changes that would affect how to code the contribution. To contribute code, fork Φ<sub>Flow</sub> on GitHub, make your changes, and submit a pull request.; Make sure that your contribution passes all tests. For commits, we use the following tags in the header:. * `[doc]` for documentation updates; * `[ci]` for CI configuration changes; * `[build]` for changes to the installation; * `[tests]` for adding or changing unit tests; * `[demos]` for adding or changing demo scripts; * `[Φ]` for general changes like version numbers or default imports; ; If the commit modifies the main codebase (`phi/`), use one of the following tags:. * `[vis]` for general changes in `phi.vis` as well as changes to any GUI, e.g. dash, widgets, console.; * `[geom]` for changes to `phi.geom`; * `[field]` for changes to `phi.field` except Scene; * `[io]` for changes to Scenes, data layout; * `[physics]` for changes to `phi.physics`; * `[learning]` for non-backend changes to `phi.tf`, `phi.torch`. Example commit header: `[doc] Improve markdown layout`. Commits may be tagged with multiple tags, but this should be used sparingly. Bugfix commits are tagged with the module to which the fixes are applied. ## Style Guide; Style guidelines make the code more uniform and easier to read.; Generally we stick to the Python style guidelines as outlined in [PEP 8](https://www.python.org/dev/peps/pep-0008/), with some minor modifications outlined below. Have a look at",MatchSource.DOCS,CONTRIBUTING.md,tum-pbs,PhiFlow,3.1.0,,https://github.com/tum-pbs/PhiFlow/tree/3.1.0/CONTRIBUTING.md
Modifiability,extend,extend,"# Contributing to Φ<sub>Flow</sub>; All contributions are welcome!; You can mail the developers to get in touch. ## Types of contributions we're looking for; We're open to all kind of contributions that improve or extend the Φ<sub>Flow</sub> library.; We especially welcome; - New equations / solvers; - Code optimizations or native (CUDA) implementations.; - Integrations with other computing libraries.; - Bug fixes. Φ<sub>Flow</sub> is a framework, not an application collection.; While we list applications in the [demos](../demos) directory, these should be short and easy to understand. ## How to Contribute; We recommend you to contact the developers before starting your contribution.; There may already be similar internal work or planned changes that would affect how to code the contribution. To contribute code, fork Φ<sub>Flow</sub> on GitHub, make your changes, and submit a pull request.; Make sure that your contribution passes all tests. For commits, we use the following tags in the header:. * `[doc]` for documentation updates; * `[ci]` for CI configuration changes; * `[build]` for changes to the installation; * `[tests]` for adding or changing unit tests; * `[demos]` for adding or changing demo scripts; * `[Φ]` for general changes like version numbers or default imports; ; If the commit modifies the main codebase (`phi/`), use one of the following tags:. * `[vis]` for general changes in `phi.vis` as well as changes to any GUI, e.g. dash, widgets, console.; * `[geom]` for changes to `phi.geom`; * `[field]` for changes to `phi.field` except Scene; * `[io]` for changes to Scenes, data layout; * `[physics]` for changes to `phi.physics`; * `[learning]` for non-backend changes to `phi.tf`, `phi.torch`. Example commit header: `[doc] Improve markdown layout`. Commits may be tagged with multiple tags, but this should be used sparingly. Bugfix commits are tagged with the module to which the fixes are applied. ## Style Guide; Style guidelines make the code more uniform and ",MatchSource.DOCS,CONTRIBUTING.md,tum-pbs,PhiFlow,3.1.0,,https://github.com/tum-pbs/PhiFlow/tree/3.1.0/CONTRIBUTING.md
Performance,optimiz,optimizations,"# Contributing to Φ<sub>Flow</sub>; All contributions are welcome!; You can mail the developers to get in touch. ## Types of contributions we're looking for; We're open to all kind of contributions that improve or extend the Φ<sub>Flow</sub> library.; We especially welcome; - New equations / solvers; - Code optimizations or native (CUDA) implementations.; - Integrations with other computing libraries.; - Bug fixes. Φ<sub>Flow</sub> is a framework, not an application collection.; While we list applications in the [demos](../demos) directory, these should be short and easy to understand. ## How to Contribute; We recommend you to contact the developers before starting your contribution.; There may already be similar internal work or planned changes that would affect how to code the contribution. To contribute code, fork Φ<sub>Flow</sub> on GitHub, make your changes, and submit a pull request.; Make sure that your contribution passes all tests. For commits, we use the following tags in the header:. * `[doc]` for documentation updates; * `[ci]` for CI configuration changes; * `[build]` for changes to the installation; * `[tests]` for adding or changing unit tests; * `[demos]` for adding or changing demo scripts; * `[Φ]` for general changes like version numbers or default imports; ; If the commit modifies the main codebase (`phi/`), use one of the following tags:. * `[vis]` for general changes in `phi.vis` as well as changes to any GUI, e.g. dash, widgets, console.; * `[geom]` for changes to `phi.geom`; * `[field]` for changes to `phi.field` except Scene; * `[io]` for changes to Scenes, data layout; * `[physics]` for changes to `phi.physics`; * `[learning]` for non-backend changes to `phi.tf`, `phi.torch`. Example commit header: `[doc] Improve markdown layout`. Commits may be tagged with multiple tags, but this should be used sparingly. Bugfix commits are tagged with the module to which the fixes are applied. ## Style Guide; Style guidelines make the code more uniform and ",MatchSource.DOCS,CONTRIBUTING.md,tum-pbs,PhiFlow,3.1.0,,https://github.com/tum-pbs/PhiFlow/tree/3.1.0/CONTRIBUTING.md
Testability,test,tests,"# Contributing to Φ<sub>Flow</sub>; All contributions are welcome!; You can mail the developers to get in touch. ## Types of contributions we're looking for; We're open to all kind of contributions that improve or extend the Φ<sub>Flow</sub> library.; We especially welcome; - New equations / solvers; - Code optimizations or native (CUDA) implementations.; - Integrations with other computing libraries.; - Bug fixes. Φ<sub>Flow</sub> is a framework, not an application collection.; While we list applications in the [demos](../demos) directory, these should be short and easy to understand. ## How to Contribute; We recommend you to contact the developers before starting your contribution.; There may already be similar internal work or planned changes that would affect how to code the contribution. To contribute code, fork Φ<sub>Flow</sub> on GitHub, make your changes, and submit a pull request.; Make sure that your contribution passes all tests. For commits, we use the following tags in the header:. * `[doc]` for documentation updates; * `[ci]` for CI configuration changes; * `[build]` for changes to the installation; * `[tests]` for adding or changing unit tests; * `[demos]` for adding or changing demo scripts; * `[Φ]` for general changes like version numbers or default imports; ; If the commit modifies the main codebase (`phi/`), use one of the following tags:. * `[vis]` for general changes in `phi.vis` as well as changes to any GUI, e.g. dash, widgets, console.; * `[geom]` for changes to `phi.geom`; * `[field]` for changes to `phi.field` except Scene; * `[io]` for changes to Scenes, data layout; * `[physics]` for changes to `phi.physics`; * `[learning]` for non-backend changes to `phi.tf`, `phi.torch`. Example commit header: `[doc] Improve markdown layout`. Commits may be tagged with multiple tags, but this should be used sparingly. Bugfix commits are tagged with the module to which the fixes are applied. ## Style Guide; Style guidelines make the code more uniform and ",MatchSource.DOCS,CONTRIBUTING.md,tum-pbs,PhiFlow,3.1.0,,https://github.com/tum-pbs/PhiFlow/tree/3.1.0/CONTRIBUTING.md
Usability,learn,learning,"ribution.; There may already be similar internal work or planned changes that would affect how to code the contribution. To contribute code, fork Φ<sub>Flow</sub> on GitHub, make your changes, and submit a pull request.; Make sure that your contribution passes all tests. For commits, we use the following tags in the header:. * `[doc]` for documentation updates; * `[ci]` for CI configuration changes; * `[build]` for changes to the installation; * `[tests]` for adding or changing unit tests; * `[demos]` for adding or changing demo scripts; * `[Φ]` for general changes like version numbers or default imports; ; If the commit modifies the main codebase (`phi/`), use one of the following tags:. * `[vis]` for general changes in `phi.vis` as well as changes to any GUI, e.g. dash, widgets, console.; * `[geom]` for changes to `phi.geom`; * `[field]` for changes to `phi.field` except Scene; * `[io]` for changes to Scenes, data layout; * `[physics]` for changes to `phi.physics`; * `[learning]` for non-backend changes to `phi.tf`, `phi.torch`. Example commit header: `[doc] Improve markdown layout`. Commits may be tagged with multiple tags, but this should be used sparingly. Bugfix commits are tagged with the module to which the fixes are applied. ## Style Guide; Style guidelines make the code more uniform and easier to read.; Generally we stick to the Python style guidelines as outlined in [PEP 8](https://www.python.org/dev/peps/pep-0008/), with some minor modifications outlined below. Have a look at the [Zen](https://en.wikipedia.org/wiki/Zen_of_Python) [of Python](https://www.python.org/dev/peps/pep-0020/) for the philosophy behind the rules.; We would like to add the rule *Concise is better than repetitive.*. We use PyLint for static code analysis with specific configuration files for; [demos](../demos/.pylintrc),; [tests](../tests/.pylintrc) and the; [code base](../phi/.pylintrc).; PyLint is part of the automatic testing pipeline.; The warning log can be viewed online by sele",MatchSource.DOCS,CONTRIBUTING.md,tum-pbs,PhiFlow,3.1.0,,https://github.com/tum-pbs/PhiFlow/tree/3.1.0/CONTRIBUTING.md
Availability,down,downloads," Descent</td>; <td align=""center"">Optimize throw</td>; <td align=""center"">Learning to throw</td>; <td align=""center"">PIV</td>; </tr>; <tr>; <td style=""width: 25%;""><a href=""https://tum-pbs.github.io/PhiFlow/examples/optim/Close_Packing.html""><img src=""docs/figures/examples/optim/Close_Packing.png""></a></td>; <td style=""width: 25%;""><a href=""https://tum-pbs.github.io/PhiFlow/examples/optim/Learn_Potential.html""><img src=""docs/figures/examples/optim/Learn_Potential.png""></a></td>; <td style=""width: 25%;""><a href=""https://tum-pbs.github.io/PhiFlow/examples/optim/Differentiable_Pressure.html""><img src=""docs/figures/examples/optim/Differentiable_Pressure.jpg""></a></td>; </tr>; <tr>; <td align=""center"">Close packing</td>; <td align=""center"">Learning Φ(x,y)</td>; <td align=""center"">Differentiable pressure</td>; </tr>; </tbody>; </table>. ## Installation. Installation with [pip](https://pypi.org/project/pip/) on [Python 3.6](https://www.python.org/downloads/) and above:; ``` bash; $ pip install phiflow; ```; Install [PyTorch](https://pytorch.org/), [TensorFlow](https://www.tensorflow.org/install) or [Jax](https://github.com/google/jax#installation) in addition to Φ<sub>Flow</sub> to enable machine learning capabilities and GPU execution.; To enable the web UI, also install [Dash](https://pypi.org/project/dash/).; For optimal GPU performance, you may compile the custom CUDA operators, see the [detailed installation instructions](https://tum-pbs.github.io/PhiFlow/Installation_Instructions.html). You can verify your installation by running; ```bash; $ python3 -c ""import phi; phi.verify()""; ```; This will check for compatible PyTorch, Jax and TensorFlow installations as well. ## Features. * Tight integration with PyTorch, Jax and TensorFlow for straightforward neural network training with fully differentiable simulations that can [run on the GPU](https://tum-pbs.github.io/PhiFlow/GPU_Execution.html#enabling-gpu-execution).; * Built-in PDE operations with focus on fluid phenomen",MatchSource.DOCS,README.md,tum-pbs,PhiFlow,3.1.0,,https://github.com/tum-pbs/PhiFlow/tree/3.1.0/README.md
Deployability,integrat,integration,"ows/unit-tests.yml/badge.svg); [![PyPI pyversions](https://img.shields.io/pypi/pyversions/phiflow.svg)](https://pypi.org/project/phiflow/); [![PyPI license](https://img.shields.io/pypi/l/phiflow.svg)](https://pypi.org/project/phiflow/); [![Code Coverage](https://codecov.io/gh/tum-pbs/PhiFlow/branch/develop/graph/badge.svg)](https://codecov.io/gh/tum-pbs/PhiFlow/branch/develop/); [![Google Collab Book](https://colab.research.google.com/assets/colab-badge.svg)](https://colab.research.google.com/github/tum-pbs/PhiFlow/blob/develop/docs/Fluids_Tutorial.ipynb). Φ<sub>Flow</sub> is an open-source simulation toolkit built for optimization and machine learning applications.; It is written mostly in Python and can be used with; [NumPy](https://numpy.org/),; [PyTorch](https://pytorch.org/),; [Jax](https://github.com/google/jax); or [TensorFlow](https://www.tensorflow.org/).; The close integration with these machine learning frameworks allows it to leverage their automatic differentiation functionality,; making it easy to build end-to-end differentiable functions involving both learning models and physics simulations. ## Examples. ### Grids. <table>; <tbody>; <tr>; <td style=""width: 25%;""><a href=""https://tum-pbs.github.io/PhiFlow/examples/grids/Fluid_Logo.html""><img src=""docs/figures/examples/grids/Fluid_Logo.gif""></a></td>; <td style=""width: 25%;""><a href=""https://tum-pbs.github.io/PhiFlow/examples/grids/Wake_Flow.html""><img src=""docs/figures/examples/grids/Wake_Flow.png""></a></td>; <td style=""width: 25%;""><a href=""https://tum-pbs.github.io/PhiFlow/examples/grids/Lid_Driven_Cavity.html""><img src=""docs/figures/examples/grids/Lid_Driven_Cavity.png""></a></td>; <td style=""width: 25%;""><a href=""https://tum-pbs.github.io/PhiFlow/examples/grids/Taylor_Green.html""><img src=""docs/figures/examples/grids/Taylor_Green.jpg""></a></td>; </tr>; <tr>; <td align=""center"">Fluid logo</td>; <td align=""center"">Wake flow</td>; <td align=""center"">Lid-driven cavity</td>; <td align=""center"">Taylor-Gr",MatchSource.DOCS,README.md,tum-pbs,PhiFlow,3.1.0,,https://github.com/tum-pbs/PhiFlow/tree/3.1.0/README.md
Integrability,integrat,integration,"ows/unit-tests.yml/badge.svg); [![PyPI pyversions](https://img.shields.io/pypi/pyversions/phiflow.svg)](https://pypi.org/project/phiflow/); [![PyPI license](https://img.shields.io/pypi/l/phiflow.svg)](https://pypi.org/project/phiflow/); [![Code Coverage](https://codecov.io/gh/tum-pbs/PhiFlow/branch/develop/graph/badge.svg)](https://codecov.io/gh/tum-pbs/PhiFlow/branch/develop/); [![Google Collab Book](https://colab.research.google.com/assets/colab-badge.svg)](https://colab.research.google.com/github/tum-pbs/PhiFlow/blob/develop/docs/Fluids_Tutorial.ipynb). Φ<sub>Flow</sub> is an open-source simulation toolkit built for optimization and machine learning applications.; It is written mostly in Python and can be used with; [NumPy](https://numpy.org/),; [PyTorch](https://pytorch.org/),; [Jax](https://github.com/google/jax); or [TensorFlow](https://www.tensorflow.org/).; The close integration with these machine learning frameworks allows it to leverage their automatic differentiation functionality,; making it easy to build end-to-end differentiable functions involving both learning models and physics simulations. ## Examples. ### Grids. <table>; <tbody>; <tr>; <td style=""width: 25%;""><a href=""https://tum-pbs.github.io/PhiFlow/examples/grids/Fluid_Logo.html""><img src=""docs/figures/examples/grids/Fluid_Logo.gif""></a></td>; <td style=""width: 25%;""><a href=""https://tum-pbs.github.io/PhiFlow/examples/grids/Wake_Flow.html""><img src=""docs/figures/examples/grids/Wake_Flow.png""></a></td>; <td style=""width: 25%;""><a href=""https://tum-pbs.github.io/PhiFlow/examples/grids/Lid_Driven_Cavity.html""><img src=""docs/figures/examples/grids/Lid_Driven_Cavity.png""></a></td>; <td style=""width: 25%;""><a href=""https://tum-pbs.github.io/PhiFlow/examples/grids/Taylor_Green.html""><img src=""docs/figures/examples/grids/Taylor_Green.jpg""></a></td>; </tr>; <tr>; <td align=""center"">Fluid logo</td>; <td align=""center"">Wake flow</td>; <td align=""center"">Lid-driven cavity</td>; <td align=""center"">Taylor-Gr",MatchSource.DOCS,README.md,tum-pbs,PhiFlow,3.1.0,,https://github.com/tum-pbs/PhiFlow/tree/3.1.0/README.md
Modifiability,sandbox,sandboxMode,"and interactive controls that can affect simulations or network training on the fly.; * Object-oriented, vectorized design for expressive code, ease of use, flexibility and extensibility.; * Reusable simulation code, independent of backend and dimensionality, i.e. the exact same code can run a 2D fluid sim using NumPy and a 3D fluid sim on the GPU using TensorFlow or PyTorch.; * High-level linear equation solver with automated sparse matrix generation. ## 📖 Documentation and Tutorials; [**Documentation Overview**](https://tum-pbs.github.io/PhiFlow/); &nbsp; • &nbsp; [**▶ YouTube Tutorials**](https://www.youtube.com/playlist?list=PLYLhRkuWBmZ5R6hYzusA2JBIUPFEE755O); &nbsp; • &nbsp; [**API**](https://tum-pbs.github.io/PhiFlow/phi/); &nbsp; • &nbsp; [**Demos**](https://github.com/tum-pbs/PhiFlow/tree/master/demos); &nbsp; • &nbsp; [<img src=""https://www.tensorflow.org/images/colab_logo_32px.png"" height=16> **Playground**](https://colab.research.google.com/drive/1zBlQbmNguRt-Vt332YvdTqlV4DBcus2S#offline=true&sandboxMode=true). Φ-Flow builds on the tensor functionality from [Φ<sub>ML</sub>](https://github.com/tum-pbs/PhiML).; To understand how Φ<sub>Flow</sub> works, check [named and typed dimensions](https://tum-pbs.github.io/PhiML/Introduction.html) first. ### Getting started. * [Installation instructions](https://tum-pbs.github.io/PhiFlow/Installation_Instructions.html); * [<img src=""https://www.tensorflow.org/images/colab_logo_32px.png"" height=16>](https://colab.research.google.com/github/tum-pbs/PhiFlow/blob/develop/docs/Math_Introduction.ipynb) [Tensors](https://tum-pbs.github.io/PhiFlow/Math_Introduction.html); * [<img src=""https://www.tensorflow.org/images/colab_logo_32px.png"" height=16>](https://colab.research.google.com/github/tum-pbs/PhiFlow/blob/develop/docs/Fluids_Tutorial.ipynb) [Fluids](https://tum-pbs.github.io/PhiFlow/Fluids_Tutorial.html); * [<img src=""https://www.tensorflow.org/images/colab_logo_32px.png"" height=16>](https://colab.research.google.com/gi",MatchSource.DOCS,README.md,tum-pbs,PhiFlow,3.1.0,,https://github.com/tum-pbs/PhiFlow/tree/3.1.0/README.md
Performance,optimiz,optimization,"# ![PhiFlow](docs/figures/Logo_DallE2_3_layout.png). ![Build Status](https://github.com/tum-pbs/PhiFlow/actions/workflows/unit-tests.yml/badge.svg); [![PyPI pyversions](https://img.shields.io/pypi/pyversions/phiflow.svg)](https://pypi.org/project/phiflow/); [![PyPI license](https://img.shields.io/pypi/l/phiflow.svg)](https://pypi.org/project/phiflow/); [![Code Coverage](https://codecov.io/gh/tum-pbs/PhiFlow/branch/develop/graph/badge.svg)](https://codecov.io/gh/tum-pbs/PhiFlow/branch/develop/); [![Google Collab Book](https://colab.research.google.com/assets/colab-badge.svg)](https://colab.research.google.com/github/tum-pbs/PhiFlow/blob/develop/docs/Fluids_Tutorial.ipynb). Φ<sub>Flow</sub> is an open-source simulation toolkit built for optimization and machine learning applications.; It is written mostly in Python and can be used with; [NumPy](https://numpy.org/),; [PyTorch](https://pytorch.org/),; [Jax](https://github.com/google/jax); or [TensorFlow](https://www.tensorflow.org/).; The close integration with these machine learning frameworks allows it to leverage their automatic differentiation functionality,; making it easy to build end-to-end differentiable functions involving both learning models and physics simulations. ## Examples. ### Grids. <table>; <tbody>; <tr>; <td style=""width: 25%;""><a href=""https://tum-pbs.github.io/PhiFlow/examples/grids/Fluid_Logo.html""><img src=""docs/figures/examples/grids/Fluid_Logo.gif""></a></td>; <td style=""width: 25%;""><a href=""https://tum-pbs.github.io/PhiFlow/examples/grids/Wake_Flow.html""><img src=""docs/figures/examples/grids/Wake_Flow.png""></a></td>; <td style=""width: 25%;""><a href=""https://tum-pbs.github.io/PhiFlow/examples/grids/Lid_Driven_Cavity.html""><img src=""docs/figures/examples/grids/Lid_Driven_Cavity.png""></a></td>; <td style=""width: 25%;""><a href=""https://tum-pbs.github.io/PhiFlow/examples/grids/Taylor_Green.html""><img src=""docs/figures/examples/grids/Taylor_Green.jpg""></a></td>; </tr>; <tr>; <td align=""center"">Fluid ",MatchSource.DOCS,README.md,tum-pbs,PhiFlow,3.1.0,,https://github.com/tum-pbs/PhiFlow/tree/3.1.0/README.md
