quality_attribute,keyword,matched_word,sentence,source,author,repo,version,wiki,url
Usability,simpl,simple,"> burgers_sim.py is now too simple, maybe set some key word properties so they are more illustrative on what can be done when changing them. There are not a whole lot of parameters you can change. The viscosity is the only one that's not set, I think. The demo explicitly adds the `Burgers` physics which should make exploring the code rather straightforward. > Put renamings as separate commits to make them clearly visible in the history: Fan->Acceleator, CollectiveState->StateCollection, etc. I agree. I normally call these commits `Rename X to Y` but for the Fan, it's called `Deprecate 'Fan' in favor of 'Accelerator'`.",MatchSource.ISSUE_COMMENT,tum-pbs,PhiFlow,3.1.0,,https://github.com/tum-pbs/PhiFlow/pull/5#issuecomment-578719554
Energy Efficiency,power,powerful,"That makes sense. I'm happy to approve the merge as soon as this behavior is documented since it is both new in this version and not intuitive, but powerful once understood.",MatchSource.ISSUE_COMMENT,tum-pbs,PhiFlow,3.1.0,,https://github.com/tum-pbs/PhiFlow/pull/10#issuecomment-586942227
Usability,intuit,intuitive,"That makes sense. I'm happy to approve the merge as soon as this behavior is documented since it is both new in this version and not intuitive, but powerful once understood.",MatchSource.ISSUE_COMMENT,tum-pbs,PhiFlow,3.1.0,,https://github.com/tum-pbs/PhiFlow/pull/10#issuecomment-586942227
Availability,error,error,"Hi Nikolai,. Thanks for your feedback!; Unfortunately we don't have anyone with a lot of experience in PyTorch in our group, so we don't yet have advanced tests. I'll look into the error shortly and post a fix. Best,; Philipp",MatchSource.ISSUE_COMMENT,tum-pbs,PhiFlow,3.1.0,,https://github.com/tum-pbs/PhiFlow/issues/14#issuecomment-607752895
Testability,test,tests,"Hi Nikolai,. Thanks for your feedback!; Unfortunately we don't have anyone with a lot of experience in PyTorch in our group, so we don't yet have advanced tests. I'll look into the error shortly and post a fix. Best,; Philipp",MatchSource.ISSUE_COMMENT,tum-pbs,PhiFlow,3.1.0,,https://github.com/tum-pbs/PhiFlow/issues/14#issuecomment-607752895
Usability,feedback,feedback,"Hi Nikolai,. Thanks for your feedback!; Unfortunately we don't have anyone with a lot of experience in PyTorch in our group, so we don't yet have advanced tests. I'll look into the error shortly and post a fix. Best,; Philipp",MatchSource.ISSUE_COMMENT,tum-pbs,PhiFlow,3.1.0,,https://github.com/tum-pbs/PhiFlow/issues/14#issuecomment-607752895
Usability,simpl,simply,"The reason for the order switch was external forces. Without them the order doesn't make much of a difference but in the presence of non-smooth forces, semi-Lagrangian advection without prior diffusion can cause artifacts. A different advection scheme might not have this problem. If the reversed order suits your case better, feel free to create a custom Physics class or simply call `diffuse` and `advect` in the order you like.",MatchSource.ISSUE_COMMENT,tum-pbs,PhiFlow,3.1.0,,https://github.com/tum-pbs/PhiFlow/issues/24#issuecomment-753984963
Availability,down,down,"For multi-colored point clouds, you would have to pass a list of PointClouds or functions generating PointClouds.; How about making `color` a `Tensor` instead?; Then merging clouds boils down to concatenating points, values and colors. Plotting also becomes simpler with less possible errors.; I just pushed support for string tensors: 382b481fe40bab4cd4a54bf55b018122b818b5e2",MatchSource.ISSUE_COMMENT,tum-pbs,PhiFlow,3.1.0,,https://github.com/tum-pbs/PhiFlow/pull/25#issuecomment-770234551
Usability,simpl,simpler,"For multi-colored point clouds, you would have to pass a list of PointClouds or functions generating PointClouds.; How about making `color` a `Tensor` instead?; Then merging clouds boils down to concatenating points, values and colors. Plotting also becomes simpler with less possible errors.; I just pushed support for string tensors: 382b481fe40bab4cd4a54bf55b018122b818b5e2",MatchSource.ISSUE_COMMENT,tum-pbs,PhiFlow,3.1.0,,https://github.com/tum-pbs/PhiFlow/pull/25#issuecomment-770234551
Deployability,update,update,".py](https://codecov.io/gh/tum-pbs/PhiFlow/pull/29/diff?src=pr&el=tree#diff-cGhpL2ZpZWxkL19faW5pdF9fLnB5) | `100.00% <ø> (ø)` | |; | [phi/math/backend/\_optim.py](https://codecov.io/gh/tum-pbs/PhiFlow/pull/29/diff?src=pr&el=tree#diff-cGhpL21hdGgvYmFja2VuZC9fb3B0aW0ucHk=) | `96.55% <ø> (ø)` | |; | [phi/physics/advect.py](https://codecov.io/gh/tum-pbs/PhiFlow/pull/29/diff?src=pr&el=tree#diff-cGhpL3BoeXNpY3MvYWR2ZWN0LnB5) | `98.48% <ø> (+80.57%)` | :arrow_up: |; | [phi/torch/\_\_init\_\_.py](https://codecov.io/gh/tum-pbs/PhiFlow/pull/29/diff?src=pr&el=tree#diff-cGhpL3RvcmNoL19faW5pdF9fLnB5) | `100.00% <ø> (ø)` | |; | [tests/commit/math/test\_\_track.py](https://codecov.io/gh/tum-pbs/PhiFlow/pull/29/diff?src=pr&el=tree#diff-dGVzdHMvY29tbWl0L21hdGgvdGVzdF9fdHJhY2sucHk=) | `96.15% <ø> (ø)` | |; | [tests/commit/physics/test\_legacy.py](https://codecov.io/gh/tum-pbs/PhiFlow/pull/29/diff?src=pr&el=tree#diff-dGVzdHMvY29tbWl0L3BoeXNpY3MvdGVzdF9sZWdhY3kucHk=) | `100.00% <ø> (ø)` | |; | [phi/physics/\_fluid\_legacy.py](https://codecov.io/gh/tum-pbs/PhiFlow/pull/29/diff?src=pr&el=tree#diff-cGhpL3BoeXNpY3MvX2ZsdWlkX2xlZ2FjeS5weQ==) | `80.26% <33.33%> (-14.82%)` | :arrow_down: |; | [phi/field/\_mask.py](https://codecov.io/gh/tum-pbs/PhiFlow/pull/29/diff?src=pr&el=tree#diff-cGhpL2ZpZWxkL19tYXNrLnB5) | `87.09% <50.00%> (-1.37%)` | :arrow_down: |; | ... and [133 more](https://codecov.io/gh/tum-pbs/PhiFlow/pull/29/diff?src=pr&el=tree-more) | |. ------. [Continue to review full report at Codecov](https://codecov.io/gh/tum-pbs/PhiFlow/pull/29?src=pr&el=continue).; > **Legend** - [Click here to learn more](https://docs.codecov.io/docs/codecov-delta); > `Δ = absolute <relative> (impact)`, `ø = not affected`, `? = missing data`; > Powered by [Codecov](https://codecov.io/gh/tum-pbs/PhiFlow/pull/29?src=pr&el=footer). Last update [6423fe0...f181f15](https://codecov.io/gh/tum-pbs/PhiFlow/pull/29?src=pr&el=lastupdated). Read the [comment docs](https://docs.codecov.io/docs/pull-request-comments).",MatchSource.ISSUE_COMMENT,tum-pbs,PhiFlow,3.1.0,,https://github.com/tum-pbs/PhiFlow/pull/29#issuecomment-789888293
