,keyword,false_positive_False,false_positive_True,total,score,adv_score,total_score
60,perform,10,17,27,-0.25925925925925924,-0.8494738181995927,26
36,flexible,3,2,5,0.2,0.39771572685331513,12
25,encrypt,2,0,2,1.0,1.3990748591120732,8
73,refactor,2,2,4,0.0,0.0,8
27,enhance,1,0,1,1.0,0.8465735902799727,4
45,latency,1,1,2,0.0,0.0,4
55,multi-thread,1,0,1,1.0,0.8465735902799727,4
93,user-friendly,1,0,1,1.0,0.8465735902799727,4
77,rewrite,1,2,3,-0.3333333333333333,-0.42328679513998635,2
92,usab,1,2,3,-0.3333333333333333,-0.42328679513998635,2
12,checkpoint,1,4,5,-0.6,-0.8465735902799727,-2
2,adapter,0,1,1,-1.0,-0.5,-2
3,assert,0,1,1,-1.0,-0.5,-2
4,audit,0,1,1,-1.0,-0.5,-2
14,concurren,0,1,1,-1.0,-0.5,-2
17,consumption,0,1,1,-1.0,-0.5,-2
18,coupling,0,1,1,-1.0,-0.5,-2
23,downtime,0,1,1,-1.0,-0.5,-2
29,evolve,0,1,1,-1.0,-0.5,-2
32,fail-safe,0,1,1,-1.0,-0.5,-2
34,fault,0,1,1,-1.0,-0.5,-2
37,green,0,1,1,-1.0,-0.5,-2
40,inherit,0,1,1,-1.0,-0.5,-2
41,inject,0,1,1,-1.0,-0.5,-2
50,maintainab,0,1,1,-1.0,-0.5,-2
51,mainten,0,1,1,-1.0,-0.5,-2
52,mask,0,1,1,-1.0,-0.5,-2
61,ping,0,1,1,-1.0,-0.5,-2
68,queue,0,1,1,-1.0,-0.5,-2
72,redundant,0,1,1,-1.0,-0.5,-2
75,reliab,0,1,1,-1.0,-0.5,-2
76,repair,0,1,1,-1.0,-0.5,-2
79,sanitiz,0,1,1,-1.0,-0.5,-2
80,sanity check,0,1,1,-1.0,-0.5,-2
81,scalab,0,1,1,-1.0,-0.5,-2
85,stub,0,1,1,-1.0,-0.5,-2
86,sustainab,0,1,1,-1.0,-0.5,-2
90,unsafe,0,1,1,-1.0,-0.5,-2
8,benchmark,1,5,6,-0.6666666666666666,-0.967512674605683,-4
63,plugin,1,5,6,-0.6666666666666666,-0.967512674605683,-4
10,certificate,0,2,2,-1.0,-0.6666666666666666,-4
20,deploy,0,2,2,-1.0,-0.6666666666666666,-4
35,feedback,0,2,2,-1.0,-0.6666666666666666,-4
59,patch,0,2,2,-1.0,-0.6666666666666666,-4
69,recover,0,2,2,-1.0,-0.6666666666666666,-4
83,secur,0,2,2,-1.0,-0.6666666666666666,-4
89,toler,0,2,2,-1.0,-0.6666666666666666,-4
5,authenticat,0,3,3,-1.0,-0.75,-6
57,parameteriz,0,3,3,-1.0,-0.75,-6
58,password,0,3,3,-1.0,-0.75,-6
66,progress bar,0,3,3,-1.0,-0.75,-6
78,safe,0,3,3,-1.0,-0.75,-6
11,charge,0,4,4,-1.0,-0.8,-8
31,extend,0,4,4,-1.0,-0.8,-8
33,failure,0,4,4,-1.0,-0.8,-8
62,pipeline,0,4,4,-1.0,-0.8,-8
67,protocol,0,4,4,-1.0,-0.8,-8
82,schedul,0,4,4,-1.0,-0.8,-8
24,efficient,0,5,5,-1.0,-0.8333333333333334,-10
30,expose,0,5,5,-1.0,-0.8333333333333334,-10
71,redund,0,5,5,-1.0,-0.8333333333333334,-10
47,learn,1,9,10,-0.8,-1.2313797676799603,-12
16,configurat,0,6,6,-1.0,-0.8571428571428571,-12
64,power,0,6,6,-1.0,-0.8571428571428571,-12
54,monitor,0,7,7,-1.0,-0.875,-14
96,wrap,1,11,12,-0.8333333333333334,-1.302420908123035,-16
46,layers,0,8,8,-1.0,-0.8888888888888888,-16
15,config,3,18,21,-0.7142857142857143,-1.6270188825817435,-18
38,guid,0,9,9,-1.0,-0.9,-18
1,adapt,1,14,15,-0.8666666666666667,-1.3756820842049557,-22
70,reduce,0,12,12,-1.0,-0.9230769230769231,-24
94,validat,0,12,12,-1.0,-0.9230769230769231,-24
43,integrat,2,19,21,-0.8095238095238095,-1.6216549503344486,-26
22,down,0,13,13,-1.0,-0.9285714285714286,-26
48,load,0,13,13,-1.0,-0.9285714285714286,-26
42,install,0,14,14,-1.0,-0.9333333333333333,-28
56,optimiz,0,14,14,-1.0,-0.9333333333333333,-28
65,predict,0,14,14,-1.0,-0.9333333333333333,-28
95,variab,2,21,23,-0.8260869565217391,-1.661401395195587,-30
53,message,0,15,15,-1.0,-0.9375,-30
88,toggle,0,15,15,-1.0,-0.9375,-30
91,update,0,16,16,-1.0,-0.9411764705882353,-32
13,clear,0,17,17,-1.0,-0.9444444444444444,-34
44,interface,0,17,17,-1.0,-0.9444444444444444,-34
74,release,0,17,17,-1.0,-0.9444444444444444,-34
6,avail,0,18,18,-1.0,-0.9473684210526315,-36
39,hash,0,20,20,-1.0,-0.9523809523809523,-40
21,detect,2,28,30,-0.8666666666666667,-1.7601264356571247,-44
87,test,7,44,51,-0.7254901960784313,-2.1911410969644987,-46
7,avoid,0,23,23,-1.0,-0.9583333333333334,-46
9,cache,0,24,24,-1.0,-0.96,-48
19,depend,1,28,29,-0.9310344827586207,-1.523832462503951,-50
0,access,0,25,25,-1.0,-0.9615384615384616,-50
26,energy,0,26,26,-1.0,-0.9629629629629629,-52
49,log,0,31,31,-1.0,-0.96875,-62
28,error,0,36,36,-1.0,-0.972972972972973,-72
84,simpl,0,45,45,-1.0,-0.9782608695652174,-90
