,source,keyword,false_positive_False,false_positive_True,total,score,adv_score,total_score
67,CODE_COMMENT,perform,53,71,124,-0.14516129032258066,-0.7184137027052555,176
156,DOCS,extend,38,34,72,0.05555555555555555,0.2555376244454601,152
329,ISSUE_COMMENT,extend,23,48,71,-0.352112676056338,-1.450713135537481,42
20,CODE_COMMENT,concurren,10,10,20,0.0,0.0,40
222,DOCS,secur,8,9,17,-0.058823529411764705,-0.17762358762978997,30
161,DOCS,flexible,8,13,21,-0.23809523809523808,-0.7266419493945954,22
300,ISSUE_COMMENT,bottleneck,6,8,14,-0.14285714285714285,-0.39278801987404177,20
435,RELEASES,config,6,11,17,-0.29411764705882354,-0.8183083747375871,14
172,DOCS,latency,3,3,6,0.0,0.0,12
354,ISSUE_COMMENT,maintainab,3,1,4,0.5,0.9545177444479563,12
491,RELEASES,secur,3,0,3,1.0,1.789720770839918,12
134,DOCS,confidential,2,1,3,0.3333333333333333,0.5246530721670275,8
449,RELEASES,extend,2,0,2,1.0,1.3990748591120732,8
452,RELEASES,flexible,2,2,4,0.0,0.0,8
295,ISSUE_COMMENT,authenticat,4,9,13,-0.38461538461538464,-0.9319421115836073,6
198,DOCS,queue,3,6,9,-0.3333333333333333,-0.7158883083359672,6
170,DOCS,interoperab,2,3,5,-0.2,-0.3497687147780183,6
334,ISSUE_COMMENT,flexible,7,19,26,-0.46153846153846156,-1.368640685191038,4
220,DOCS,scalab,5,13,18,-0.4444444444444444,-1.1754776712539179,4
171,DOCS,intuit,2,4,6,-0.3333333333333333,-0.5996035110480314,4
177,DOCS,maintainab,1,0,1,1.0,0.8465735902799727,4
238,DOCS,usab,1,0,1,1.0,0.8465735902799727,4
239,DOCS,user-friendly,1,1,2,0.0,0.0,4
315,ISSUE_COMMENT,coupling,1,1,2,0.0,0.0,4
408,ISSUE_COMMENT,threat,1,0,1,1.0,0.8465735902799727,4
466,RELEASES,multi-thread,1,1,2,0.0,0.0,4
495,RELEASES,tune,1,0,1,1.0,0.8465735902799727,4
150,DOCS,encrypt,8,23,31,-0.4838709677419355,-1.4986990206263529,2
420,ISSUE_COMMENT,user experience,4,11,15,-0.4666666666666667,-1.141629086689919,2
438,RELEASES,depend,3,8,11,-0.45454545454545453,-0.9942893171332878,2
41,CODE_COMMENT,flexible,1,2,3,-0.3333333333333333,-0.42328679513998635,2
96,CODE_COMMENT,secur,1,2,3,-0.3333333333333333,-0.42328679513998635,2
166,DOCS,inject,1,2,3,-0.3333333333333333,-0.42328679513998635,2
204,DOCS,refactor,1,2,3,-0.3333333333333333,-0.42328679513998635,2
52,CODE_COMMENT,latency,1,3,4,-0.5,-0.6772588722239782,0
234,DOCS,undo,1,3,4,-0.5,-0.6772588722239782,0
133,DOCS,concurren,1,4,5,-0.6,-0.8465735902799727,-2
301,ISSUE_COMMENT,bridg,1,4,5,-0.6,-0.8465735902799727,-2
406,ISSUE_COMMENT,synchroniz,1,4,5,-0.6,-0.8465735902799727,-2
4,CODE_COMMENT,alive,0,1,1,-1.0,-0.5,-2
7,CODE_COMMENT,audit,0,1,1,-1.0,-0.5,-2
13,CODE_COMMENT,bridg,0,1,1,-1.0,-0.5,-2
18,CODE_COMMENT,checksum,0,1,1,-1.0,-0.5,-2
29,CODE_COMMENT,drain,0,1,1,-1.0,-0.5,-2
32,CODE_COMMENT,encrypt,0,1,1,-1.0,-0.5,-2
34,CODE_COMMENT,enhance,0,1,1,-1.0,-0.5,-2
51,CODE_COMMENT,intuit,0,1,1,-1.0,-0.5,-2
59,CODE_COMMENT,mediat,0,1,1,-1.0,-0.5,-2
81,CODE_COMMENT,refactor,0,1,1,-1.0,-0.5,-2
83,CODE_COMMENT,reliab,0,1,1,-1.0,-0.5,-2
85,CODE_COMMENT,responsiv,0,1,1,-1.0,-0.5,-2
86,CODE_COMMENT,resume,0,1,1,-1.0,-0.5,-2
105,CODE_COMMENT,undo,0,1,1,-1.0,-0.5,-2
107,CODE_COMMENT,upgrade,0,1,1,-1.0,-0.5,-2
131,DOCS,checksum,0,1,1,-1.0,-0.5,-2
141,DOCS,degraded,0,1,1,-1.0,-0.5,-2
160,DOCS,firewall,0,1,1,-1.0,-0.5,-2
180,DOCS,mediat,0,1,1,-1.0,-0.5,-2
193,DOCS,portab,0,1,1,-1.0,-0.5,-2
199,DOCS,race condition,0,1,1,-1.0,-0.5,-2
208,DOCS,responsiv,0,1,1,-1.0,-0.5,-2
214,DOCS,rollout,0,1,1,-1.0,-0.5,-2
223,DOCS,sensor,0,1,1,-1.0,-0.5,-2
226,DOCS,synchroniz,0,1,1,-1.0,-0.5,-2
229,DOCS,throughput,0,1,1,-1.0,-0.5,-2
244,ISSUE,access,0,1,1,-1.0,-0.5,-2
246,ISSUE,adapter,0,1,1,-1.0,-0.5,-2
247,ISSUE,avoid,0,1,1,-1.0,-0.5,-2
252,ISSUE,down,0,1,1,-1.0,-0.5,-2
254,ISSUE,extend,0,1,1,-1.0,-0.5,-2
264,ISSUE,maintainab,0,1,1,-1.0,-0.5,-2
265,ISSUE,mask,0,1,1,-1.0,-0.5,-2
267,ISSUE,monitor,0,1,1,-1.0,-0.5,-2
272,ISSUE,refactor,0,1,1,-1.0,-0.5,-2
277,ISSUE,stub,0,1,1,-1.0,-0.5,-2
283,ISSUE,validat,0,1,1,-1.0,-0.5,-2
296,ISSUE_COMMENT,authoriz,0,1,1,-1.0,-0.5,-2
338,ISSUE_COMMENT,hazard,0,1,1,-1.0,-0.5,-2
345,ISSUE_COMMENT,integrity,0,1,1,-1.0,-0.5,-2
370,ISSUE_COMMENT,plug-in,0,1,1,-1.0,-0.5,-2
379,ISSUE_COMMENT,race condition,0,1,1,-1.0,-0.5,-2
388,ISSUE_COMMENT,response time,0,1,1,-1.0,-0.5,-2
409,ISSUE_COMMENT,throttle,0,1,1,-1.0,-0.5,-2
427,RELEASES,allocate,0,1,1,-1.0,-0.5,-2
437,RELEASES,consumption,0,1,1,-1.0,-0.5,-2
439,RELEASES,deploy,0,1,1,-1.0,-0.5,-2
443,RELEASES,echo,0,1,1,-1.0,-0.5,-2
448,RELEASES,expose,0,1,1,-1.0,-0.5,-2
455,RELEASES,inherit,0,1,1,-1.0,-0.5,-2
459,RELEASES,layers,0,1,1,-1.0,-0.5,-2
464,RELEASES,meter,0,1,1,-1.0,-0.5,-2
468,RELEASES,password,0,1,1,-1.0,-0.5,-2
469,RELEASES,patch,0,1,1,-1.0,-0.5,-2
471,RELEASES,ping,0,1,1,-1.0,-0.5,-2
472,RELEASES,pipeline,0,1,1,-1.0,-0.5,-2
475,RELEASES,predict,0,1,1,-1.0,-0.5,-2
476,RELEASES,progress bar,0,1,1,-1.0,-0.5,-2
480,RELEASES,redund,0,1,1,-1.0,-0.5,-2
484,RELEASES,repair,0,1,1,-1.0,-0.5,-2
485,RELEASES,rewrite,0,1,1,-1.0,-0.5,-2
486,RELEASES,robust,0,1,1,-1.0,-0.5,-2
487,RELEASES,safe,0,1,1,-1.0,-0.5,-2
488,RELEASES,sanitiz,0,1,1,-1.0,-0.5,-2
489,RELEASES,scalab,0,1,1,-1.0,-0.5,-2
498,RELEASES,upgrade,0,1,1,-1.0,-0.5,-2
500,RELEASES,user-friendly,0,1,1,-1.0,-0.5,-2
517,WIKI,checksum,0,1,1,-1.0,-0.5,-2
568,WIKI,progress bar,0,1,1,-1.0,-0.5,-2
578,WIKI,responsiv,0,1,1,-1.0,-0.5,-2
579,WIKI,resume,0,1,1,-1.0,-0.5,-2
582,WIKI,rolling,0,1,1,-1.0,-0.5,-2
589,WIKI,schedul,0,1,1,-1.0,-0.5,-2
590,WIKI,secur,0,1,1,-1.0,-0.5,-2
596,WIKI,toggle,0,1,1,-1.0,-0.5,-2
600,WIKI,unsafe,0,1,1,-1.0,-0.5,-2
479,RELEASES,reduce,3,11,14,-0.5714285714285714,-1.2726903259306084,-4
467,RELEASES,optimiz,2,8,10,-0.6,-1.1446976120007872,-4
183,DOCS,mock,1,5,6,-0.6666666666666666,-0.967512674605683,-4
349,ISSUE_COMMENT,latency,1,5,6,-0.6666666666666666,-0.967512674605683,-4
0,CODE_COMMENT,A/B,0,2,2,-1.0,-0.6666666666666666,-4
9,CODE_COMMENT,authoriz,0,2,2,-1.0,-0.6666666666666666,-4
15,CODE_COMMENT,certificate,0,2,2,-1.0,-0.6666666666666666,-4
49,CODE_COMMENT,integrity,0,2,2,-1.0,-0.6666666666666666,-4
57,CODE_COMMENT,mainten,0,2,2,-1.0,-0.6666666666666666,-4
73,CODE_COMMENT,progress bar,0,2,2,-1.0,-0.6666666666666666,-4
88,CODE_COMMENT,risk,0,2,2,-1.0,-0.6666666666666666,-4
93,CODE_COMMENT,sanitiz,0,2,2,-1.0,-0.6666666666666666,-4
99,CODE_COMMENT,throttle,0,2,2,-1.0,-0.6666666666666666,-4
100,CODE_COMMENT,throughput,0,2,2,-1.0,-0.6666666666666666,-4
102,CODE_COMMENT,toggle,0,2,2,-1.0,-0.6666666666666666,-4
137,DOCS,consumption,0,2,2,-1.0,-0.6666666666666666,-4
189,DOCS,pause,0,2,2,-1.0,-0.6666666666666666,-4
207,DOCS,resilien,0,2,2,-1.0,-0.6666666666666666,-4
209,DOCS,resume,0,2,2,-1.0,-0.6666666666666666,-4
219,DOCS,sanity check,0,2,2,-1.0,-0.6666666666666666,-4
228,DOCS,threat,0,2,2,-1.0,-0.6666666666666666,-4
235,DOCS,unsafe,0,2,2,-1.0,-0.6666666666666666,-4
243,ISSUE,UX,0,2,2,-1.0,-0.6666666666666666,-4
245,ISSUE,adapt,0,2,2,-1.0,-0.6666666666666666,-4
248,ISSUE,benchmark,0,2,2,-1.0,-0.6666666666666666,-4
251,ISSUE,depend,0,2,2,-1.0,-0.6666666666666666,-4
255,ISSUE,failure,0,2,2,-1.0,-0.6666666666666666,-4
259,ISSUE,install,0,2,2,-1.0,-0.6666666666666666,-4
261,ISSUE,intuit,0,2,2,-1.0,-0.6666666666666666,-4
270,ISSUE,perform,0,2,2,-1.0,-0.6666666666666666,-4
