,source,keyword,false_positive_False,false_positive_True,total,score,adv_score,total_score
406,WIKI,enhance,5,9,14,-0.2857142857142857,-0.7444691917941479,12
274,ISSUE_COMMENT,flexible,6,13,19,-0.3684210526315789,-1.0310685521693597,10
355,RELEASES,config,2,0,2,1.0,1.3990748591120732,8
360,RELEASES,flexible,2,1,3,0.3333333333333333,0.5246530721670275,8
366,RELEASES,perform,2,1,3,0.3333333333333333,0.5246530721670275,8
148,DOCS,interface,5,13,18,-0.4444444444444444,-1.1754776712539179,4
278,ISSUE_COMMENT,inherit,2,4,6,-0.3333333333333333,-0.5996035110480314,4
113,DOCS,certificate,1,1,2,0.0,0.0,4
161,DOCS,password,1,1,2,0.0,0.0,4
180,DOCS,rout,1,1,2,0.0,0.0,4
244,ISSUE_COMMENT,bridg,1,1,2,0.0,0.0,4
306,ISSUE_COMMENT,portab,1,0,1,1.0,0.8465735902799727,4
362,RELEASES,inherit,1,0,1,1.0,0.8465735902799727,4
364,RELEASES,load,1,1,2,0.0,0.0,4
449,WIKI,refactor,1,0,1,1.0,0.8465735902799727,4
370,RELEASES,release,2,5,7,-0.42857142857142855,-0.7869796082505413,2
173,DOCS,refactor,1,2,3,-0.3333333333333333,-0.42328679513998635,2
185,DOCS,secur,1,2,3,-0.3333333333333333,-0.42328679513998635,2
217,ISSUE,optimiz,1,2,3,-0.3333333333333333,-0.42328679513998635,2
290,ISSUE_COMMENT,maintainab,1,2,3,-0.3333333333333333,-0.42328679513998635,2
373,RELEASES,simpl,1,2,3,-0.3333333333333333,-0.42328679513998635,2
226,ISSUE,test,2,6,8,-0.5,-0.9327165727413822,0
251,ISSUE_COMMENT,concurren,2,6,8,-0.5,-0.9327165727413822,0
87,CODE_COMMENT,secur,1,3,4,-0.5,-0.6772588722239782,0
239,ISSUE_COMMENT,authenticat,1,3,4,-0.5,-0.6772588722239782,0
285,ISSUE_COMMENT,latency,1,3,4,-0.5,-0.6772588722239782,0
356,RELEASES,depend,1,3,4,-0.5,-0.6772588722239782,0
149,DOCS,layers,1,4,5,-0.6,-0.8465735902799727,-2
0,CODE_COMMENT,UX,0,1,1,-1.0,-0.5,-2
1,CODE_COMMENT,abort,0,1,1,-1.0,-0.5,-2
6,CODE_COMMENT,audit,0,1,1,-1.0,-0.5,-2
8,CODE_COMMENT,authoriz,0,1,1,-1.0,-0.5,-2
13,CODE_COMMENT,canary,0,1,1,-1.0,-0.5,-2
14,CODE_COMMENT,certificate,0,1,1,-1.0,-0.5,-2
17,CODE_COMMENT,checksum,0,1,1,-1.0,-0.5,-2
29,CODE_COMMENT,drain,0,1,1,-1.0,-0.5,-2
32,CODE_COMMENT,encrypt,0,1,1,-1.0,-0.5,-2
41,CODE_COMMENT,firewall,0,1,1,-1.0,-0.5,-2
46,CODE_COMMENT,inherit,0,1,1,-1.0,-0.5,-2
51,CODE_COMMENT,intuit,0,1,1,-1.0,-0.5,-2
52,CODE_COMMENT,latency,0,1,1,-1.0,-0.5,-2
78,CODE_COMMENT,reliab,0,1,1,-1.0,-0.5,-2
79,CODE_COMMENT,resilien,0,1,1,-1.0,-0.5,-2
80,CODE_COMMENT,resume,0,1,1,-1.0,-0.5,-2
89,CODE_COMMENT,stub,0,1,1,-1.0,-0.5,-2
91,CODE_COMMENT,throttle,0,1,1,-1.0,-0.5,-2
