filename,type,author,repo,version,wiki,url,patterns,purpose,summary
docs/example.svg,FileType.FILE,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/docs/example.svg,"[{'name': 'Iterator', 'match_type': 'partial', 'implemented_parts': ['Iterator object', 'next method'], 'confidence': 0.9, 'evidence': ['class Iterator', 'iterating over elements', 'current item management']}, {'name': 'Comparable', 'match_type': 'full', 'implemented_parts': ['Comparison methods', 'equals method'], 'confidence': 1.0, 'evidence': ['interface Comparable', 'comparison logic', 'hash code generation']}]",This file defines an iterator pattern for iterating over collections of data.,"{'constants': ['Defines constants for iterator state'], 'types': ['Custom iterator type'], 'classes': ['Iterator class manages iteration process'], 'functions': ['next iterates over elements', 'compare checks equality']}"
docs/Gemfile,FileType.FILE,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/docs/Gemfile,[],This Gemfile defines dependencies for a Jekyll website.,"{'constants': [], 'types': [], 'classes': [], 'functions': []}"
docs/index.md,FileType.FILE,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/docs/index.md,"[{'name': 'Cancer accumulation', 'match_type': 'full', 'implemented_parts': ['accumulate', 'tumor-bearing mice', 'humans', 'cancer'], 'confidence': 0.98, 'evidence': ['Sentence mentions accumulation of cancer in mice and humans']}, {'name': 'Cellular source of cancer', 'match_type': 'partial', 'implemented_parts': ['myeloid cells', 'immunosuppressive activity'], 'confidence': 0.95, 'evidence': ['Sentence suggests myeloid cells contribute to cancer through immunosuppression']}]","This passage discusses the accumulation of cancer cells in tumor-bearing mice and humans, highlighting the potential role of myeloid cells in cancer progression.","{'constants': ['N/A'], 'types': ['N/A'], 'classes': ['N/A'], 'functions': ['N/A']}"
docs/_config.yml,FileType.FILE,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/docs/_config.yml,[],This YAML file configures the Jekyll static site generator for a SpaCy-related project.,"{'constants': [], 'types': [], 'classes': [], 'functions': []}"
docs,FileType.DIR,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/docs,"[{'name': 'Iterator Pattern', 'match_type': 'full', 'implemented_parts': ['Iterator class', 'next function', 'compare function'], 'confidence': 0.9, 'evidence': ['class Iterator', 'iterating over elements', 'current item management']}, {'name': 'Comparable Interface', 'match_type': 'full', 'implemented_parts': ['Comparison methods', 'equals method'], 'confidence': 1.0, 'evidence': ['interface Comparable', 'comparison logic', 'hash code generation']}, {'name': 'Cancer Accumulation', 'match_type': 'full', 'implemented_parts': ['accumulate', 'tumor-bearing mice', 'humans', 'cancer'], 'confidence': 0.98, 'evidence': ['Sentence mentions accumulation of cancer in mice and humans']}, {'name': 'Cellular Source of Cancer', 'match_type': 'partial', 'implemented_parts': ['myeloid cells', 'immunosuppressive activity'], 'confidence': 0.95, 'evidence': ['Sentence suggests myeloid cells contribute to cancer through immunosuppression']}]",This file defines an iterator pattern for iterating over collections of data.,"{'constants': ['Defines constants for iterator state'], 'types': ['Custom iterator type'], 'classes': ['Iterator class manages iteration process'], 'functions': ['next iterates over elements', 'compare checks equality']}"
evaluation/evaluate_linker.py,FileType.FILE,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/evaluation/evaluate_linker.py,"[{'name': 'Iterator', 'match_type': 'partial', 'implemented_parts': ['Iterator interface', 'hasNext method', 'next method'], 'confidence': 0.9, 'evidence': ['interface definition with iterator methods', 'class implementing the interface', 'iterating over lists or collections']}, {'name': 'Comparable', 'match_type': 'full', 'implemented_parts': ['compareTo method'], 'confidence': 1.0, 'evidence': ['class with compareTo method', 'sorting algorithms', 'comparing objects']}]",This file defines an iterator pattern for iterating over lists and collections.,"{'constants': ['Defines constants for iteration'], 'types': ['Custom types for iterating'], 'classes': ['Iterator interface defines iteration contract'], 'functions': ['compareTo allows comparing objects']}"
evaluation/sentence_splitting_evaluation.py,FileType.FILE,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/evaluation/sentence_splitting_evaluation.py,"[{'name': 'Constructor Injection', 'match_type': 'partial', 'implemented_parts': ['constructor takes dependencies as arguments'], 'confidence': 0.95, 'evidence': ['dependency type annotations', 'constructor arguments list']}, {'name': 'Dependency Injection', 'match_type': 'full', 'implemented_parts': ['dependencies injected through method arguments'], 'confidence': 1.0, 'evidence': ['dependency type annotations', 'method arguments include dependencies']}]",This file demonstrates dependency injection patterns for object creation.,"{'constants': ['Defines constants related to dependency injection'], 'types': ['Custom types representing dependencies'], 'classes': ['Example class uses dependency injection'], 'functions': ['Constructor and method arguments inject dependencies']}"
evaluation,FileType.DIR,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/evaluation,"[{'name': 'Iterator', 'match_type': 'partial', 'implemented_parts': ['Iterator interface', 'hasNext method', 'next method'], 'confidence': 0.9, 'evidence': ['interface definition with iterator methods', 'class implementing the interface', 'iterating over lists or collections']}, {'name': 'Comparable', 'match_type': 'full', 'implemented_parts': ['compareTo method'], 'confidence': 1.0, 'evidence': ['class with compareTo method', 'sorting algorithms', 'comparing objects']}, {'name': 'Constructor Injection', 'match_type': 'partial', 'implemented_parts': ['constructor takes dependencies as arguments'], 'confidence': 0.95, 'evidence': ['dependency type annotations', 'constructor arguments list']}, {'name': 'Dependency Injection', 'match_type': 'full', 'implemented_parts': ['dependencies injected through method arguments'], 'confidence': 1.0, 'evidence': ['dependency type annotations', 'method arguments include dependencies']}]","This file defines an iterator pattern for iterating over lists and collections, and demonstrates dependency injection patterns for object creation.","{'constants': ['Defines constants for iteration'], 'types': ['Custom types for iterating'], 'classes': ['Iterator interface defines iteration contract'], 'functions': ['compareTo allows comparing objects']}"
scispacy/abbreviation.py,FileType.FILE,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/scispacy/abbreviation.py,"[{'name': 'Data Access Layer', 'match_type': 'partial', 'implemented_parts': ['Database connection', 'CRUD operations'], 'confidence': 0.95, 'evidence': ['sql statements', 'connection pool', 'repository pattern']}, {'name': 'Caching Strategy', 'match_type': 'full', 'implemented_parts': ['Cache implementation', 'Cache refresh'], 'confidence': 1.0, 'evidence': ['hash tables', 'cache expiration', 'invalidate cache']}]",This file defines the data access layer for an application.,"{'constants': ['Database connection parameters'], 'types': ['Data models representing database entities'], 'classes': ['DataAccess class handles data access operations'], 'functions': ['fetch data', 'insert/update/delete records']}"
scispacy/base_project_code.py,FileType.FILE,allenai,scispacy,v0.5.5,https://allenai.github.io/scispacy/,https://github.com/allenai/scispacy/tree/v0.5.5/scispacy/base_project_code.py,"[{'name': 'Augmentation Pipeline', 'match_type': 'full', 'implemented_parts': ['Text augmentation techniques', 'Language model integration'], 'confidence': 0.95, 'evidence': ['importing transformers library', 'text_transformer function', 'language model training data']}, {'name': 'Mixed Corpus', 'match_type': 'full', 'implemented_parts': ['Data mixing strategy', 'Main corpus enrichment'], 'confidence': 0.85, 'evidence': ['mixing main corpus with mixin_corpus', 'data_percent parameter for mixing ratio', 'iter_sample function for batching']}]",This code snippet defines two data augmentation techniques for language models.,"{'constants': ['Mixin data path', 'Data percentage'], 'types': ['Language model', 'Corpus'], 'classes': ['Example class for training instances'], 'functions': ['main_corpus iterates over main data', 'mixin_corpus adds mixin data']}"
