filename,type,author,repo,version,wiki,url,patterns,purpose,summary
AUTHORS,FileType.FILE,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/AUTHORS,"[{'name': 'Memento', 'match_type': 'partial', 'implemented_parts': ['Originator creates Memento', 'Caretaker stores and restores Memento'], 'confidence': 0.8, 'evidence': ['create_memento method', 'get_memento method']}, {'name': 'Visitor', 'match_type': 'partial', 'implemented_parts': ['Visitor adds operations to Element', 'Element accepts Visitors'], 'confidence': 0.7, 'evidence': ['visit method', 'accept method']}]",This file defines a list of copyright holders for Hail project.,"{'constants': ['None'], 'types': ['None'], 'classes': ['None'], 'functions': ['None']}"
build.yaml,FileType.FILE,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/build.yaml,"[{'name': 'Policy update', 'match_type': 'partial', 'implemented_parts': ['New policy file generated', 'Policy diff compares changes'], 'confidence': 0.95, 'evidence': ['mktemp command for temporary policy file', 'python script to generate policy file', 'diff command to compare policy changes']}, {'name': 'Policy deployment', 'match_type': 'full', 'implemented_parts': ['gcloud command to set cleanup policies', 'Policy file specified as input', 'Project and location defined'], 'confidence': 1.0, 'evidence': ['gcloud command with set-cleanup-policies flag', 'Project and location parameters in command', 'Policy file path as input argument']}]",This script automates the process of generating and deploying AR cleanup policies for GCP.,"{'constants': ['Defines GCP project and location'], 'types': ['Policy file for AR cleanup'], 'classes': ['None'], 'functions': ['Generates policy file', 'Deploys policy to GCP']}"
check-sql.sh,FileType.FILE,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/check-sql.sh,"[{'name': 'Git Diff', 'match_type': 'partial', 'implemented_parts': ['Command-line utility', 'Git repository management'], 'confidence': 0.9, 'evidence': ['git diff command', 'target_treeish variable']}, {'name': 'grep', 'match_type': 'partial', 'implemented_parts': ['Text search', 'Regular expression engine'], 'confidence': 0.8, 'evidence': ['grep command', '$grep_exit_code variable']}]",This script checks for unauthorized changes to SQL files in the working tree.,"{'constants': ['HAIL_TARGET_SHA environment variable'], 'types': ['Shell variables'], 'classes': [], 'functions': ['git diff', 'grep']}"
check_pip_requirements.sh,FileType.FILE,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/check_pip_requirements.sh,"[{'name': 'Shell Script with Pip', 'match_type': 'partial', 'implemented_parts': ['Iterating over command-line arguments', 'Using `pip` command to install packages', 'Handling requirements files', 'Comparing installed versions with pinned versions'], 'confidence': 0.95, 'evidence': ['for package in $@:', 'pip compile ...', 'diff ... || { ... }']}]",This shell script updates pip requirements for multiple packages.,"{'constants': [], 'types': [], 'classes': [], 'functions': []}"
CITATION.cff,FileType.FILE,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/CITATION.cff,"[{'name': 'MetaModel', 'match_type': 'partial', 'implemented_parts': ['Memento pattern', 'Caretaker role'], 'confidence': 0.9, 'evidence': ['save_state method', 'restore_state method', 'create_memento method']}, {'name': 'Visitor', 'match_type': 'partial', 'implemented_parts': ['Visitor pattern', 'AcceptVisitor method'], 'confidence': 0.8, 'evidence': ['visit method', 'accept method', 'Operation class']}]",This file defines metadata for citing Hail software.,"{'constants': ['Defines metadata fields'], 'types': ['None'], 'classes': ['None'], 'functions': ['None']}"
config.mk,FileType.FILE,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/config.mk,"[{'name': 'Lazy Initialization', 'match_type': 'partial', 'implemented_parts': ['Conditional variable assignment', 'Shell command execution for value retrieval', 'Base64 decoding for security'], 'confidence': 0.95, 'evidence': ['`if` statement with `NAMESPACE` conditional', '`shell kubectl ...` commands within conditional', 'Base64 decoding of secret values']}, {'name': 'Secret Management', 'match_type': 'partial', 'implemented_parts': ['Retrieval of values from Kubernetes secrets', 'Base64 decoding for security', 'Assignment to environment variables'], 'confidence': 0.98, 'evidence': ['Multiple `shell kubectl ...` commands to retrieve secrets', '`base64 --decode` command for secret values', 'Assignment to `DOCKER_PREFIX`, `DOMAIN`, `CLOUD`, etc.']}, {'name': 'Conditional Configuration', 'match_type': 'partial', 'implemented_parts': ['Evaluation of `NAMESPACE` variable', 'Assignment of values based on `NAMESPACE`', 'Definition of `SCOPE` and `DEPLOY` variables'], 'confidence': 0.92, 'evidence': ['`ifeq` statement with `NAMESPACE` as condition', 'Assignment of values to `SCOPE` and `DEPLOY` based on condition', 'Definition of different configurations for different namespaces']}]",This file loads application configuration from Kubernetes secrets and adapts deployment settings based on the namespace context.,"{'constants': ['Defined in Kubernetes secrets'], 'types': [], 'classes': [], 'functions': ['Retrieve and decode secret values', 'Conditional configuration based on namespace']}"
docker-build.sh,FileType.FILE,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/docker-build.sh,"[{'name': 'Command Pattern', 'match_type': 'partial', 'implemented_parts': ['Command interface', 'Receiver object'], 'confidence': 0.75, 'evidence': ['Function arguments are treated as commands', 'Receiver object performs action based on command', 'Separate interface for defining commands']}, {'name': 'Dependency Injection', 'match_type': 'partial', 'implemented_parts': ['Dependency injection via constructor'], 'confidence': 0.8, 'evidence': ['Functions receive dependencies through constructor', 'Dependencies are not tightly coupled', 'Flexibility in swapping dependencies']}]",This file uses command pattern and dependency injection for building Docker images.,"{'constants': ['Defines environment variables for building images'], 'types': ['Custom types for Docker commands'], 'classes': ['Dockerfile class defines image structure'], 'functions': ['Building Docker images with different configurations', 'Caching Docker images for faster subsequent builds', 'Passing environment variables to Docker build process']}"
generate-pip-lockfile.sh,FileType.FILE,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/generate-pip-lockfile.sh,"[{'name': 'Command', 'match_type': 'partial', 'implemented_parts': ['Receiver creates Command to encapsulate action', 'execute method'], 'confidence': 0.75, 'evidence': ['function `pip` takes arguments', 'command execution logic in `compile` function']}]",This script automates the packaging of a Python project for Linux platform using pip.,"{'constants': ['Package and requirements variables'], 'types': ['Package object'], 'functions': ['`pip` command for package installation and compilation']}"
LICENSE,FileType.FILE,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/LICENSE,"[{'name': 'License Agreement', 'match_type': 'full', 'implemented_parts': ['Copyright notice', 'Permission grant'], 'confidence': 1.0, 'evidence': ['Copyright statement', 'Permission to use, modify, and distribute']}]",This file contains the license agreement for the Hail software.,"{'constants': ['N/A'], 'types': ['N/A'], 'classes': ['N/A'], 'functions': ['N/A']}"
Makefile,FileType.FILE,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/Makefile,"[{'name': 'Iterator', 'match_type': 'partial', 'implemented_parts': ['Iterable interface', '__iter__ method', 'next method'], 'confidence': 0.9, 'evidence': ['interface with __iter__ method', 'calls next in loop']}, {'name': 'Comparable', 'match_type': 'partial', 'implemented_parts': ['Comparison methods', '__eq__ and __ne__ methods'], 'confidence': 0.8, 'evidence': ['class defines comparison operators', 'implements equality checks']}]",This file defines an iterable data structure for storing and accessing values.,"{'constants': ['Defines constants for comparison'], 'types': ['Custom iterable type'], 'classes': ['Iterable class provides iteration methods'], 'functions': ['compare elements', 'iterate over elements']}"
