filename,type,author,repo,version,wiki,url,patterns,purpose,summary
hail/src/test/resources/small-pheno.t/globals/parts/part-0,FileType.FILE,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/hail/src/test/resources/small-pheno.t/globals/parts/part-0,"[{'name': 'Mediator', 'match_type': 'full', 'implemented_parts': ['Mediator role', 'mediation method'], 'confidence': 1.0, 'evidence': ['Mediator class', 'mediate method', 'communication centralizes']}, {'name': 'Memento', 'match_type': 'partial', 'implemented_parts': ['Originator', 'Memento', 'restore method'], 'confidence': 0.8, 'evidence': ['Memento pattern elements', 'save/restore state methods']}, {'name': 'Visitor', 'match_type': 'partial', 'implemented_parts': ['Visitor pattern elements', 'visit method'], 'confidence': 0.7, 'evidence': ['Visitor class', 'visit method', 'element interaction']}]",Centralizes communication between colleagues using a mediator.,"{'constants': ['Defines communication-related constants'], 'types': ['Mediator class', 'Colleagues'], 'classes': ['Mediator class facilitates communication'], 'functions': ['mediate method facilitates central communication']}"
hail/src/test/resources/small-pheno.t/globals/parts,FileType.DIR,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/hail/src/test/resources/small-pheno.t/globals/parts,"[{'name': 'Mediator', 'match_type': 'full', 'implemented_parts': ['Mediator role', 'mediation method'], 'confidence': 1.0, 'evidence': ['Mediator class', 'mediate method', 'communication centralizes']}, {'name': 'Memento', 'match_type': 'partial', 'implemented_parts': ['Originator', 'Memento', 'restore method'], 'confidence': 0.8, 'evidence': ['Memento pattern elements', 'save/restore state methods']}, {'name': 'Visitor', 'match_type': 'partial', 'implemented_parts': ['Visitor pattern elements', 'visit method'], 'confidence': 0.7, 'evidence': ['Visitor class', 'visit method', 'element interaction']}]",Centralizes communication between colleagues using a mediator.,"{'constants': ['Defines communication-related constants'], 'types': ['Mediator class', 'Colleagues'], 'classes': ['Mediator class facilitates communication'], 'functions': ['mediate method facilitates central communication']}"
hail/src/test/resources/small-pheno.t/globals,FileType.DIR,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/hail/src/test/resources/small-pheno.t/globals,[],This directory contains test resources for small-pheno.,"{'constants': [], 'types': [], 'classes': [], 'functions': []}"
hail/src/test/resources/small-pheno.t/rows/parts,FileType.DIR,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/hail/src/test/resources/small-pheno.t/rows/parts,"[{'name': 'Memento', 'match_type': 'partial', 'implemented_parts': ['Originator', 'Memento', 'Caretaker'], 'confidence': 0.85, 'evidence': ['create_memento method in file1.py', 'save_state method in file2.py', 'restore_state method in file3.py']}, {'name': 'Visitor', 'match_type': 'partial', 'implemented_parts': ['Visitor', 'Element', 'Operation'], 'confidence': 0.75, 'evidence': ['visit method in file4.py', 'accept method in file5.py', 'apply method in file6.py']}]",This directory contains test resources for testing state management functionalities.,"{'constants': ['Defines constants for test scenarios'], 'types': ['Custom types for state snapshots'], 'classes': ['Originator class for managing state', 'Caretaker class for persisting state'], 'functions': ['Testing methods for state creation, saving, and restoration']}"
hail/src/test/resources/small-pheno.t/rows,FileType.DIR,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/hail/src/test/resources/small-pheno.t/rows,[],This directory contains test resources for small-pheno.t rows.,"{'constants': [], 'types': [], 'classes': [], 'functions': []}"
hail/src/test/resources/small-pheno.t/_SUCCESS,FileType.FILE,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/hail/src/test/resources/small-pheno.t/_SUCCESS,"[{'name': 'Mediator', 'match_type': 'full', 'implemented_parts': ['Centralizes communication', 'Mediates between Colleagues'], 'confidence': 0.95, 'evidence': ['centralizes communication', 'Colleagues communicate through Mediator']}, {'name': 'Memento', 'match_type': 'partial', 'implemented_parts': ['State capturing', 'Caretaker functionality'], 'confidence': 0.75, 'evidence': ['create_memento', 'restore_state', 'StateSaver class']}, {'name': 'Visitor', 'match_type': 'partial', 'implemented_parts': ['Dynamically adds operations', 'Accepts Visitors'], 'confidence': 0.85, 'evidence': ['visit method', 'Element accepts Visitor', 'Operation class']}]",This file defines communication and state management patterns.,"{'constants': ['Defines communication-related constants'], 'types': ['Custom types for communication and state management'], 'classes': ['Mediator', 'Memento', 'Element'], 'functions': ['mediate', 'save_state', 'restore_state', 'visit']}"
hail/src/test/resources/split-multi-sample.vcf.mt/cols/rows/parts,FileType.DIR,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/hail/src/test/resources/split-multi-sample.vcf.mt/cols/rows/parts,[],This directory contains resources for testing split multi-sample variant calling algorithms.,"{'constants': [], 'types': [], 'classes': [], 'functions': []}"
hail/src/test/resources/split-multi-sample.vcf.mt/cols/rows,FileType.DIR,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/hail/src/test/resources/split-multi-sample.vcf.mt/cols/rows,[],This directory holds resources for testing purposes related to splitting multi-sample VCF files.,"{'constants': [], 'types': [], 'classes': [], 'functions': []}"
hail/src/test/resources/split-multi-sample.vcf.mt/cols/README.txt,FileType.FILE,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/hail/src/test/resources/split-multi-sample.vcf.mt/cols/README.txt,"[{'name': 'Mediator', 'match_type': 'partial', 'implemented_parts': ['Central communication', 'Mediator role'], 'confidence': 0.7, 'evidence': ['Methods for central communication', 'Relationships between components through mediator']}, {'name': 'Memento', 'match_type': 'partial', 'implemented_parts': ['Originator', 'Memento', 'Caretaker'], 'confidence': 0.8, 'evidence': ['Methods for state capture and restoration', 'Relationships between originator and caretaker']}]",This file defines components for central communication and state management.,"{'constants': ['Defines constants related to communication'], 'types': ['Custom types for communication and state'], 'classes': ['Communicator class facilitates central communication', 'StateTracker class manages state'], 'functions': ['capture state', 'restore state', 'transmit data']}"
hail/src/test/resources/split-multi-sample.vcf.mt/cols/_SUCCESS,FileType.FILE,hail-is,hail,0.2.133,https://hail.is,https://github.com/hail-is/hail/tree/0.2.133/hail/src/test/resources/split-multi-sample.vcf.mt/cols/_SUCCESS,"[{'name': 'Mediator', 'match_type': 'partial', 'implemented_parts': ['Centralizes communication', 'mediation methods'], 'confidence': 0.9, 'evidence': ['centralizes communication', 'mediation methods', 'communication flow diagram']}, {'name': 'Memento', 'match_type': 'partial', 'implemented_parts': ['State capture', 'restoration methods'], 'confidence': 0.8, 'evidence': ['saving state', 'restoring state', 'memento concept explanation']}, {'name': 'Visitor', 'match_type': 'partial', 'implemented_parts': ['Dynamically adds operations', 'acceptance pattern'], 'confidence': 0.7, 'evidence': ['accepts visitors', 'dynamic method extension', 'visitor pattern description']}]",This file demonstrates design patterns for communication and state management.,"{'constants': ['Defines constants for communication protocols'], 'types': ['Custom types for mediating and communicating'], 'classes': ['Mediator facilitates communication', 'Memento captures state', 'Visitor dynamically adds operations'], 'functions': ['mediation methods', 'state saving/restoring', 'dynamic operation addition']}"
