project,count
psi4/psi4/v1.9.1,9678
scverse/scanpy/1.10.2,6772
qutip/qutip/v5.0.4,4067
hail-is/hail/0.2.133,3793
google/deepvariant/v1.6.1,2299
broadinstitute/gatk/4.6.0.0,1760
su2code/SU2/v8.1.0,1433
qupath/qupath/v0.5.1,1331
soedinglab/MMseqs2/15-6f452,1225
openbabel/openbabel/openbabel-3-1-1,1208
broadinstitute/cromwell/87,680
CliMA/Oceananigans.jl/v0.93.2,575
tum-pbs/PhiFlow/3.1.0,517
stardist/stardist/0.9.1,482
COMBINE-lab/salmon/v1.10.1,465
allenai/scispacy/v0.5.5,331
scipipe/scipipe/v0.12.0,324
OpenGene/fastp/v0.23.4,226
sofa-framework/sofa/v24.06.00,47
