quality_attribute,project,count
Integrability,tum-pbs/PhiFlow/3.1.0,107
Deployability,tum-pbs/PhiFlow/3.1.0,102
Usability,tum-pbs/PhiFlow/3.1.0,75
Testability,tum-pbs/PhiFlow/3.1.0,71
Availability,tum-pbs/PhiFlow/3.1.0,69
Modifiability,tum-pbs/PhiFlow/3.1.0,69
Performance,tum-pbs/PhiFlow/3.1.0,31
Energy Efficiency,tum-pbs/PhiFlow/3.1.0,12
Security,tum-pbs/PhiFlow/3.1.0,8
Safety,tum-pbs/PhiFlow/3.1.0,7
Usability,su2code/SU2/v8.1.0,545
Modifiability,su2code/SU2/v8.1.0,449
Testability,su2code/SU2/v8.1.0,235
Integrability,su2code/SU2/v8.1.0,232
Deployability,su2code/SU2/v8.1.0,211
Performance,su2code/SU2/v8.1.0,177
Availability,su2code/SU2/v8.1.0,168
Safety,su2code/SU2/v8.1.0,99
Security,su2code/SU2/v8.1.0,86
Energy Efficiency,su2code/SU2/v8.1.0,82
Usability,stardist/stardist/0.9.1,139
Deployability,stardist/stardist/0.9.1,122
Availability,stardist/stardist/0.9.1,115
Safety,stardist/stardist/0.9.1,113
Modifiability,stardist/stardist/0.9.1,105
Testability,stardist/stardist/0.9.1,77
Integrability,stardist/stardist/0.9.1,50
Performance,stardist/stardist/0.9.1,45
Energy Efficiency,stardist/stardist/0.9.1,26
Security,stardist/stardist/0.9.1,23
Modifiability,sofa-framework/sofa/v24.06.00,3256
Usability,sofa-framework/sofa/v24.06.00,2004
Testability,sofa-framework/sofa/v24.06.00,1654
Deployability,sofa-framework/sofa/v24.06.00,1433
Performance,sofa-framework/sofa/v24.06.00,1290
Integrability,sofa-framework/sofa/v24.06.00,787
Availability,sofa-framework/sofa/v24.06.00,705
Security,sofa-framework/sofa/v24.06.00,374
Safety,sofa-framework/sofa/v24.06.00,256
Energy Efficiency,sofa-framework/sofa/v24.06.00,210
Testability,soedinglab/MMseqs2/15-6f452,803
Availability,soedinglab/MMseqs2/15-6f452,766
Usability,soedinglab/MMseqs2/15-6f452,765
Performance,soedinglab/MMseqs2/15-6f452,709
Energy Efficiency,soedinglab/MMseqs2/15-6f452,705
Security,soedinglab/MMseqs2/15-6f452,699
Deployability,soedinglab/MMseqs2/15-6f452,678
Integrability,soedinglab/MMseqs2/15-6f452,654
Modifiability,soedinglab/MMseqs2/15-6f452,615
Safety,soedinglab/MMseqs2/15-6f452,587
Usability,scverse/scanpy/1.10.2,1093
Deployability,scverse/scanpy/1.10.2,634
Testability,scverse/scanpy/1.10.2,620
Performance,scverse/scanpy/1.10.2,470
Availability,scverse/scanpy/1.10.2,392
Security,scverse/scanpy/1.10.2,372
Modifiability,scverse/scanpy/1.10.2,297
Integrability,scverse/scanpy/1.10.2,272
Safety,scverse/scanpy/1.10.2,113
Energy Efficiency,scverse/scanpy/1.10.2,106
Deployability,scipipe/scipipe/v0.12.0,79
Availability,scipipe/scipipe/v0.12.0,61
Security,scipipe/scipipe/v0.12.0,59
Usability,scipipe/scipipe/v0.12.0,57
Testability,scipipe/scipipe/v0.12.0,38
Integrability,scipipe/scipipe/v0.12.0,36
Modifiability,scipipe/scipipe/v0.12.0,22
Energy Efficiency,scipipe/scipipe/v0.12.0,16
Performance,scipipe/scipipe/v0.12.0,16
Safety,scipipe/scipipe/v0.12.0,9
Availability,root-project/root/v6-32-06,15114
Integrability,root-project/root/v6-32-06,9952
Modifiability,root-project/root/v6-32-06,8807
Usability,root-project/root/v6-32-06,6819
Performance,root-project/root/v6-32-06,6317
Security,root-project/root/v6-32-06,6098
Testability,root-project/root/v6-32-06,5896
Deployability,root-project/root/v6-32-06,5439
Energy Efficiency,root-project/root/v6-32-06,3271
Safety,root-project/root/v6-32-06,3231
Deployability,qutip/qutip/v5.0.4,1739
