Availability,Deployability,Energy Efficiency,Integrability,Modifiability,Performance,Safety,Security,Testability,Usability,total
862,71,278,125,206,746,89,252,98,61,2788
272,185,56,668,877,70,316,36,102,135,2717
438,188,107,417,454,340,122,178,211,233,2688
835,833,0,2,871,17,0,5,32,1,2596
580,0,1553,0,0,12,0,0,0,0,2145
56,231,85,36,43,1073,18,161,5,9,1717
471,52,25,113,256,74,100,163,43,6,1303
471,52,25,113,256,74,100,163,43,6,1303
296,170,32,58,357,91,64,26,113,60,1267
80,101,13,133,249,81,25,27,228,22,959
130,119,17,189,161,58,17,1,34,14,740
40,64,47,272,96,49,16,34,35,31,684
35,67,47,266,95,50,15,34,36,31,676
33,67,46,263,95,50,14,35,36,31,670
95,63,16,57,86,136,51,67,77,22,670
90,136,14,24,152,100,29,73,30,8,656
33,67,44,255,93,48,14,30,36,32,652
80,26,26,29,95,248,29,31,17,42,623
30,64,42,239,86,49,13,30,37,27,617
59,96,9,133,178,46,7,1,52,13,594
2,225,0,38,247,2,7,19,26,10,576
44,17,26,89,34,213,20,105,18,7,573
43,17,26,89,34,213,20,105,18,7,572
133,42,3,110,29,143,24,26,44,17,571
119,14,70,61,63,45,42,58,43,46,561
81,99,8,141,112,55,8,2,36,12,554
81,99,8,142,111,55,8,2,34,13,553
20,15,109,9,340,16,0,11,0,32,552
20,15,109,9,340,16,0,11,0,32,552
262,18,26,44,75,13,20,15,62,12,547
2,11,1,36,488,3,0,0,2,2,545
2,11,1,36,488,3,0,0,2,2,545
2,11,1,36,488,3,0,0,2,2,545
2,11,1,36,488,3,0,0,2,2,545
2,12,1,36,482,3,0,0,2,2,540
56,88,7,110,134,67,12,0,50,14,538
5,7,6,6,429,42,19,2,8,9,533
108,51,119,30,36,132,12,2,11,3,504
105,51,119,32,37,129,12,3,10,3,501
104,51,119,32,37,129,12,3,10,3,500
107,51,119,30,36,129,12,2,11,3,500
107,51,119,30,36,129,12,2,11,3,500
102,51,119,32,37,129,12,3,10,3,498
100,51,119,31,36,130,12,3,10,3,495
106,51,117,29,36,129,11,2,11,3,495
106,51,117,29,36,129,11,2,11,3,495
11,28,60,0,2,365,10,3,8,1,488
40,127,14,41,81,14,43,1,110,8,479
40,127,14,41,81,14,43,1,110,8,479
40,127,14,41,81,14,43,1,109,8,478
40,123,14,43,81,14,42,1,111,7,476
40,121,14,40,81,14,43,1,111,5,470
75,52,115,29,34,135,10,2,11,3,466
75,52,115,29,34,135,10,2,11,3,466
119,15,8,14,58,13,7,0,227,3,464
84,23,4,27,24,196,47,38,16,4,463
72,51,112,29,33,135,12,2,11,3,460
72,51,112,29,33,135,12,2,11,3,460
67,103,20,99,28,25,15,2,66,27,452
70,46,112,24,34,135,12,2,11,3,449
70,46,112,24,34,135,12,2,11,3,449
23,73,15,79,75,98,37,22,6,16,444
61,44,111,24,33,141,13,2,10,3,442
61,44,111,24,33,141,13,2,10,3,442
38,115,14,37,82,14,43,1,91,5,440
38,115,14,37,82,14,43,1,91,5,440
38,115,14,37,82,14,43,1,91,5,440
38,115,14,37,82,14,43,1,91,5,440
121,105,10,38,23,83,8,8,38,6,440
130,10,16,82,49,23,24,21,47,37,439
122,104,10,38,23,81,8,8,38,6,438
199,10,15,36,78,14,3,11,56,11,433
111,5,17,61,66,52,27,5,51,32,427
95,22,83,45,27,48,6,30,58,12,426
95,22,83,45,27,48,6,30,58,12,426
68,11,28,41,64,107,39,22,25,13,418
24,11,114,27,176,35,1,9,5,10,412
24,11,114,27,176,35,1,9,5,10,412
66,44,43,85,73,39,3,5,17,36,411
47,94,14,30,59,13,34,1,103,8,403
23,33,16,166,56,28,11,28,16,24,401
22,83,9,114,101,30,3,5,25,8,400
35,108,14,30,81,14,41,5,67,4,399
35,108,14,30,81,14,41,5,67,4,399
51,11,12,19,101,99,20,26,12,32,383
20,17,16,14,191,41,4,5,61,14,383
26,19,6,31,61,8,31,78,119,2,381
70,16,47,125,43,32,6,9,18,13,379
70,16,47,126,42,32,6,9,17,12,377
24,16,3,13,73,35,127,2,5,79,377
