author,repo,tag,extension,file_count,line_count,category
scverse,scanpy,0.0,no_extension,13,889,other
scverse,scanpy,0.0,md,1,274,other
scverse,scanpy,0.0,py,23,7167,test
scverse,scanpy,0.0,sample,13,790,other
scverse,scanpy,0.0,idx,1,6205,other
scverse,scanpy,0.0,pack,1,318511,other
scverse,scanpy,0.0,ipynb,4,789,other
scverse,scanpy,0.0,r,1,117,other
scverse,scanpy,0.0,txt,4,86,other
scverse,scanpy,0.0,sh,2,26,test
scverse,scanpy,0.1,no_extension,15,941,other
scverse,scanpy,0.1,yml,1,12,other
scverse,scanpy,0.1,md,3,596,other
scverse,scanpy,0.1,in,1,2,other
scverse,scanpy,0.1,ini,1,3,test
scverse,scanpy,0.1,txt,5,105,other
scverse,scanpy,0.1,cfg,1,6,other
scverse,scanpy,0.1,py,41,12222,other
scverse,scanpy,0.1,sample,13,790,other
scverse,scanpy,0.1,idx,1,6205,other
scverse,scanpy,0.1,pack,1,318511,other
scverse,scanpy,0.1,c,1,7484,other
scverse,scanpy,0.1,pyx,1,43,other
scverse,scanpy,0.1,sh,2,35,test
scverse,scanpy,0.1,r,1,117,other
scverse,scanpy,0.1^{},no_extension,15,941,other
scverse,scanpy,0.1^{},yml,1,12,other
scverse,scanpy,0.1^{},md,3,596,other
scverse,scanpy,0.1^{},in,1,2,other
scverse,scanpy,0.1^{},ini,1,3,test
scverse,scanpy,0.1^{},txt,5,105,other
scverse,scanpy,0.1^{},cfg,1,6,other
scverse,scanpy,0.1^{},py,41,12222,other
scverse,scanpy,0.1^{},sample,13,790,other
scverse,scanpy,0.1^{},idx,1,6205,other
scverse,scanpy,0.1^{},pack,1,318511,other
scverse,scanpy,0.1^{},c,1,7484,other
scverse,scanpy,0.1^{},pyx,1,43,other
scverse,scanpy,0.1^{},sh,2,35,test
scverse,scanpy,0.1^{},r,1,117,other
scverse,scanpy,0.2,no_extension,15,307,other
scverse,scanpy,0.2,yml,1,11,other
scverse,scanpy,0.2,in,1,2,other
scverse,scanpy,0.2,ini,1,4,test
scverse,scanpy,0.2,rst,1,369,other
scverse,scanpy,0.2,txt,7,962,other
scverse,scanpy,0.2,cfg,1,6,other
scverse,scanpy,0.2,py,44,15109,other
scverse,scanpy,0.2,sample,13,790,other
scverse,scanpy,0.2,idx,1,6205,other
scverse,scanpy,0.2,pack,1,318511,other
scverse,scanpy,0.2,c,1,7484,other
scverse,scanpy,0.2,pyx,1,43,other
scverse,scanpy,0.2,sh,2,35,test
scverse,scanpy,0.2,r,1,117,other
scverse,scanpy,0.2,md,1,6,other
scverse,scanpy,0.2.1,no_extension,15,309,other
scverse,scanpy,0.2.1,yml,1,11,other
scverse,scanpy,0.2.1,in,1,2,other
scverse,scanpy,0.2.1,ini,1,4,test
scverse,scanpy,0.2.1,rst,1,369,other
scverse,scanpy,0.2.1,txt,7,962,other
scverse,scanpy,0.2.1,cfg,1,6,other
scverse,scanpy,0.2.1,py,44,15121,other
scverse,scanpy,0.2.1,sample,13,790,other
scverse,scanpy,0.2.1,idx,1,6205,other
scverse,scanpy,0.2.1,pack,1,318511,other
scverse,scanpy,0.2.1,c,1,7484,other
scverse,scanpy,0.2.1,pyx,1,43,other
scverse,scanpy,0.2.1,sh,2,35,test
scverse,scanpy,0.2.1,r,1,117,other
scverse,scanpy,0.2.1,md,1,6,other
scverse,scanpy,0.2.1^{},no_extension,15,309,other
scverse,scanpy,0.2.1^{},yml,1,11,other
scverse,scanpy,0.2.1^{},in,1,2,other
scverse,scanpy,0.2.1^{},ini,1,4,test
scverse,scanpy,0.2.1^{},rst,1,369,other
scverse,scanpy,0.2.1^{},txt,7,962,other
scverse,scanpy,0.2.1^{},cfg,1,6,other
scverse,scanpy,0.2.1^{},py,44,15121,other
scverse,scanpy,0.2.1^{},sample,13,790,other
scverse,scanpy,0.2.1^{},idx,1,6205,other
scverse,scanpy,0.2.1^{},pack,1,318511,other
scverse,scanpy,0.2.1^{},c,1,7484,other
scverse,scanpy,0.2.1^{},pyx,1,43,other
scverse,scanpy,0.2.1^{},sh,2,35,test
scverse,scanpy,0.2.1^{},r,1,117,other
scverse,scanpy,0.2.1^{},md,1,6,other
scverse,scanpy,0.2.3,no_extension,15,311,other
scverse,scanpy,0.2.3,yml,1,15,other
scverse,scanpy,0.2.3,in,1,2,other
scverse,scanpy,0.2.3,ini,1,4,test
scverse,scanpy,0.2.3,rst,1,366,other
scverse,scanpy,0.2.3,txt,7,962,other
scverse,scanpy,0.2.3,cfg,1,6,other
scverse,scanpy,0.2.3,py,44,15121,other
scverse,scanpy,0.2.3,sample,13,790,other
scverse,scanpy,0.2.3,idx,1,6205,other
