author,repo,version
google,deepvariant,v1.6.1
root-project,root,v6-32-06
OpenGene,fastp,v0.23.4
scverse,scanpy,1.10.3
allenai,scispacy,v0.5.5
broadinstitute,gatk,4.6.0.0
qutip,qutip,v5.0.4
soedinglab,MMseqs2,15-6f452
su2code,SU2,v8.1.0
tum-pbs,PhiFlow,3.1.0
scipipe,scipipe,v0.12.0
openbabel,openbabel,openbabel-3-1-1
qupath,qupath,v0.5.1
broadinstitute,cromwell,87
hail-is,hail,0.2.133
psi4,psi4,v1.9.1
CliMA,Oceananigans.jl,v0.93.1
sofa-framework,sofa,v24.06.00
stardist,stardist,0.9.1
COMBINE-lab,salmon,v1.10.1
