n_threads,n_batches,model_name,time
1,5,deepseek-r1:1.5b,710.782597
1,5,deepseek-r1:7b,509.096897
1,5,deepseek-r1:8b,682.476232
1,10,deepseek-r1:1.5b,391.115945
1,10,deepseek-r1:7b,493.770622
1,10,deepseek-r1:8b,648.983599
1,15,deepseek-r1:1.5b,394.316178
1,15,deepseek-r1:7b,494.078939
1,15,deepseek-r1:8b,646.518526
1,20,deepseek-r1:1.5b,385.888852
1,20,deepseek-r1:7b,495.871160
1,20,deepseek-r1:8b,637.916200
1,50,deepseek-r1:1.5b,388.833056
1,50,deepseek-r1:7b,493.855564
1,50,deepseek-r1:8b,633.896038
5,5,deepseek-r1:1.5b,384.947358
5,5,deepseek-r1:7b,487.743229
5,5,deepseek-r1:8b,627.499402
5,10,deepseek-r1:1.5b,383.611733
5,10,deepseek-r1:7b,483.860421
5,10,deepseek-r1:8b,627.763133
5,15,deepseek-r1:1.5b,385.687966
5,15,deepseek-r1:7b,486.187780
5,15,deepseek-r1:8b,638.157547
5,20,deepseek-r1:1.5b,694.394862
5,20,deepseek-r1:7b,489.986789
5,20,deepseek-r1:8b,632.273979
5,50,deepseek-r1:1.5b,386.718911
5,50,deepseek-r1:7b,483.858473
5,50,deepseek-r1:8b,628.706981
10,5,deepseek-r1:1.5b,698.375105
10,5,deepseek-r1:7b,479.253000
10,5,deepseek-r1:8b,629.357629
10,10,deepseek-r1:1.5b,388.969251
10,10,deepseek-r1:7b,491.678863
10,10,deepseek-r1:8b,636.225479
10,15,deepseek-r1:1.5b,386.559649
10,15,deepseek-r1:7b,491.311730
10,15,deepseek-r1:8b,641.566748
10,20,deepseek-r1:1.5b,392.152330
10,20,deepseek-r1:7b,486.066361
10,20,deepseek-r1:8b,635.752086
10,50,deepseek-r1:1.5b,386.105786
10,50,deepseek-r1:7b,490.301308
10,50,deepseek-r1:8b,623.457960
15,5,deepseek-r1:1.5b,380.782035
15,5,deepseek-r1:7b,487.333505
15,5,deepseek-r1:8b,624.790384
15,10,deepseek-r1:1.5b,678.423196
15,10,deepseek-r1:7b,491.100365
15,10,deepseek-r1:8b,631.706247
15,15,deepseek-r1:1.5b,386.284472
15,15,deepseek-r1:7b,489.212522
15,15,deepseek-r1:8b,626.656877
15,20,deepseek-r1:1.5b,385.159000
15,20,deepseek-r1:7b,487.826407
15,20,deepseek-r1:8b,633.795894
15,50,deepseek-r1:1.5b,388.794956
15,50,deepseek-r1:7b,492.429089
15,50,deepseek-r1:8b,634.667988
