project,count
root-project/root/v6-32-06,438297
psi4/psi4/v1.9.1,209047
soedinglab/MMseqs2/15-6f452,93467
sofa-framework/sofa/v24.06.00,51233
qutip/qutip/v5.0.4,38541
qupath/qupath/v0.5.1,17569
hail-is/hail/0.2.133,13315
scverse/scanpy/1.10.2,9176
broadinstitute/gatk/4.6.0.0,7053
CliMA/Oceananigans.jl/v0.93.2,6975
broadinstitute/cromwell/87,5349
su2code/SU2/v8.1.0,4244
google/deepvariant/v1.6.1,4174
openbabel/openbabel/openbabel-3-1-1,3657
COMBINE-lab/salmon/v1.10.1,2311
stardist/stardist/0.9.1,1078
allenai/scispacy/v0.5.5,679
tum-pbs/PhiFlow/3.1.0,593
scipipe/scipipe/v0.12.0,483
OpenGene/fastp/v0.23.4,401
