quality_attribute,sentence,source,author,repo,version,id,keyword,matched_word,match_idx,wiki,url,total_similar,target_keywords,target_matched_words
Deployability,"@cwhelan and @tedsharpe .; Somehow this slipped through my attention yesterday when I was scanning through tickets and PRs. I apologize for the delay. I've identified where the problem is, and is about to issue the fixing PR in a minute. Basically, the problem is that this particular assembly contig (more specifically, the last two mappings to the same alt reference ""chromosome"") should be filtered out in the master pipeline because the two alignments are showing a particular signature which I call incomplete picture in the prototyping code&mdash;the assembly contig is suggesting two reference blocks switched orders,; which would normally suggest tandem duplication, but the reference blocks also overlaps (see ribbon plot [here](http://www.genomeribbon.com/?perma=cdB92bihIE)). ; And the filtering criterion is used in a wrong way after #3752 so that this is not caught. Again, I apologize for the delay and any blocks it might have caused.",MatchSource.ISSUE_COMMENT,broadinstitute,gatk,4.6.0.0,https://github.com/broadinstitute/gatk/issues/3874#issuecomment-347767358:420,pipeline,pipeline,420,https://software.broadinstitute.org/gatk,https://github.com/broadinstitute/gatk/issues/3874#issuecomment-347767358,1,['pipeline'],['pipeline']
Deployability,@cwhelan my understanding is that this is blocked because tests won't pass until there's a GDB update -- yes?,MatchSource.ISSUE_COMMENT,broadinstitute,gatk,4.6.0.0,https://github.com/broadinstitute/gatk/pull/4963#issuecomment-415848233:95,update,update,95,https://software.broadinstitute.org/gatk,https://github.com/broadinstitute/gatk/pull/4963#issuecomment-415848233,1,['update'],['update']
Deployability,@cwhelan thanks for the clear up on the tests! Just updated with some fix and the output is now the same as master up to some formatting changes.,MatchSource.ISSUE_COMMENT,broadinstitute,gatk,4.6.0.0,https://github.com/broadinstitute/gatk/pull/2258#issuecomment-261665373:52,update,updated,52,https://software.broadinstitute.org/gatk,https://github.com/broadinstitute/gatk/pull/2258#issuecomment-261665373,2,['update'],['updated']
Deployability,"@cwhelan update per comments. Please take another look.; The ""bug"" of ASSEMBLY_IDS would be automatically corrected once Ted' PR #2444 is in. Thanks!",MatchSource.ISSUE_COMMENT,broadinstitute,gatk,4.6.0.0,https://github.com/broadinstitute/gatk/pull/2567#issuecomment-292389220:9,update,update,9,https://software.broadinstitute.org/gatk,https://github.com/broadinstitute/gatk/pull/2567#issuecomment-292389220,1,['update'],['update']
Deployability,@cwhelan updated by removing 3 commits that have the unused classes and functions. Also did the changes as you suggested. PR test cluster is failing but doesn't seem to be related to this PR and engine team is aware of this.,MatchSource.ISSUE_COMMENT,broadinstitute,gatk,4.6.0.0,https://github.com/broadinstitute/gatk/pull/3427#issuecomment-322529717:9,update,updated,9,https://software.broadinstitute.org/gatk,https://github.com/broadinstitute/gatk/pull/3427#issuecomment-322529717,1,['update'],['updated']
Deployability,@damiencarol Thanks for the release! . I don't know if we'll be able to give you feedback about this until after the holidays. I believe @tomwhite is on vacation and he's the one most involved with hadoop-bam.,MatchSource.ISSUE_COMMENT,broadinstitute,gatk,4.6.0.0,https://github.com/broadinstitute/gatk/issues/1326#issuecomment-166679112:28,release,release,28,https://software.broadinstitute.org/gatk,https://github.com/broadinstitute/gatk/issues/1326#issuecomment-166679112,1,['release'],['release']
Deployability,"@dantefff Thank you for making this fix. It seems like the recommended solution based on https://blogs.apache.org/logging/entry/log4j-2-11-released. . The downside is that it seems to nearly double the size of the packaged jars. I'm going to try to look into why that is exactly and see if there's a work around. The annoying thing is that we're not really aiming to actually produce a multi-version jar, we just want to incorporate the files that are version specific for the version we need. So I suspect there's probably a way to do this without including many additional versions of each file in the final jar. It might be a bit more involved. . It looks like travis started finally, but I also pushed a copy to lb_test_multijar to force it to build.",MatchSource.ISSUE_COMMENT,broadinstitute,gatk,4.6.0.0,https://github.com/broadinstitute/gatk/pull/7339#issuecomment-876666468:139,release,released,139,https://software.broadinstitute.org/gatk,https://github.com/broadinstitute/gatk/pull/7339#issuecomment-876666468,1,['release'],['released']
Deployability,"@daquang The Java model training tool was just merged in. We'll probably cut a release soon, but you can build from master if you just can't wait.",MatchSource.ISSUE_COMMENT,broadinstitute,gatk,4.6.0.0,https://github.com/broadinstitute/gatk/issues/4511#issuecomment-376642209:79,release,release,79,https://software.broadinstitute.org/gatk,https://github.com/broadinstitute/gatk/issues/4511#issuecomment-376642209,1,['release'],['release']
Deployability,@dariober The fix is in `Mutect2` itself because that's where the vcf header line for `MFRL` is created. If you're using an unfiltered vcf from an old release and using the 4.0.2.1 only for `FilterMutectCalls` the problem will remain.,MatchSource.ISSUE_COMMENT,broadinstitute,gatk,4.6.0.0,https://github.com/broadinstitute/gatk/issues/4363#issuecomment-371203165:151,release,release,151,https://software.broadinstitute.org/gatk,https://github.com/broadinstitute/gatk/issues/4363#issuecomment-371203165,1,['release'],['release']
Deployability,"@david-wb @popboy126 I'm having trouble reproducing the shutdown issue on our own cluster, I sometimes get the message `Shutdown hook called before final status was reported.` but the job status is SUCCEEDED. This happens if I run with the System.exit(0) or not. Could one of you test with this branch and let me know if it solves your issue? I think my cluster configuration must be different then yours in some way.",MatchSource.ISSUE_COMMENT,broadinstitute,gatk,4.6.0.0,https://github.com/broadinstitute/gatk/pull/3400#issuecomment-319778125:362,configurat,configuration,362,https://software.broadinstitute.org/gatk,https://github.com/broadinstitute/gatk/pull/3400#issuecomment-319778125,1,['configurat'],['configuration']
